trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
46	OOe	ooe	2	16	2	18							2	84	2	76	2	60	2	56					-2	80	-2	60																																																																																																									-2	90	-2	86	-2	88	-2	86									-2	78	-2	76	-2	68	-2	68
47	ouu	Oyy	2	18	2	20							-2	82	-2	74	-2	58	-2	54					2	82	2	62																																																																																																																																
48	uao	yAO	2	20	2	22							-2	80	-2	72	-2	56	-2	52					2	84	2	64																																																																																																																																
50	Oiy	oiu	2	22	2	24							2	82	2	74	2	58	2	54					-2	82	-2	62																																																													-2	76	-2	76																																													-2	86	-2	84													-2	66	-2	66
51	aau	AAy	2	24	2	26									-2	72	-2	56	-2	52							2	64																																																																																																																																
54	eOy	eou			2	28							2	84	2	74	2	58	2	54					-2	80	-2	62																																									-2	96	-2	96	-2	82	-2	82									-2	94	-2	94	-2	74	-2	74																																																																
55	ua	yA	2	26	2	30									-2	72	-2	56	-2	52							2	64																																																																																																																																
56	ouo	OyO	2	28	2	32							-2	82	-2	70	-2	54	-2	50					2	82	2	66																																																																																																																																
59	_eA	OeA					2	46	2	86			-2	80	-2	68	-2	52	-2	48																																																																																																																																								
60	yeO	ueo	2	30	2	34							2	82	2	70	2	54	2	50					-2	80	-2	64																																									-2	94	-2	94	-2	80	-2	80									-2	92	-2	92	-2	72	-2	72																																																									-2	76	-2	74	-2	64	-2	64
61	uuo	yyO	2	32	2	36							-2	80	-2	68	-2	52	-2	48					2	82	2	66																																																																																																																																
63	aau	AAy	2	34	2	38									-2	66	-2	50	-2	46							2	68																																																																																																																																
64	iO	io			2	40							2	82	2	68	2	52	2	48					-2	80	-2	66																																																									-2	90	-2	90	-2	70	-2	70																																																																
66	eye	eue			2	42									2	70	2	54	2	50							-2	64																																													-2	78	-2	78													-2	68	-2	68																																																									-2	74	-2	72	-2	62	-2	62
67	eyi	eui			2	44									2	72	2	56	2	52							-2	62																																													-2	76	-2	76													-2	66	-2	66																																																													-2	60	-2	60
69	OOe	ooe	2	36	2	46							2	84	2	74	2	58	2	54					-2	78	-2	60																																																																																																									-2	88	-2	84	-2	84	-2	82									-2	72	-2	70	-2	58	-2	58
70	OiO	oio	2	38	2	48							2	86	2	76	2	60	2	56					-2	76	-2	58																																																									-2	88	-2	88	-2	64	-2	64																																													-2	82	-2	80													-2	56	-2	56
71	ia_	iao							2	88															-2	74	-2	56																																																											-2	86			-2	62																																																																
72	iae	iAe			2	50									-2	74	-2	58	-2	54							2	58																																																													2	66	2	64																																																									2	74	2	72	2	58	2	58
75	iy	iu			2	52									2	76	2	60	2	56							-2	56																																																													-2	64	-2	62																																																																
76	uuu	yyy	2	40	2	54									-2	74	-2	58	-2	54							2	58																																																																																																																																
77	iai	iAi			2	56									-2	72	-2	56	-2	52							2	60																																																													2	66	2	64																																																													2	60	2	60
80	iia	iiA			2	58									-2	70	-2	54	-2	50							2	62																																																													2	68	2	66																																																																
81	eOO	eoo			2	60							2	88	2	72	2	56	2	52					-2	72	-2	60																																									-2	92	-2	92	-2	74	-2	74									-2	86	-2	84	-2	66	-2	64																																																																
82	uoe	yOe	2	42	2	62							-2	86	-2	70	-2	54	-2	50					2	74	2	62																																																																																																									2	90	2	86	2	84	2	82									2	76	2	74	2	62	2	62
86	eOy	eou			2	64							2	88	2	72	2	56	2	52					-2	72	-2	60																																									-2	90	-2	90	-2	72	-2	72									-2	84	-2	82	-2	64	-2	62																																																																
