			Id(Bk)Syl1	Id(Bk)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
			Id(Bk)Syl1	Id(Bk)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
	uAo		 1 	 1 			 1 	 1 			 1 	 1 
	uAO		 1 	 2 	 1 						 1 	 1 
	uao		 1 	 2 								
	uaO		 1 	 3 	 1 						 1 	 2 
yyA	yyA	 1 										
	yya			 1 			 1 	 1 				
	yuA			 1 			 1 	 1 			 1 	 1 
	yua			 2 			 1 	 2 				
	uyA		 1 	 1 							 1 	 1 
	uya		 1 	 2 			 1 	 1 			 1 	 1 
	uuA		 1 	 2 							 1 	 2 
	uua		 1 	 3 								
yyy	yyy	 1 										
	yyu			 1 			 1 	 1 				
	yuy			 1 			 1 	 1 			 1 	 1 
	yuu			 2 			 1 	 2 				
	uyy		 1 	 1 							 1 	 1 
	uyu		 1 	 2 			 1 	 1 			 1 	 1 
	uuy		 1 	 2 							 1 	 2 
	uuu		 1 	 3 								
yye	yye	 1 										
	yyE			 1 			 1 	 1 	 1 	 1 		
	yue			 1 			 1 	 1 			 1 	 1 
	yuE			 2 			 1 	 2 		 1 		
	uye		 1 	 1 							 1 	 1 
	uyE		 1 	 2 			 1 	 1 	 1 	 1 	 1 	 1 
	uue		 1 	 2 							 1 	 2 
	uuE		 1 	 3 								
yyi	yyi	 1 										
	yyI			 1 		 1 	 1 	 1 	 1 	 1 		
	yui			 1 			 1 	 1 				
	yuI			 2 		 1 	 1 	 2 		 1 		
	uyi		 1 	 1 							 1 	 1 
	uyI		 1 	 2 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	uui		 1 	 2 								
	uuI		 1 	 3 		 1 						
yyo	yyo	 1 					 1 	 1 				
	yyO			 1 	 1 							
	yuo			 1 			 1 	 2 				
	yuO			 2 	 1 		 1 	 1 			 1 	 1 
	uyo		 1 	 1 			 1 	 1 			 1 	 1 
	uyO		 1 	 2 	 1 						 1 	 1 
	uuo		 1 	 2 								
	uuO		 1 	 3 	 1 						 1 	 2 
yeA	yeA	 1 										
	yea			 1 			 1 	 1 				
	yEA			 1 			 1 	 1 	 1 	 1 	 1 	 1 
	yEa			 2 			 1 	 2 	 1 	 1 		
	ueA		 1 	 1 							 1 	 1 
	uea		 1 	 2 			 1 	 1 			 1 	 1 
	uEA		 1 	 2 							 1 	 2 
	uEa		 1 	 3 								
yey	yey	 1 										
	yeu			 1 			 1 	 1 				
	yEy			 1 			 1 	 1 	 1 	 1 	 1 	 1 
	yEu			 2 			 1 	 2 	 1 	 1 		
	uey		 1 	 1 							 1 	 1 
	ueu		 1 	 2 			 1 	 1 			 1 	 1 
	uEy		 1 	 2 							 1 	 2 
	uEu		 1 	 3 								
yee	yee	 1 										
	yeE			 1 			 1 	 1 		 1 		
	yEe			 1 			 1 	 1 	 1 	 1 	 1 	 1 
	yEE			 2 			 1 	 2 	 1 	 2 		
	uee		 1 	 1 							 1 	 1 
	ueE		 1 	 2 			 1 	 1 			 1 	 1 
	uEe		 1 	 2 							 1 	 2 
	uEE		 1 	 3 								
yei	yei	 1 										
	yeI			 1 		 1 	 1 	 1 		 1 		
	yEi			 1 			 1 	 1 	 1 	 1 		
	yEI			 2 		 1 	 1 	 2 	 1 	 2 		
	uei		 1 	 1 							 1 	 1 
	ueI		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	uEi		 1 	 2 								
	uEI		 1 	 3 		 1 						
yeo	yeo	 1 					 1 	 1 				
	yeO			 1 	 1 							
	yEo			 1 			 1 	 2 	 1 	 1 		
	yEO			 2 	 1 		 1 	 1 	 1 	 1 	 1 	 1 
	ueo		 1 	 1 			 1 	 1 			 1 	 1 
	ueO		 1 	 2 	 1 						 1 	 1 
	uEo		 1 	 2 								
	uEO		 1 	 3 	 1 						 1 	 2 
yiA	yiA	 1 										
	yia			 1 				 1 				
	yIA			 1 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	yIa			 2 		 1 	 1 	 2 	 1 	 1 		
	uiA		 1 	 1 								 1 
	uia		 1 	 2 								
	uIA		 1 	 2 		 1 					 1 	 2 
	uIa		 1 	 3 		 1 						
yiy	yiy	 1 										
	yiu			 1 				 1 				
	yIy			 1 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	yIu			 2 		 1 	 1 	 2 	 1 	 1 		
	uiy		 1 	 1 								 1 
	uiu		 1 	 2 								
	uIy		 1 	 2 		 1 					 1 	 2 
	uIu		 1 	 3 		 1 						
yie	yie	 1 										
	yiE			 1 				 1 		 1 		
	yIe			 1 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	yIE			 2 		 1 	 1 	 2 	 1 	 2 		
	uie		 1 	 1 								 1 
	uiE		 1 	 2 								
	uIe		 1 	 2 		 1 					 1 	 2 
	uIE		 1 	 3 		 1 						
yii	yii	 1 										
	yiI			 1 		 1 		 1 		 1 		
	yIi			 1 		 1 	 1 	 1 	 1 	 1 		
	yII			 2 		 2 	 1 	 2 	 1 	 2 		
	uii		 1 	 1 								
	uiI		 1 	 2 		 1 						
	uII		 1 	 3 		 2 						
yio	yio	 1 						 1 				
	yiO			 1 	 1 							
	yIo			 1 		 1 	 1 	 2 	 1 	 1 		
	yIO			 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
	uio		 1 	 1 								
	uiO		 1 	 2 	 1 							 1 
	uIo		 1 	 2 		 1 						
	uIO		 1 	 3 	 1 	 1 					 1 	 2 
yoi	yoi	 1 					 1 	 1 				
	yoI			 1 		 1 	 1 	 2 		 1 		
	yOi			 1 	 1 							
	yOI			 2 	 1 	 1 	 1 	 1 	 1 	 1 		
	uoi		 1 	 1 								
	uoI		 1 	 2 		 1 						
	uOi		 1 	 2 	 1 						 1 	 1 
	uOI		 1 	 3 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
yoE	yoE	 1 					 1 	 2 		 1 		
	yoe			 1 			 1 	 1 			 1 	 1 
	yOE			 1 	 1 		 1 	 1 	 1 	 1 		
	yOe			 2 	 1 							
	uoE		 1 	 1 								
	uoe		 1 	 2 							 1 	 2 
	uOE		 1 	 2 	 1 		 1 	 1 	 1 	 1 	 1 	 1 
	uOe		 1 	 3 	 1 						 1 	 1 
yoo	yoo	 1 					 1 	 2 				
	yoO			 1 	 1 		 1 	 1 			 1 	 1 
	yOo			 1 	 1 		 1 	 1 				
	yOO			 2 	 2 							
	uoo		 1 	 1 								
	uoO		 1 	 2 	 1 						 1 	 2 
	uOo		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	uOO		 1 	 3 	 2 						 1 	 1 
yoa	yoa	 1 					 1 	 2 				
	yoA			 1 			 1 	 1 			 1 	 1 
	yOa			 1 	 1 		 1 	 1 				
	yOA			 2 	 1 							
	uoa		 1 	 1 								
	uoA		 1 	 2 							 1 	 2 
	uOa		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	uOA		 1 	 3 	 1 						 1 	 1 
you	you	 1 					 1 	 2 				
	yoy			 1 			 1 	 1 			 1 	 1 
	yOu			 1 	 1 		 1 	 1 				
	yOy			 2 	 1 							
	uou		 1 	 1 								
	uoy		 1 	 2 							 1 	 2 
	uOu		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	uOy		 1 	 3 	 1 						 1 	 1 
eAA	eAA	 1 										
	eAa			 1 			 1 	 1 				
	eaA			 1 			 1 	 1 			 1 	 1 
	eaa			 2 			 1 	 2 				
	EAA		 1 	 1 							 1 	 1 
	EAa		 1 	 2 			 1 	 1 			 1 	 1 
	EaA		 1 	 2 							 1 	 2 
	Eaa		 1 	 3 								
eAy	eAy	 1 										
	eAu			 1 			 1 	 1 				
	eay			 1 			 1 	 1 			 1 	 1 
	eau			 2 			 1 	 2 				
	EAy		 1 	 1 							 1 	 1 
	EAu		 1 	 2 			 1 	 1 			 1 	 1 
	Eay		 1 	 2 							 1 	 2 
	Eau		 1 	 3 								
eAe	eAe	 1 										
	eAE			 1 			 1 	 1 	 1 	 1 		
	eae			 1 			 1 	 1 			 1 	 1 
	eaE			 2 			 1 	 2 				
	EAe		 1 	 1 							 1 	 1 
	EAE		 1 	 2 			 1 	 1 	 1 	 1 	 1 	 1 
	Eae		 1 	 2 							 1 	 2 
	EaE		 1 	 3 								
eAi	eAi	 1 										
	eAI			 1 		 1 	 1 	 1 	 1 	 1 		
	eai			 1 			 1 	 1 				
	eaI			 2 		 1 	 1 	 2 				
	EAi		 1 	 1 							 1 	 1 
	EAI		 1 	 2 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	Eai		 1 	 2 								
	EaI		 1 	 3 		 1 						
eAo	eAo	 1 					 1 	 1 				
	eAO			 1 	 1 							
	eao			 1 			 1 	 2 				
	eaO			 2 	 1 		 1 	 1 			 1 	 1 
	EAo		 1 	 1 			 1 	 1 			 1 	 1 
	EAO		 1 	 2 	 1 						 1 	 1 
	Eao		 1 	 2 								
	EaO		 1 	 3 	 1 						 1 	 2 
eyA	eyA	 1 										
	eya			 1 			 1 	 1 				
	euA			 1 			 1 	 1 			 1 	 1 
	eua			 2 			 1 	 2 				
	EyA		 1 	 1 							 1 	 1 
	Eya		 1 	 2 			 1 	 1 			 1 	 1 
	EuA		 1 	 2 							 1 	 2 
	Eua		 1 	 3 								
eyy	eyy	 1 										
	eyu			 1 			 1 	 1 				
	euy			 1 			 1 	 1 			 1 	 1 
	euu			 2 			 1 	 2 				
	Eyy		 1 	 1 							 1 	 1 
	Eyu		 1 	 2 			 1 	 1 			 1 	 1 
	Euy		 1 	 2 							 1 	 2 
	Euu		 1 	 3 								
eye	eye	 1 										
	eyE			 1 			 1 	 1 	 1 	 1 		
	eue			 1 			 1 	 1 			 1 	 1 
	euE			 2 			 1 	 2 				
	Eye		 1 	 1 							 1 	 1 
	EyE		 1 	 2 			 1 	 1 	 1 	 1 	 1 	 1 
	Eue		 1 	 2 							 1 	 2 
	EuE		 1 	 3 								
eyi	eyi	 1 										
	eyI			 1 		 1 	 1 	 1 	 1 	 1 		
	eui			 1 			 1 	 1 				
	euI			 2 		 1 	 1 	 2 				
	Eyi		 1 	 1 							 1 	 1 
	EyI		 1 	 2 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	Eui		 1 	 2 								
	EuI		 1 	 3 		 1 						
eyo	eyo	 1 					 1 	 1 				
	eyO			 1 	 1 							
	euo			 1 			 1 	 2 				
	euO			 2 	 1 		 1 	 1 			 1 	 1 
	Eyo		 1 	 1 			 1 	 1 			 1 	 1 
	EyO		 1 	 2 	 1 						 1 	 1 
	Euo		 1 	 2 								
	EuO		 1 	 3 	 1 						 1 	 2 
eeA	eeA	 1 										
	eea			 1 			 1 	 1 				
	eEA			 1 			 1 	 1 			 1 	 1 
	eEa			 2 			 1 	 2 				
	EeA		 1 	 1 							 1 	 1 
	Eea		 1 	 2 			 1 	 1 			 1 	 1 
	EEA		 1 	 2 							 1 	 2 
	EEa		 1 	 3 								
eey	eey	 1 										
	eeu			 1 			 1 	 1 				
	eEy			 1 			 1 	 1 			 1 	 1 
	eEu			 2 			 1 	 2 				
	Eey		 1 	 1 							 1 	 1 
	Eeu		 1 	 2 			 1 	 1 			 1 	 1 
	EEy		 1 	 2 							 1 	 2 
	EEu		 1 	 3 								
eee	eee	 1 										
	eeE			 1 			 1 	 1 				
	eEe			 1 			 1 	 1 			 1 	 1 
	eEE			 2 			 1 	 2 				
	Eee		 1 	 1 							 1 	 1 
	EeE		 1 	 2 			 1 	 1 			 1 	 1 
	EEe		 1 	 2 							 1 	 2 
	EEE		 1 	 3 								
eei	eei	 1 										
	eeI			 1 		 1 	 1 	 1 				
	eEi			 1 			 1 	 1 				
	eEI			 2 		 1 	 1 	 2 				
	Eei		 1 	 1 							 1 	 1 
	EeI		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	EEi		 1 	 2 								
	EEI		 1 	 3 		 1 						
eeE	eeE	 1 					 1 	 1 				
	eee			 1 								
	eEE			 1 			 1 	 2 				
	eEe			 2 			 1 	 1 			 1 	 1 
	EeE		 1 	 1 			 1 	 1 			 1 	 1 
	Eee		 1 	 2 							 1 	 1 
	EEE		 1 	 2 								
	EEe		 1 	 3 							 1 	 2 
eeo	eeo	 1 					 1 	 1 				
	eeO			 1 	 1 							
	eEo			 1 			 1 	 2 				
	eEO			 2 	 1 		 1 	 1 			 1 	 1 
	Eeo		 1 	 1 			 1 	 1 			 1 	 1 
	EeO		 1 	 2 	 1 						 1 	 1 
	EEo		 1 	 2 								
	EEO		 1 	 3 	 1 						 1 	 2 
eea	eea	 1 					 1 	 1 				
	eeA			 1 								
	eEa			 1 			 1 	 2 				
	eEA			 2 			 1 	 1 			 1 	 1 
	Eea		 1 	 1 			 1 	 1 			 1 	 1 
	EeA		 1 	 2 							 1 	 1 
	EEa		 1 	 2 								
	EEA		 1 	 3 							 1 	 2 
eeu	eeu	 1 					 1 	 1 				
	eey			 1 								
	eEu			 1 			 1 	 2 				
	eEy			 2 			 1 	 1 			 1 	 1 
	Eeu		 1 	 1 			 1 	 1 			 1 	 1 
	Eey		 1 	 2 							 1 	 1 
	EEu		 1 	 2 								
	EEy		 1 	 3 							 1 	 2 
eiA	eiA	 1 										
	eia			 1 				 1 				
	eIA			 1 		 1 	 1 	 1 			 1 	 1 
	eIa			 2 		 1 	 1 	 2 				
	EiA		 1 	 1 								 1 
	Eia		 1 	 2 								
	EIA		 1 	 2 		 1 					 1 	 2 
	EIa		 1 	 3 		 1 						
eiy	eiy	 1 										
	eiu			 1 				 1 				
	eIy			 1 		 1 	 1 	 1 			 1 	 1 
	eIu			 2 		 1 	 1 	 2 				
	Eiy		 1 	 1 								 1 
	Eiu		 1 	 2 								
	EIy		 1 	 2 		 1 					 1 	 2 
	EIu		 1 	 3 		 1 						
eie	eie	 1 										
	eiE			 1 				 1 				
	eIe			 1 		 1 	 1 	 1 			 1 	 1 
	eIE			 2 		 1 	 1 	 2 				
	Eie		 1 	 1 								 1 
	EiE		 1 	 2 								
	EIe		 1 	 2 		 1 					 1 	 2 
	EIE		 1 	 3 		 1 						
eii	eii	 1 										
	eiI			 1 		 1 		 1 				
	eIi			 1 		 1 	 1 	 1 				
	eII			 2 		 2 	 1 	 2 				
	Eii		 1 	 1 								
	EiI		 1 	 2 		 1 						
	EII		 1 	 3 		 2 						
eiE	eiE	 1 						 1 				
	eie			 1 								
	eIE			 1 		 1 	 1 	 2 				
	eIe			 2 		 1 	 1 	 1 			 1 	 1 
	EiE		 1 	 1 								
	Eie		 1 	 2 								 1 
	EIE		 1 	 2 		 1 						
	EIe		 1 	 3 		 1 					 1 	 2 
eio	eio	 1 						 1 				
	eiO			 1 	 1 							
	eIo			 1 		 1 	 1 	 2 				
	eIO			 2 	 1 	 1 	 1 	 1 			 1 	 1 
	Eio		 1 	 1 								
	EiO		 1 	 2 	 1 							 1 
	EIo		 1 	 2 		 1 						
	EIO		 1 	 3 	 1 	 1 					 1 	 2 
eia	eia	 1 						 1 				
	eiA			 1 								
	eIa			 1 		 1 	 1 	 2 				
	eIA			 2 		 1 	 1 	 1 			 1 	 1 
	Eia		 1 	 1 								
	EiA		 1 	 2 								 1 
	EIa		 1 	 2 		 1 						
	EIA		 1 	 3 		 1 					 1 	 2 
eiu	eiu	 1 						 1 				
	eiy			 1 								
	eIu			 1 		 1 	 1 	 2 				
	eIy			 2 		 1 	 1 	 1 			 1 	 1 
	Eiu		 1 	 1 								
	Eiy		 1 	 2 								 1 
	EIu		 1 	 2 		 1 						
	EIy		 1 	 3 		 1 					 1 	 2 
eEi	eEi	 1 					 1 	 1 				
	eEI			 1 		 1 	 1 	 2 				
	eei			 1 								
	eeI			 2 		 1 	 1 	 1 				
	EEi		 1 	 1 								
	EEI		 1 	 2 		 1 						
	Eei		 1 	 2 							 1 	 1 
	EeI		 1 	 3 		 1 	 1 	 1 			 1 	 1 
eEE	eEE	 1 					 1 	 2 				
	eEe			 1 			 1 	 1 			 1 	 1 
	eeE			 1 			 1 	 1 				
	eee			 2 								
	EEE		 1 	 1 								
	EEe		 1 	 2 							 1 	 2 
	EeE		 1 	 2 			 1 	 1 			 1 	 1 
	Eee		 1 	 3 							 1 	 1 
eEo	eEo	 1 					 1 	 2 				
	eEO			 1 	 1 		 1 	 1 			 1 	 1 
	eeo			 1 			 1 	 1 				
	eeO			 2 	 1 							
	EEo		 1 	 1 								
	EEO		 1 	 2 	 1 						 1 	 2 
	Eeo		 1 	 2 			 1 	 1 			 1 	 1 
	EeO		 1 	 3 	 1 						 1 	 1 
eEa	eEa	 1 					 1 	 2 				
	eEA			 1 			 1 	 1 			 1 	 1 
	eea			 1 			 1 	 1 				
	eeA			 2 								
	EEa		 1 	 1 								
	EEA		 1 	 2 							 1 	 2 
	Eea		 1 	 2 			 1 	 1 			 1 	 1 
	EeA		 1 	 3 							 1 	 1 
eEu	eEu	 1 					 1 	 2 				
	eEy			 1 			 1 	 1 			 1 	 1 
	eeu			 1 			 1 	 1 				
	eey			 2 								
	EEu		 1 	 1 								
	EEy		 1 	 2 							 1 	 2 
	Eeu		 1 	 2 			 1 	 1 			 1 	 1 
	Eey		 1 	 3 							 1 	 1 
eoi	eoi	 1 					 1 	 1 				
	eoI			 1 		 1 	 1 	 2 				
	eOi			 1 	 1 							
	eOI			 2 	 1 	 1 	 1 	 1 	 1 	 1 		
	Eoi		 1 	 1 								
	EoI		 1 	 2 		 1 						
	EOi		 1 	 2 	 1 						 1 	 1 
	EOI		 1 	 3 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
eoE	eoE	 1 					 1 	 2 				
	eoe			 1 			 1 	 1 			 1 	 1 
	eOE			 1 	 1 		 1 	 1 	 1 	 1 		
	eOe			 2 	 1 							
	EoE		 1 	 1 								
	Eoe		 1 	 2 							 1 	 2 
	EOE		 1 	 2 	 1 		 1 	 1 	 1 	 1 	 1 	 1 
	EOe		 1 	 3 	 1 						 1 	 1 
eoo	eoo	 1 					 1 	 2 				
	eoO			 1 	 1 		 1 	 1 			 1 	 1 
	eOo			 1 	 1 		 1 	 1 				
	eOO			 2 	 2 							
	Eoo		 1 	 1 								
	EoO		 1 	 2 	 1 						 1 	 2 
	EOo		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	EOO		 1 	 3 	 2 						 1 	 1 
eoa	eoa	 1 					 1 	 2 				
	eoA			 1 			 1 	 1 			 1 	 1 
	eOa			 1 	 1 		 1 	 1 				
	eOA			 2 	 1 							
	Eoa		 1 	 1 								
	EoA		 1 	 2 							 1 	 2 
	EOa		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	EOA		 1 	 3 	 1 						 1 	 1 
eou	eou	 1 					 1 	 2 				
	eoy			 1 			 1 	 1 			 1 	 1 
	eOu			 1 	 1 		 1 	 1 				
	eOy			 2 	 1 							
	Eou		 1 	 1 								
	Eoy		 1 	 2 							 1 	 2 
	EOu		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	EOy		 1 	 3 	 1 						 1 	 1 
eai	eai	 1 					 1 	 1 				
	eaI			 1 		 1 	 1 	 2 				
	eAi			 1 								
	eAI			 2 		 1 	 1 	 1 	 1 	 1 		
	Eai		 1 	 1 								
	EaI		 1 	 2 		 1 						
	EAi		 1 	 2 							 1 	 1 
	EAI		 1 	 3 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
eaE	eaE	 1 					 1 	 2 				
	eae			 1 			 1 	 1 			 1 	 1 
	eAE			 1 			 1 	 1 	 1 	 1 		
	eAe			 2 								
	EaE		 1 	 1 								
	Eae		 1 	 2 							 1 	 2 
	EAE		 1 	 2 			 1 	 1 	 1 	 1 	 1 	 1 
	EAe		 1 	 3 							 1 	 1 
eao	eao	 1 					 1 	 2 				
	eaO			 1 	 1 		 1 	 1 			 1 	 1 
	eAo			 1 			 1 	 1 				
	eAO			 2 	 1 							
	Eao		 1 	 1 								
	EaO		 1 	 2 	 1 						 1 	 2 
	EAo		 1 	 2 			 1 	 1 			 1 	 1 
	EAO		 1 	 3 	 1 						 1 	 1 
eaa	eaa	 1 					 1 	 2 				
	eaA			 1 			 1 	 1 			 1 	 1 
	eAa			 1 			 1 	 1 				
	eAA			 2 								
	Eaa		 1 	 1 								
	EaA		 1 	 2 							 1 	 2 
	EAa		 1 	 2 			 1 	 1 			 1 	 1 
	EAA		 1 	 3 							 1 	 1 
eau	eau	 1 					 1 	 2 				
	eay			 1 			 1 	 1 			 1 	 1 
	eAu			 1 			 1 	 1 				
	eAy			 2 								
	Eau		 1 	 1 								
	Eay		 1 	 2 							 1 	 2 
	EAu		 1 	 2 			 1 	 1 			 1 	 1 
	EAy		 1 	 3 							 1 	 1 
eui	eui	 1 					 1 	 1 				
	euI			 1 		 1 	 1 	 2 				
	eyi			 1 								
	eyI			 2 		 1 	 1 	 1 	 1 	 1 		
	Eui		 1 	 1 								
	EuI		 1 	 2 		 1 						
	Eyi		 1 	 2 							 1 	 1 
	EyI		 1 	 3 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
euE	euE	 1 					 1 	 2 				
	eue			 1 			 1 	 1 			 1 	 1 
	eyE			 1 			 1 	 1 	 1 	 1 		
	eye			 2 								
	EuE		 1 	 1 								
	Eue		 1 	 2 							 1 	 2 
	EyE		 1 	 2 			 1 	 1 	 1 	 1 	 1 	 1 
	Eye		 1 	 3 							 1 	 1 
euo	euo	 1 					 1 	 2 				
	euO			 1 	 1 		 1 	 1 			 1 	 1 
	eyo			 1 			 1 	 1 				
	eyO			 2 	 1 							
	Euo		 1 	 1 								
	EuO		 1 	 2 	 1 						 1 	 2 
	Eyo		 1 	 2 			 1 	 1 			 1 	 1 
	EyO		 1 	 3 	 1 						 1 	 1 
eua	eua	 1 					 1 	 2 				
	euA			 1 			 1 	 1 			 1 	 1 
	eya			 1 			 1 	 1 				
	eyA			 2 								
	Eua		 1 	 1 								
	EuA		 1 	 2 							 1 	 2 
	Eya		 1 	 2 			 1 	 1 			 1 	 1 
	EyA		 1 	 3 							 1 	 1 
euu	euu	 1 					 1 	 2 				
	euy			 1 			 1 	 1 			 1 	 1 
	eyu			 1 			 1 	 1 				
	eyy			 2 								
	Euu		 1 	 1 								
	Euy		 1 	 2 							 1 	 2 
	Eyu		 1 	 2 			 1 	 1 			 1 	 1 
	Eyy		 1 	 3 							 1 	 1 
iAA	iAA	 1 										
	iAa			 1 			 1 	 1 				
	iaA			 1 							 1 	 1 
	iaa			 2 								
	IAA		 1 	 1 		 1 					 1 	 1 
	IAa		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	IaA		 1 	 2 		 1 					 1 	 2 
	Iaa		 1 	 3 		 1 						
iAy	iAy	 1 										
	iAu			 1 			 1 	 1 				
	iay			 1 							 1 	 1 
	iau			 2 								
	IAy		 1 	 1 		 1 					 1 	 1 
	IAu		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	Iay		 1 	 2 		 1 					 1 	 2 
	Iau		 1 	 3 		 1 						
iAe	iAe	 1 										
	iAE			 1 			 1 	 1 	 1 	 1 		
	iae			 1 							 1 	 1 
	iaE			 2 								
	IAe		 1 	 1 		 1 					 1 	 1 
	IAE		 1 	 2 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	Iae		 1 	 2 		 1 					 1 	 2 
	IaE		 1 	 3 		 1 						
iAi	iAi	 1 										
	iAI			 1 		 1 	 1 	 1 	 1 	 1 		
	iai			 1 								
	iaI			 2 		 1 						
	IAi		 1 	 1 		 1 					 1 	 1 
	IAI		 1 	 2 		 2 	 1 	 1 	 1 	 1 	 1 	 1 
	Iai		 1 	 2 		 1 						
	IaI		 1 	 3 		 2 						
iAo	iAo	 1 					 1 	 1 				
	iAO			 1 	 1 							
	iao			 1 								
	iaO			 2 	 1 						 1 	 1 
	IAo		 1 	 1 		 1 	 1 	 1 			 1 	 1 
	IAO		 1 	 2 	 1 	 1 					 1 	 1 
	Iao		 1 	 2 		 1 						
	IaO		 1 	 3 	 1 	 1 					 1 	 2 
iyA	iyA	 1 										
	iya			 1 			 1 	 1 				
	iuA			 1 							 1 	 1 
	iua			 2 								
	IyA		 1 	 1 		 1 					 1 	 1 
	Iya		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	IuA		 1 	 2 		 1 					 1 	 2 
	Iua		 1 	 3 		 1 						
iyy	iyy	 1 										
	iyu			 1 			 1 	 1 				
	iuy			 1 							 1 	 1 
	iuu			 2 								
	Iyy		 1 	 1 		 1 					 1 	 1 
	Iyu		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	Iuy		 1 	 2 		 1 					 1 	 2 
	Iuu		 1 	 3 		 1 						
iye	iye	 1 										
	iyE			 1 			 1 	 1 	 1 	 1 		
	iue			 1 							 1 	 1 
	iuE			 2 								
	Iye		 1 	 1 		 1 					 1 	 1 
	IyE		 1 	 2 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	Iue		 1 	 2 		 1 					 1 	 2 
	IuE		 1 	 3 		 1 						
iyi	iyi	 1 										
	iyI			 1 		 1 	 1 	 1 	 1 	 1 		
	iui			 1 								
	iuI			 2 		 1 						
	Iyi		 1 	 1 		 1 					 1 	 1 
	IyI		 1 	 2 		 2 	 1 	 1 	 1 	 1 	 1 	 1 
	Iui		 1 	 2 		 1 						
	IuI		 1 	 3 		 2 						
iyo	iyo	 1 					 1 	 1 				
	iyO			 1 	 1 							
	iuo			 1 								
	iuO			 2 	 1 						 1 	 1 
	Iyo		 1 	 1 		 1 	 1 	 1 			 1 	 1 
	IyO		 1 	 2 	 1 	 1 					 1 	 1 
	Iuo		 1 	 2 		 1 						
	IuO		 1 	 3 	 1 	 1 					 1 	 2 
ieA	ieA	 1 										
	iea			 1 			 1 	 1 				
	iEA			 1 							 1 	 1 
	iEa			 2 								
	IeA		 1 	 1 		 1 					 1 	 1 
	Iea		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	IEA		 1 	 2 		 1 					 1 	 2 
	IEa		 1 	 3 		 1 						
iey	iey	 1 										
	ieu			 1 			 1 	 1 				
	iEy			 1 							 1 	 1 
	iEu			 2 								
	Iey		 1 	 1 		 1 					 1 	 1 
	Ieu		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	IEy		 1 	 2 		 1 					 1 	 2 
	IEu		 1 	 3 		 1 						
iee	iee	 1 										
	ieE			 1 			 1 	 1 				
	iEe			 1 							 1 	 1 
	iEE			 2 								
	Iee		 1 	 1 		 1 					 1 	 1 
	IeE		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	IEe		 1 	 2 		 1 					 1 	 2 
	IEE		 1 	 3 		 1 						
iei	iei	 1 										
	ieI			 1 		 1 	 1 	 1 				
	iEi			 1 								
	iEI			 2 		 1 						
	Iei		 1 	 1 		 1 					 1 	 1 
	IeI		 1 	 2 		 2 	 1 	 1 			 1 	 1 
	IEi		 1 	 2 		 1 						
	IEI		 1 	 3 		 2 						
ieo	ieo	 1 					 1 	 1 				
	ieO			 1 	 1 							
	iEo			 1 								
	iEO			 2 	 1 						 1 	 1 
	Ieo		 1 	 1 		 1 	 1 	 1 			 1 	 1 
	IeO		 1 	 2 	 1 	 1 					 1 	 1 
	IEo		 1 	 2 		 1 						
	IEO		 1 	 3 	 1 	 1 					 1 	 2 
iiA	iiA	 1 										
	iia			 1 								
	iIA			 1 		 1 					 1 	 1 
	iIa			 2 		 1 						
	IiA		 1 	 1 		 1 						 1 
	Iia		 1 	 2 		 1 						
	IIA		 1 	 2 		 2 					 1 	 2 
	IIa		 1 	 3 		 2 						
iiy	iiy	 1 										
	iiu			 1 								
	iIy			 1 		 1 					 1 	 1 
	iIu			 2 		 1 						
	Iiy		 1 	 1 		 1 						 1 
	Iiu		 1 	 2 		 1 						
