			Id(Bk)Syl1	Id(Bk)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
			Id(Bk)Syl1	Id(Bk)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
	oAi		 1 	 1 							 1 	 1 
	oAI		 1 	 2 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	oai		 1 	 2 								
	oaI		 1 	 3 		 1 						
OAo	OAo	 1 			 1 		 1 	 1 				
	OAO			 1 	 2 							
	Oao			 1 	 1 		 1 	 2 				
	OaO			 2 	 2 		 1 	 1 			 1 	 1 
	oAo		 1 	 1 			 1 	 1 			 1 	 1 
	oAO		 1 	 2 	 1 						 1 	 1 
	oao		 1 	 2 								
	oaO		 1 	 3 	 1 						 1 	 2 
OyA	OyA	 1 			 1 							
	Oya			 1 	 1 		 1 	 1 				
	OuA			 1 	 1 		 1 	 1 			 1 	 1 
	Oua			 2 	 1 		 1 	 2 				
	oyA		 1 	 1 							 1 	 1 
	oya		 1 	 2 			 1 	 1 			 1 	 1 
	ouA		 1 	 2 							 1 	 2 
	oua		 1 	 3 								
Oyy	Oyy	 1 			 1 							
	Oyu			 1 	 1 		 1 	 1 				
	Ouy			 1 	 1 		 1 	 1 			 1 	 1 
	Ouu			 2 	 1 		 1 	 2 				
	oyy		 1 	 1 							 1 	 1 
	oyu		 1 	 2 			 1 	 1 			 1 	 1 
	ouy		 1 	 2 							 1 	 2 
	ouu		 1 	 3 								
Oye	Oye	 1 			 1 							
	OyE			 1 	 1 		 1 	 1 	 1 	 1 		
	Oue			 1 	 1 		 1 	 1 			 1 	 1 
	OuE			 2 	 1 		 1 	 2 		 1 		
	oye		 1 	 1 							 1 	 1 
	oyE		 1 	 2 			 1 	 1 	 1 	 1 	 1 	 1 
	oue		 1 	 2 							 1 	 2 
	ouE		 1 	 3 								
Oyi	Oyi	 1 			 1 							
	OyI			 1 	 1 	 1 	 1 	 1 	 1 	 1 		
	Oui			 1 	 1 		 1 	 1 				
	OuI			 2 	 1 	 1 	 1 	 2 		 1 		
	oyi		 1 	 1 							 1 	 1 
	oyI		 1 	 2 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	oui		 1 	 2 								
	ouI		 1 	 3 		 1 						
Oyo	Oyo	 1 			 1 		 1 	 1 				
	OyO			 1 	 2 							
	Ouo			 1 	 1 		 1 	 2 				
	OuO			 2 	 2 		 1 	 1 			 1 	 1 
	oyo		 1 	 1 			 1 	 1 			 1 	 1 
	oyO		 1 	 2 	 1 						 1 	 1 
	ouo		 1 	 2 								
	ouO		 1 	 3 	 1 						 1 	 2 
OeA	OeA	 1 			 1 							
	Oea			 1 	 1 		 1 	 1 				
	OEA			 1 	 1 		 1 	 1 	 1 	 1 	 1 	 1 
	OEa			 2 	 1 		 1 	 2 	 1 	 1 		
	oeA		 1 	 1 							 1 	 1 
	oea		 1 	 2 			 1 	 1 			 1 	 1 
	oEA		 1 	 2 							 1 	 2 
	oEa		 1 	 3 								
Oey	Oey	 1 			 1 							
	Oeu			 1 	 1 		 1 	 1 				
	OEy			 1 	 1 		 1 	 1 	 1 	 1 	 1 	 1 
	OEu			 2 	 1 		 1 	 2 	 1 	 1 		
	oey		 1 	 1 							 1 	 1 
	oeu		 1 	 2 			 1 	 1 			 1 	 1 
	oEy		 1 	 2 							 1 	 2 
	oEu		 1 	 3 								
Oee	Oee	 1 			 1 							
	OeE			 1 	 1 		 1 	 1 		 1 		
	OEe			 1 	 1 		 1 	 1 	 1 	 1 	 1 	 1 
	OEE			 2 	 1 		 1 	 2 	 1 	 2 		
	oee		 1 	 1 							 1 	 1 
	oeE		 1 	 2 			 1 	 1 			 1 	 1 
	oEe		 1 	 2 							 1 	 2 
	oEE		 1 	 3 								
Oei	Oei	 1 			 1 							
	OeI			 1 	 1 	 1 	 1 	 1 		 1 		
	OEi			 1 	 1 		 1 	 1 	 1 	 1 		
	OEI			 2 	 1 	 1 	 1 	 2 	 1 	 2 		
	oei		 1 	 1 							 1 	 1 
	oeI		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	oEi		 1 	 2 								
	oEI		 1 	 3 		 1 						
Oeo	Oeo	 1 			 1 		 1 	 1 				
	OeO			 1 	 2 							
	OEo			 1 	 1 		 1 	 2 	 1 	 1 		
	OEO			 2 	 2 		 1 	 1 	 1 	 1 	 1 	 1 
	oeo		 1 	 1 			 1 	 1 			 1 	 1 
	oeO		 1 	 2 	 1 						 1 	 1 
	oEo		 1 	 2 								
	oEO		 1 	 3 	 1 						 1 	 2 
OiA	OiA	 1 			 1 							
	Oia			 1 	 1 			 1 				
	OIA			 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
	OIa			 2 	 1 	 1 	 1 	 2 	 1 	 1 		
	oiA		 1 	 1 								 1 
	oia		 1 	 2 								
	oIA		 1 	 2 		 1 					 1 	 2 
	oIa		 1 	 3 		 1 						
Oiy	Oiy	 1 			 1 							
	Oiu			 1 	 1 			 1 				
	OIy			 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
	OIu			 2 	 1 	 1 	 1 	 2 	 1 	 1 		
	oiy		 1 	 1 								 1 
	oiu		 1 	 2 								
	oIy		 1 	 2 		 1 					 1 	 2 
	oIu		 1 	 3 		 1 						
Oie	Oie	 1 			 1 							
	OiE			 1 	 1 			 1 		 1 		
	OIe			 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
	OIE			 2 	 1 	 1 	 1 	 2 	 1 	 2 		
	oie		 1 	 1 								 1 
	oiE		 1 	 2 								
	oIe		 1 	 2 		 1 					 1 	 2 
	oIE		 1 	 3 		 1 						
Oii	Oii	 1 			 1 							
	OiI			 1 	 1 	 1 		 1 		 1 		
	OIi			 1 	 1 	 1 	 1 	 1 	 1 	 1 		
	OII			 2 	 1 	 2 	 1 	 2 	 1 	 2 		
	oii		 1 	 1 								
	oiI		 1 	 2 		 1 						
	oII		 1 	 3 		 2 						
Oio	Oio	 1 			 1 			 1 				
	OiO			 1 	 2 							
	OIo			 1 	 1 	 1 	 1 	 2 	 1 	 1 		
	OIO			 2 	 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
	oio		 1 	 1 								
	oiO		 1 	 2 	 1 							 1 
	oIo		 1 	 2 		 1 						
	oIO		 1 	 3 	 1 	 1 					 1 	 2 
Ooi	Ooi	 1 			 1 		 1 	 1 				
	OoI			 1 	 1 	 1 	 1 	 2 		 1 		
	OOi			 1 	 2 							
	OOI			 2 	 2 	 1 	 1 	 1 	 1 	 1 		
	ooi		 1 	 1 								
	ooI		 1 	 2 		 1 						
	oOi		 1 	 2 	 1 						 1 	 1 
	oOI		 1 	 3 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
OoE	OoE	 1 			 1 		 1 	 2 		 1 		
	Ooe			 1 	 1 		 1 	 1 			 1 	 1 
	OOE			 1 	 2 		 1 	 1 	 1 	 1 		
	OOe			 2 	 2 							
	ooE		 1 	 1 								
	ooe		 1 	 2 							 1 	 2 
	oOE		 1 	 2 	 1 		 1 	 1 	 1 	 1 	 1 	 1 
	oOe		 1 	 3 	 1 						 1 	 1 
Ooo	Ooo	 1 			 1 		 1 	 2 				
	OoO			 1 	 2 		 1 	 1 			 1 	 1 
	OOo			 1 	 2 		 1 	 1 				
	OOO			 2 	 3 							
	ooo		 1 	 1 								
	ooO		 1 	 2 	 1 						 1 	 2 
	oOo		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	oOO		 1 	 3 	 2 						 1 	 1 
Ooa	Ooa	 1 			 1 		 1 	 2 				
	OoA			 1 	 1 		 1 	 1 			 1 	 1 
	OOa			 1 	 2 		 1 	 1 				
	OOA			 2 	 2 							
	ooa		 1 	 1 								
	ooA		 1 	 2 							 1 	 2 
	oOa		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	oOA		 1 	 3 	 1 						 1 	 1 
Oou	Oou	 1 			 1 		 1 	 2 				
	Ooy			 1 	 1 		 1 	 1 			 1 	 1 
	OOu			 1 	 2 		 1 	 1 				
	OOy			 2 	 2 							
	oou		 1 	 1 								
	ooy		 1 	 2 							 1 	 2 
	oOu		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	oOy		 1 	 3 	 1 						 1 	 1 
AAA	AAA	 1 										
	AAa			 1 			 1 	 1 				
	AaA			 1 			 1 	 1 			 1 	 1 
	Aaa			 2 			 1 	 2 				
	aAA		 1 	 1 							 1 	 1 
	aAa		 1 	 2 			 1 	 1 			 1 	 1 
	aaA		 1 	 2 							 1 	 2 
	aaa		 1 	 3 								
AAy	AAy	 1 										
	AAu			 1 			 1 	 1 				
	Aay			 1 			 1 	 1 			 1 	 1 
	Aau			 2 			 1 	 2 				
	aAy		 1 	 1 							 1 	 1 
	aAu		 1 	 2 			 1 	 1 			 1 	 1 
	aay		 1 	 2 							 1 	 2 
	aau		 1 	 3 								
AAe	AAe	 1 										
	AAE			 1 			 1 	 1 	 1 	 1 		
	Aae			 1 			 1 	 1 			 1 	 1 
	AaE			 2 			 1 	 2 		 1 		
	aAe		 1 	 1 							 1 	 1 
	aAE		 1 	 2 			 1 	 1 	 1 	 1 	 1 	 1 
	aae		 1 	 2 							 1 	 2 
	aaE		 1 	 3 								
AAi	AAi	 1 										
	AAI			 1 		 1 	 1 	 1 	 1 	 1 		
	Aai			 1 			 1 	 1 				
	AaI			 2 		 1 	 1 	 2 		 1 		
	aAi		 1 	 1 							 1 	 1 
	aAI		 1 	 2 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	aai		 1 	 2 								
	aaI		 1 	 3 		 1 						
AAo	AAo	 1 					 1 	 1 				
	AAO			 1 	 1 							
	Aao			 1 			 1 	 2 				
	AaO			 2 	 1 		 1 	 1 			 1 	 1 
	aAo		 1 	 1 			 1 	 1 			 1 	 1 
	aAO		 1 	 2 	 1 						 1 	 1 
	aao		 1 	 2 								
	aaO		 1 	 3 	 1 						 1 	 2 
AyA	AyA	 1 										
	Aya			 1 			 1 	 1 				
	AuA			 1 			 1 	 1 			 1 	 1 
	Aua			 2 			 1 	 2 				
