trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F4	now	*F5	now	*B1	now	*B5	now	*F4_B1	now	*F4..._B1	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B5	now	*F5..._B5	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
	a priori	Id(Bk)Syl1>>Id(Bk)	20	20																																										
2	Iuo	iyO	0.4	20.4	0.4	0.4	-1	99	-1	99	0.4	100.4	0.4	100.4																																
4	oIE	Oie	0.4	20.799999999999997	0.4	0.8	-1	98	-1	98	0.4	100.80000000000001	0.4	100.80000000000001																																
6	ioi	Ioi	0.6666666666666666	21.466666666666665	0.6666666666666666	1.4666666666666668			0.6666666666666666	98.66666666666667	-1	99.80000000000001	-1	99.80000000000001													0.6666666666666666	100.66666666666667	0.6666666666666666	100.66666666666667							-1	99							-1	99
7	ieO	IEo	0.4	21.866666666666664	0.4	1.8666666666666667	0.4	98.4	0.4	99.06666666666668	-1	98.80000000000001	-1	98.80000000000001																																
8	yye	uuE	0.2	22.066666666666663	0.2	2.066666666666667	0.2	98.60000000000001	0.2	99.26666666666668			-1	97.80000000000001																																
10	EuI	eyi	0.4	22.46666666666666	0.4	2.466666666666667	-1	97.60000000000001	-1	98.26666666666668	0.4	99.20000000000002	0.4	98.20000000000002																																
11	ua	yA	0.5	22.96666666666666	0.5	2.966666666666667	-1	96.60000000000001	-1	97.26666666666668			0.5	98.70000000000002																																
14	iOi	Ioi	1.0	23.96666666666666	1.0	3.966666666666667	1.0	97.60000000000001	1.0	98.26666666666668	-1	98.20000000000002	-1	97.70000000000002																							-1	98					-1	99	-1	98
16	IaI	iAi	0.4	24.36666666666666	0.4	4.366666666666667	-1	96.60000000000001	-1	97.26666666666668	0.4	98.60000000000002	0.4	98.10000000000002																																
17	eie	EiE	1.0	25.36666666666666	1.0	5.366666666666667	1.0	97.60000000000001	1.0	98.26666666666668			-1	97.10000000000002													-1	99.66666666666667	-1	99.66666666666667													-1	98	-1	97
18	Eai	eAi	0.3333333333333333	25.699999999999992	0.3333333333333333	5.7	-1	96.60000000000001	-1	97.26666666666668			0.3333333333333333	97.43333333333335																													0.3333333333333333	98.33333333333333	0.3333333333333333	97.33333333333333
22	oEI	oEi			0.75	6.45			-1	96.26666666666668	0.75	99.35000000000002	0.75	98.18333333333335																													-1	97.33333333333333	-1	96.33333333333333
	a priori	Id(Bk)Syl1>>Id(Bk)	0.7500000000000071	26.45																																										
23	Oii	oii	0.6	27.05	0.6	7.05	0.6	97.2	0.6	96.86666666666667			-1	97.18333333333335																													-1	96.33333333333333	-1	95.33333333333333
24	iOA	ioa			0.75	7.8	0.75	97.95	0.75	97.61666666666667			-1	96.18333333333335													-1	98.66666666666667	-1	98.66666666666667																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.75	27.8																																										
25	oIu	oiu			1.25	9.05			-1	96.61666666666667	1.25	100.60000000000002	1.25	97.43333333333335													-1	97.66666666666667	-1	97.66666666666667													-1	95.33333333333333	-1	94.33333333333333
	a priori	Id(Bk)Syl1>>Id(Bk)	1.25	29.05																																										
26	Eia	eiA	0.25	29.3	0.25	9.3	-1	96.95	-1	95.61666666666667			0.25	97.68333333333335													0.25	97.91666666666667	0.25	97.91666666666667													0.25	95.58333333333333	0.25	94.58333333333333
