			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	__y		0	1	1	2	0	0	0	0	0	0
	_Ou		0	1	1	1	0	0	1	1	0	0
	_Oy		0	2	1	1	0	0	0	0	0	0
	ao_		1	1	0	1	0	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0
	a_y		1	2	0	1	0	0	0	0	1	1
AaO	AaO		0	0	0	0	0	0	1	1	1	1
	Aao		0	1	0	0	0	0	1	2	0	0
	AAO		0	1	0	0	0	0	0	0	0	0
	AAo		0	2	0	0	0	0	1	1	0	0
	aaO		1	1	0	0	0	0	0	0	1	2
	aao		1	2	0	0	0	0	0	0	0	0
	aAO		1	2	0	0	0	0	0	0	1	1
	aAo		1	3	0	0	0	0	1	1	1	1
	Aa_		0	0	0	1	0	0	1	1	0	0
	A_O		0	0	0	1	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_aO		0	0	1	1	0	0	0	0	1	1
	_a_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_o		0	1	0	1	0	0	1	1	0	0
	_ao		0	1	1	1	0	0	0	0	0	0
	__o		0	1	1	2	0	0	0	0	0	0
	AA_		0	1	0	1	0	0	0	0	0	0
	_Ao		0	2	1	1	0	0	1	1	0	0
	aa_		1	1	0	1	0	0	0	0	0	0
	a_O		1	1	0	1	0	0	0	0	1	1
	a__		1	1	0	2	0	0	0	0	0	0
	a_o		1	2	0	1	0	0	0	0	0	0
	aA_		1	2	0	1	0	0	0	0	1	1
AaA	AaA		0	0	0	0	0	0	1	1	1	1
	Aaa		0	1	0	0	0	0	1	2	0	0
	AAA		0	1	0	0	0	0	0	0	0	0
	AAa		0	2	0	0	0	0	1	1	0	0
	aaA		1	1	0	0	0	0	0	0	1	2
	aaa		1	2	0	0	0	0	0	0	0	0
	aAA		1	2	0	0	0	0	0	0	1	1
	aAa		1	3	0	0	0	0	1	1	1	1
	Aa_		0	0	0	1	0	0	1	1	0	0
	A_A		0	0	0	1	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_aA		0	0	1	1	0	0	0	0	1	1
	_a_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_a		0	1	0	1	0	0	1	1	0	0
	_aa		0	1	1	1	0	0	0	0	0	0
	__a		0	1	1	2	0	0	0	0	0	0
	AA_		0	1	0	1	0	0	0	0	0	0
	_Aa		0	2	1	1	0	0	1	1	0	0
	aa_		1	1	0	1	0	0	0	0	0	0
	a_A		1	1	0	1	0	0	0	0	1	1
	a__		1	1	0	2	0	0	0	0	0	0
	a_a		1	2	0	1	0	0	0	0	0	0
	aA_		1	2	0	1	0	0	0	0	1	1
Aay	Aay		0	0	0	0	0	0	1	1	1	1
	Aau		0	1	0	0	0	0	1	2	0	0
	AAy		0	1	0	0	0	0	0	0	0	0
	AAu		0	2	0	0	0	0	1	1	0	0
	aay		1	1	0	0	0	0	0	0	1	2
	aau		1	2	0	0	0	0	0	0	0	0
	aAy		1	2	0	0	0	0	0	0	1	1
	aAu		1	3	0	0	0	0	1	1	1	1
	Aa_		0	0	0	1	0	0	1	1	0	0
	A_y		0	0	0	1	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_ay		0	0	1	1	0	0	0	0	1	1
	_a_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_u		0	1	0	1	0	0	1	1	0	0
	_au		0	1	1	1	0	0	0	0	0	0
	__u		0	1	1	2	0	0	0	0	0	0
	AA_		0	1	0	1	0	0	0	0	0	0
	_Au		0	2	1	1	0	0	1	1	0	0
	aa_		1	1	0	1	0	0	0	0	0	0
	a_y		1	1	0	1	0	0	0	0	1	1
	a__		1	1	0	2	0	0	0	0	0	0
	a_u		1	2	0	1	0	0	0	0	0	0
	aA_		1	2	0	1	0	0	0	0	1	1
Aae	Aae		0	0	0	0	0	0	1	1	0	0
	AaE		0	1	0	0	0	1	1	2	0	0
	AAe		0	1	0	0	0	0	0	0	0	0
	AAE		0	2	0	0	0	1	1	1	0	0
	aae		1	1	0	0	0	0	0	0	0	0
	aaE		1	2	0	0	0	1	0	0	0	0
	aAe		1	2	0	0	0	0	0	0	1	1
	aAE		1	3	0	0	0	1	1	1	1	1
	Aa_		0	0	0	1	0	0	1	1	0	0
	A_e		0	0	0	1	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_ae		0	0	1	1	0	0	0	0	0	0
	_a_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_E		0	1	0	1	0	1	1	1	0	0
	_aE		0	1	1	1	0	1	0	0	0	0
	__E		0	1	1	2	0	1	0	0	0	0
	AA_		0	1	0	1	0	0	0	0	0	0
	_Ae		0	1	1	1	0	0	0	0	0	0
	_A_		0	1	1	2	0	0	0	0	0	0
	_AE		0	2	1	1	0	1	1	1	0	0
	aa_		1	1	0	1	0	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0
	a_E		1	2	0	1	0	1	0	0	0	0
	aA_		1	2	0	1	0	0	0	0	1	1
Aai	Aai		0	0	0	0	0	0	1	1	0	0
	AaI		0	1	0	0	0	1	1	2	0	0
	AAi		0	1	0	0	0	0	0	0	0	0
	AAI		0	2	0	0	0	1	1	1	0	0
	aai		1	1	0	0	0	0	0	0	0	0
	aaI		1	2	0	0	0	1	0	0	0	0
	aAi		1	2	0	0	0	0	0	0	1	1
	aAI		1	3	0	0	0	1	1	1	1	1
	Aa_		0	0	0	1	0	0	1	1	0	0
	A_i		0	0	0	1	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_ai		0	0	1	1	0	0	0	0	0	0
	_a_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_I		0	1	0	1	0	1	1	1	0	0
	_aI		0	1	1	1	0	1	0	0	0	0
	__I		0	1	1	2	0	1	0	0	0	0
	AA_		0	1	0	1	0	0	0	0	0	0
	_Ai		0	1	1	1	0	0	0	0	0	0
	_A_		0	1	1	2	0	0	0	0	0	0
	_AI		0	2	1	1	0	1	1	1	0	0
	aa_		1	1	0	1	0	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0
	a_I		1	2	0	1	0	1	0	0	0	0
	aA_		1	2	0	1	0	0	0	0	1	1
AaI	AaI		0	0	0	0	0	1	1	2	0	0
	Aai		0	1	0	0	0	0	1	1	0	0
	AAI		0	1	0	0	0	1	1	1	0	0
	AAi		0	2	0	0	0	0	0	0	0	0
	aaI		1	1	0	0	0	1	0	0	0	0
	aai		1	2	0	0	0	0	0	0	0	0
	aAI		1	2	0	0	0	1	1	1	1	1
	aAi		1	3	0	0	0	0	0	0	1	1
	Aa_		0	0	0	1	0	0	1	1	0	0
	A_I		0	0	0	1	0	1	1	1	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_aI		0	0	1	1	0	1	0	0	0	0
	_a_		0	0	1	2	0	0	0	0	0	0
	__I		0	0	1	2	0	1	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_i		0	1	0	1	0	0	0	0	0	0
	_ai		0	1	1	1	0	0	0	0	0	0
	__i		0	1	1	2	0	0	0	0	0	0
	_AI		0	1	1	1	0	1	1	1	0	0
	_Ai		0	2	1	1	0	0	0	0	0	0
	aa_		1	1	0	1	0	0	0	0	0	0
	a_I		1	1	0	1	0	1	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0
	a_i		1	2	0	1	0	0	0	0	0	0
	aA_		1	2	0	1	0	0	0	0	1	1
AaE	AaE		0	0	0	0	0	1	1	2	0	0
	Aae		0	1	0	0	0	0	1	1	0	0
	AAE		0	1	0	0	0	1	1	1	0	0
	AAe		0	2	0	0	0	0	0	0	0	0
	aaE		1	1	0	0	0	1	0	0	0	0
	aae		1	2	0	0	0	0	0	0	0	0
	aAE		1	2	0	0	0	1	1	1	1	1
	aAe		1	3	0	0	0	0	0	0	1	1
	Aa_		0	0	0	1	0	0	1	1	0	0
	A_E		0	0	0	1	0	1	1	1	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_aE		0	0	1	1	0	1	0	0	0	0
	_a_		0	0	1	2	0	0	0	0	0	0
	__E		0	0	1	2	0	1	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_e		0	1	0	1	0	0	0	0	0	0
	_ae		0	1	1	1	0	0	0	0	0	0
	__e		0	1	1	2	0	0	0	0	0	0
	_AE		0	1	1	1	0	1	1	1	0	0
	_Ae		0	2	1	1	0	0	0	0	0	0
	aa_		1	1	0	1	0	0	0	0	0	0
	a_E		1	1	0	1	0	1	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0
	a_e		1	2	0	1	0	0	0	0	0	0
	aA_		1	2	0	1	0	0	0	0	1	1
Aao	Aao		0	0	0	0	0	0	1	2	0	0
	AaO		0	1	0	0	0	0	1	1	1	1
	AAo		0	1	0	0	0	0	1	1	0	0
	AAO		0	2	0	0	0	0	0	0	0	0
	aao		1	1	0	0	0	0	0	0	0	0
	aaO		1	2	0	0	0	0	0	0	1	2
	aAo		1	2	0	0	0	0	1	1	1	1
	aAO		1	3	0	0	0	0	0	0	1	1
	Aa_		0	0	0	1	0	0	1	1	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_ao		0	0	1	1	0	0	0	0	0	0
	_a_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_O		0	1	0	1	0	0	0	0	0	0
	_aO		0	1	1	1	0	0	0	0	1	1
	__O		0	1	1	2	0	0	0	0	0	0
	_Ao		0	1	1	1	0	0	1	1	0	0
	_AO		0	2	1	1	0	0	0	0	0	0
	aa_		1	1	0	1	0	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0
	a_O		1	2	0	1	0	0	0	0	1	1
Aaa	Aaa		0	0	0	0	0	0	1	2	0	0
	AaA		0	1	0	0	0	0	1	1	1	1
	AAa		0	1	0	0	0	0	1	1	0	0
	AAA		0	2	0	0	0	0	0	0	0	0
	aaa		1	1	0	0	0	0	0	0	0	0
	aaA		1	2	0	0	0	0	0	0	1	2
	aAa		1	2	0	0	0	0	1	1	1	1
	aAA		1	3	0	0	0	0	0	0	1	1
	Aa_		0	0	0	1	0	0	1	1	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_aa		0	0	1	1	0	0	0	0	0	0
	_a_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_A		0	1	0	1	0	0	0	0	0	0
	_aA		0	1	1	1	0	0	0	0	1	1
	__A		0	1	1	2	0	0	0	0	0	0
	_Aa		0	1	1	1	0	0	1	1	0	0
	_AA		0	2	1	1	0	0	0	0	0	0
	aa_		1	1	0	1	0	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0
	a_A		1	2	0	1	0	0	0	0	1	1
Aau	Aau		0	0	0	0	0	0	1	2	0	0
	Aay		0	1	0	0	0	0	1	1	1	1
	AAu		0	1	0	0	0	0	1	1	0	0
	AAy		0	2	0	0	0	0	0	0	0	0
	aau		1	1	0	0	0	0	0	0	0	0
	aay		1	2	0	0	0	0	0	0	1	2
	aAu		1	2	0	0	0	0	1	1	1	1
	aAy		1	3	0	0	0	0	0	0	1	1
	Aa_		0	0	0	1	0	0	1	1	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_au		0	0	1	1	0	0	0	0	0	0
	_a_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_y		0	1	0	1	0	0	0	0	0	0
	_ay		0	1	1	1	0	0	0	0	1	1
	__y		0	1	1	2	0	0	0	0	0	0
	_Au		0	1	1	1	0	0	1	1	0	0
	_Ay		0	2	1	1	0	0	0	0	0	0
	aa_		1	1	0	1	0	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0
	a_y		1	2	0	1	0	0	0	0	1	1
AuO	AuO		0	0	0	0	0	0	1	1	1	1
	Auo		0	1	0	0	0	0	1	2	0	0
	AyO		0	1	0	0	0	0	0	0	0	0
	Ayo		0	2	0	0	0	0	1	1	0	0
	auO		1	1	0	0	0	0	0	0	1	2
	auo		1	2	0	0	0	0	0	0	0	0
	ayO		1	2	0	0	0	0	0	0	1	1
	ayo		1	3	0	0	0	0	1	1	1	1
	Au_		0	0	0	1	0	0	1	1	0	0
	A_O		0	0	0	1	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_uO		0	0	1	1	0	0	0	0	1	1
	_u_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_o		0	1	0	1	0	0	1	1	0	0
	_uo		0	1	1	1	0	0	0	0	0	0
	__o		0	1	1	2	0	0	0	0	0	0
	Ay_		0	1	0	1	0	0	0	0	0	0
	_yo		0	2	1	1	0	0	1	1	0	0
	au_		1	1	0	1	0	0	0	0	0	0
	a_O		1	1	0	1	0	0	0	0	1	1
	a__		1	1	0	2	0	0	0	0	0	0
	a_o		1	2	0	1	0	0	0	0	0	0
	ay_		1	2	0	1	0	0	0	0	1	1
AuA	AuA		0	0	0	0	0	0	1	1	1	1
	Aua		0	1	0	0	0	0	1	2	0	0
	AyA		0	1	0	0	0	0	0	0	0	0
	Aya		0	2	0	0	0	0	1	1	0	0
	auA		1	1	0	0	0	0	0	0	1	2
	aua		1	2	0	0	0	0	0	0	0	0
	ayA		1	2	0	0	0	0	0	0	1	1
	aya		1	3	0	0	0	0	1	1	1	1
	Au_		0	0	0	1	0	0	1	1	0	0
	A_A		0	0	0	1	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_uA		0	0	1	1	0	0	0	0	1	1
	_u_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_a		0	1	0	1	0	0	1	1	0	0
	_ua		0	1	1	1	0	0	0	0	0	0
	__a		0	1	1	2	0	0	0	0	0	0
	Ay_		0	1	0	1	0	0	0	0	0	0
	_ya		0	2	1	1	0	0	1	1	0	0
	au_		1	1	0	1	0	0	0	0	0	0
	a_A		1	1	0	1	0	0	0	0	1	1
	a__		1	1	0	2	0	0	0	0	0	0
	a_a		1	2	0	1	0	0	0	0	0	0
	ay_		1	2	0	1	0	0	0	0	1	1
Auy	Auy		0	0	0	0	0	0	1	1	1	1
	Auu		0	1	0	0	0	0	1	2	0	0
	Ayy		0	1	0	0	0	0	0	0	0	0
	Ayu		0	2	0	0	0	0	1	1	0	0
	auy		1	1	0	0	0	0	0	0	1	2
	auu		1	2	0	0	0	0	0	0	0	0
	ayy		1	2	0	0	0	0	0	0	1	1
	ayu		1	3	0	0	0	0	1	1	1	1
	Au_		0	0	0	1	0	0	1	1	0	0
	A_y		0	0	0	1	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_uy		0	0	1	1	0	0	0	0	1	1
	_u_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_u		0	1	0	1	0	0	1	1	0	0
	_uu		0	1	1	1	0	0	0	0	0	0
	__u		0	1	1	2	0	0	0	0	0	0
	Ay_		0	1	0	1	0	0	0	0	0	0
	_yu		0	2	1	1	0	0	1	1	0	0
	au_		1	1	0	1	0	0	0	0	0	0
	a_y		1	1	0	1	0	0	0	0	1	1
	a__		1	1	0	2	0	0	0	0	0	0
	a_u		1	2	0	1	0	0	0	0	0	0
	ay_		1	2	0	1	0	0	0	0	1	1
Aue	Aue		0	0	0	0	0	0	1	1	0	0
	AuE		0	1	0	0	0	1	1	2	0	0
	Aye		0	1	0	0	0	0	0	0	0	0
	AyE		0	2	0	0	0	1	1	1	0	0
	aue		1	1	0	0	0	0	0	0	0	0
	auE		1	2	0	0	0	1	0	0	0	0
	aye		1	2	0	0	0	0	0	0	1	1
	ayE		1	3	0	0	0	1	1	1	1	1
	Au_		0	0	0	1	0	0	1	1	0	0
	A_e		0	0	0	1	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_ue		0	0	1	1	0	0	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_E		0	1	0	1	0	1	1	1	0	0
	_uE		0	1	1	1	0	1	0	0	0	0
	__E		0	1	1	2	0	1	0	0	0	0
	Ay_		0	1	0	1	0	0	0	0	0	0
	_ye		0	1	1	1	0	0	0	0	0	0
	_y_		0	1	1	2	0	0	0	0	0	0
	_yE		0	2	1	1	0	1	1	1	0	0
	au_		1	1	0	1	0	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0
	a_E		1	2	0	1	0	1	0	0	0	0
	ay_		1	2	0	1	0	0	0	0	1	1
Aui	Aui		0	0	0	0	0	0	1	1	0	0
	AuI		0	1	0	0	0	1	1	2	0	0
	Ayi		0	1	0	0	0	0	0	0	0	0
	AyI		0	2	0	0	0	1	1	1	0	0
	aui		1	1	0	0	0	0	0	0	0	0
	auI		1	2	0	0	0	1	0	0	0	0
	ayi		1	2	0	0	0	0	0	0	1	1
	ayI		1	3	0	0	0	1	1	1	1	1
	Au_		0	0	0	1	0	0	1	1	0	0
	A_i		0	0	0	1	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_ui		0	0	1	1	0	0	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_I		0	1	0	1	0	1	1	1	0	0
	_uI		0	1	1	1	0	1	0	0	0	0
	__I		0	1	1	2	0	1	0	0	0	0
	Ay_		0	1	0	1	0	0	0	0	0	0
	_yi		0	1	1	1	0	0	0	0	0	0
	_y_		0	1	1	2	0	0	0	0	0	0
	_yI		0	2	1	1	0	1	1	1	0	0
	au_		1	1	0	1	0	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0
	a_I		1	2	0	1	0	1	0	0	0	0
	ay_		1	2	0	1	0	0	0	0	1	1
AuI	AuI		0	0	0	0	0	1	1	2	0	0
	Aui		0	1	0	0	0	0	1	1	0	0
	AyI		0	1	0	0	0	1	1	1	0	0
	Ayi		0	2	0	0	0	0	0	0	0	0
	auI		1	1	0	0	0	1	0	0	0	0
	aui		1	2	0	0	0	0	0	0	0	0
	ayI		1	2	0	0	0	1	1	1	1	1
	ayi		1	3	0	0	0	0	0	0	1	1
	Au_		0	0	0	1	0	0	1	1	0	0
	A_I		0	0	0	1	0	1	1	1	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_uI		0	0	1	1	0	1	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0	0
	__I		0	0	1	2	0	1	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_i		0	1	0	1	0	0	0	0	0	0
	_ui		0	1	1	1	0	0	0	0	0	0
	__i		0	1	1	2	0	0	0	0	0	0
	_yI		0	1	1	1	0	1	1	1	0	0
	_yi		0	2	1	1	0	0	0	0	0	0
	au_		1	1	0	1	0	0	0	0	0	0
	a_I		1	1	0	1	0	1	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0
	a_i		1	2	0	1	0	0	0	0	0	0
	ay_		1	2	0	1	0	0	0	0	1	1
AuE	AuE		0	0	0	0	0	1	1	2	0	0
	Aue		0	1	0	0	0	0	1	1	0	0
	AyE		0	1	0	0	0	1	1	1	0	0
	Aye		0	2	0	0	0	0	0	0	0	0
	auE		1	1	0	0	0	1	0	0	0	0
	aue		1	2	0	0	0	0	0	0	0	0
	ayE		1	2	0	0	0	1	1	1	1	1
	aye		1	3	0	0	0	0	0	0	1	1
	Au_		0	0	0	1	0	0	1	1	0	0
	A_E		0	0	0	1	0	1	1	1	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_uE		0	0	1	1	0	1	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0	0
	__E		0	0	1	2	0	1	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_e		0	1	0	1	0	0	0	0	0	0
	_ue		0	1	1	1	0	0	0	0	0	0
	__e		0	1	1	2	0	0	0	0	0	0
	_yE		0	1	1	1	0	1	1	1	0	0
	_ye		0	2	1	1	0	0	0	0	0	0
	au_		1	1	0	1	0	0	0	0	0	0
	a_E		1	1	0	1	0	1	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0
	a_e		1	2	0	1	0	0	0	0	0	0
	ay_		1	2	0	1	0	0	0	0	1	1
Auo	Auo		0	0	0	0	0	0	1	2	0	0
	AuO		0	1	0	0	0	0	1	1	1	1
	Ayo		0	1	0	0	0	0	1	1	0	0
	AyO		0	2	0	0	0	0	0	0	0	0
	auo		1	1	0	0	0	0	0	0	0	0
	auO		1	2	0	0	0	0	0	0	1	2
	ayo		1	2	0	0	0	0	1	1	1	1
	ayO		1	3	0	0	0	0	0	0	1	1
	Au_		0	0	0	1	0	0	1	1	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_uo		0	0	1	1	0	0	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_O		0	1	0	1	0	0	0	0	0	0
	_uO		0	1	1	1	0	0	0	0	1	1
	__O		0	1	1	2	0	0	0	0	0	0
	_yo		0	1	1	1	0	0	1	1	0	0
	_yO		0	2	1	1	0	0	0	0	0	0
	au_		1	1	0	1	0	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0
	a_O		1	2	0	1	0	0	0	0	1	1
Aua	Aua		0	0	0	0	0	0	1	2	0	0
	AuA		0	1	0	0	0	0	1	1	1	1
	Aya		0	1	0	0	0	0	1	1	0	0
	AyA		0	2	0	0	0	0	0	0	0	0
	aua		1	1	0	0	0	0	0	0	0	0
	auA		1	2	0	0	0	0	0	0	1	2
	aya		1	2	0	0	0	0	1	1	1	1
	ayA		1	3	0	0	0	0	0	0	1	1
	Au_		0	0	0	1	0	0	1	1	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_ua		0	0	1	1	0	0	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_A		0	1	0	1	0	0	0	0	0	0
	_uA		0	1	1	1	0	0	0	0	1	1
	__A		0	1	1	2	0	0	0	0	0	0
	_ya		0	1	1	1	0	0	1	1	0	0
	_yA		0	2	1	1	0	0	0	0	0	0
	au_		1	1	0	1	0	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0
	a_A		1	2	0	1	0	0	0	0	1	1
Auu	Auu		0	0	0	0	0	0	1	2	0	0
	Auy		0	1	0	0	0	0	1	1	1	1
	Ayu		0	1	0	0	0	0	1	1	0	0
	Ayy		0	2	0	0	0	0	0	0	0	0
	auu		1	1	0	0	0	0	0	0	0	0
	auy		1	2	0	0	0	0	0	0	1	2
	ayu		1	2	0	0	0	0	1	1	1	1
	ayy		1	3	0	0	0	0	0	0	1	1
	Au_		0	0	0	1	0	0	1	1	0	0
	A__		0	0	0	2	0	0	0	0	0	0
	_uu		0	0	1	1	0	0	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	A_y		0	1	0	1	0	0	0	0	0	0
	_uy		0	1	1	1	0	0	0	0	1	1
	__y		0	1	1	2	0	0	0	0	0	0
	_yu		0	1	1	1	0	0	1	1	0	0
	_yy		0	2	1	1	0	0	0	0	0	0
	au_		1	1	0	1	0	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0
	a_y		1	2	0	1	0	0	0	0	1	1
yOO	yOO	1	0	0	0	0	0	0	0	0	0	0
	yOo		0	1	0	0	0	0	1	1	0	0
	yoO		0	1	0	0	0	0	1	1	1	1
	yoo		0	2	0	0	0	0	1	2	0	0
	uOO		1	1	0	0	0	0	0	0	1	1
	uOo		1	2	0	0	0	0	1	1	1	1
	uoO		1	2	0	0	0	0	0	0	1	2
	uoo		1	3	0	0	0	0	0	0	0	0
	yO_		0	0	0	1	0	0	0	0	0	0
	y__		0	0	0	2	0	0	0	0	0	0
	_OO		0	0	1	1	0	0	0	0	0	0
	_O_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	y_o		0	1	0	1	0	0	1	1	0	0
	_Oo		0	1	1	1	0	0	1	1	0	0
	__o		0	1	1	2	0	0	0	0	0	0
	_oO		0	1	1	1	0	0	0	0	1	1
	_oo		0	2	1	1	0	0	0	0	0	0
	uO_		1	1	0	1	0	0	0	0	1	1
	u__		1	1	0	2	0	0	0	0	0	0
	u_o		1	2	0	1	0	0	0	0	0	0
yOA	yOA	1	0	0	0	0	0	0	0	0	0	0
	yOa		0	1	0	0	0	0	1	1	0	0
	yoA		0	1	0	0	0	0	1	1	1	1
	yoa		0	2	0	0	0	0	1	2	0	0
	uOA		1	1	0	0	0	0	0	0	1	1
	uOa		1	2	0	0	0	0	1	1	1	1
	uoA		1	2	0	0	0	0	0	0	1	2
	uoa		1	3	0	0	0	0	0	0	0	0
	yO_		0	0	0	1	0	0	0	0	0	0
	y__		0	0	0	2	0	0	0	0	0	0
	_OA		0	0	1	1	0	0	0	0	0	0
	_O_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	y_a		0	1	0	1	0	0	1	1	0	0
	_Oa		0	1	1	1	0	0	1	1	0	0
	__a		0	1	1	2	0	0	0	0	0	0
	_oA		0	1	1	1	0	0	0	0	1	1
	_oa		0	2	1	1	0	0	0	0	0	0
	uO_		1	1	0	1	0	0	0	0	1	1
	u__		1	1	0	2	0	0	0	0	0	0
	u_a		1	2	0	1	0	0	0	0	0	0
yOy	yOy	1	0	0	0	0	0	0	0	0	0	0
	yOu		0	1	0	0	0	0	1	1	0	0
	yoy		0	1	0	0	0	0	1	1	1	1
	you		0	2	0	0	0	0	1	2	0	0
	uOy		1	1	0	0	0	0	0	0	1	1
	uOu		1	2	0	0	0	0	1	1	1	1
	uoy		1	2	0	0	0	0	0	0	1	2
	uou		1	3	0	0	0	0	0	0	0	0
	yO_		0	0	0	1	0	0	0	0	0	0
	y__		0	0	0	2	0	0	0	0	0	0
	_Oy		0	0	1	1	0	0	0	0	0	0
	_O_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	y_u		0	1	0	1	0	0	1	1	0	0
	_Ou		0	1	1	1	0	0	1	1	0	0
	__u		0	1	1	2	0	0	0	0	0	0
	_oy		0	1	1	1	0	0	0	0	1	1
	_ou		0	2	1	1	0	0	0	0	0	0
	uO_		1	1	0	1	0	0	0	0	1	1
	u__		1	1	0	2	0	0	0	0	0	0
	u_u		1	2	0	1	0	0	0	0	0	0
yOe	yOe	1	0	0	0	0	0	0	0	0	0	0
	yOE		0	1	0	0	0	1	1	1	0	0
	yoe		0	1	0	0	0	0	1	1	0	0
	yoE		0	2	0	0	0	1	1	2	0	0
	uOe		1	1	0	0	0	0	0	0	1	1
	uOE		1	2	0	0	0	1	1	1	1	1
	uoe		1	2	0	0	0	0	0	0	0	0
	uoE		1	3	0	0	0	1	0	0	0	0
	yO_		0	0	0	1	0	0	0	0	0	0
	y__		0	0	0	2	0	0	0	0	0	0
	_Oe		0	0	1	1	0	0	0	0	0	0
	_O_		0	0	1	2	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0
	y_E		0	1	0	1	0	1	1	1	0	0
	_OE		0	1	1	1	0	1	1	1	0	0
	__E		0	1	1	2	0	1	0	0	0	0
