			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	_E		0	1	1	1	0	1	0	0	0	0
	a_		1	1	0	1	0	0	0	0	0	0
Ai	Ai	1	0	0	0	0	0	0	0	0	0	0
	AI		0	1	0	0	0	1	1	1	0	0
	ai		1	1	0	0	0	0	0	0	0	0
	aI		1	2	0	0	0	1	0	0	0	0
	A_		0	0	0	1	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_I		0	1	1	1	0	1	0	0	0	0
	a_		1	1	0	1	0	0	0	0	0	0
AI	AI		0	0	0	0	0	1	1	1	0	0
	Ai		0	1	0	0	0	0	0	0	0	0
	aI		1	1	0	0	0	1	0	0	0	0
	ai		1	2	0	0	0	0	0	0	0	0
	A_		0	0	0	1	0	0	0	0	0	0
	_I		0	0	1	1	0	1	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_i		0	1	1	1	0	0	0	0	0	0
	a_		1	1	0	1	0	0	0	0	0	0
AE	AE		0	0	0	0	0	1	1	1	0	0
	Ae		0	1	0	0	0	0	0	0	0	0
	aE		1	1	0	0	0	1	0	0	0	0
	ae		1	2	0	0	0	0	0	0	0	0
	A_		0	0	0	1	0	0	0	0	0	0
	_E		0	0	1	1	0	1	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_e		0	1	1	1	0	0	0	0	0	0
	a_		1	1	0	1	0	0	0	0	0	0
Ao	Ao		0	0	0	0	0	0	1	1	0	0
	AO		0	1	0	0	0	0	0	0	0	0
	ao		1	1	0	0	0	0	0	0	0	0
	aO		1	2	0	0	0	0	0	0	1	1
	A_		0	0	0	1	0	0	0	0	0	0
	_o		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_O		0	1	1	1	0	0	0	0	0	0
	a_		1	1	0	1	0	0	0	0	0	0
Aa	Aa		0	0	0	0	0	0	1	1	0	0
	AA		0	1	0	0	0	0	0	0	0	0
	aa		1	1	0	0	0	0	0	0	0	0
	aA		1	2	0	0	0	0	0	0	1	1
	A_		0	0	0	1	0	0	0	0	0	0
	_a		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_A		0	1	1	1	0	0	0	0	0	0
	a_		1	1	0	1	0	0	0	0	0	0
Au	Au		0	0	0	0	0	0	1	1	0	0
	Ay		0	1	0	0	0	0	0	0	0	0
	au		1	1	0	0	0	0	0	0	0	0
	ay		1	2	0	0	0	0	0	0	1	1
	A_		0	0	0	1	0	0	0	0	0	0
	_u		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_y		0	1	1	1	0	0	0	0	0	0
