			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	oOA		 1 	 1 				 1 	 1 
	oOa		 1 	 2 		 1 	 1 	 1 	 1 
	ooA		 1 	 2 				 1 	 2 
	ooa		 1 	 3 					
OOy	OOy	 1 							
	OOu			 1 		 1 	 1 		
	Ooy			 1 		 1 	 1 	 1 	 1 
	Oou			 2 		 1 	 2 		
	oOy		 1 	 1 				 1 	 1 
	oOu		 1 	 2 		 1 	 1 	 1 	 1 
	ooy		 1 	 2 				 1 	 2 
	oou		 1 	 3 					
OOe	OOe	 1 							
	OOE			 1 	 1 	 1 	 1 		
	Ooe			 1 		 1 	 1 		
	OoE			 2 	 1 	 1 	 2 		
	oOe		 1 	 1 				 1 	 1 
	oOE		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	ooe		 1 	 2 					
	ooE		 1 	 3 	 1 				
OOi	OOi	 1 							
	OOI			 1 	 1 	 1 	 1 		
	Ooi			 1 		 1 	 1 		
	OoI			 2 	 1 	 1 	 2 		
	oOi		 1 	 1 				 1 	 1 
	oOI		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	ooi		 1 	 2 					
	ooI		 1 	 3 	 1 				
OAO	OAO	 1 							
	OAo			 1 		 1 	 1 		
	OaO			 1 		 1 	 1 	 1 	 1 
	Oao			 2 		 1 	 2 		
	oAO		 1 	 1 				 1 	 1 
	oAo		 1 	 2 		 1 	 1 	 1 	 1 
	oaO		 1 	 2 				 1 	 2 
	oao		 1 	 3 					
OAA	OAA	 1 							
	OAa			 1 		 1 	 1 		
	OaA			 1 		 1 	 1 	 1 	 1 
	Oaa			 2 		 1 	 2 		
	oAA		 1 	 1 				 1 	 1 
	oAa		 1 	 2 		 1 	 1 	 1 	 1 
	oaA		 1 	 2 				 1 	 2 
	oaa		 1 	 3 					
OAy	OAy	 1 							
	OAu			 1 		 1 	 1 		
	Oay			 1 		 1 	 1 	 1 	 1 
	Oau			 2 		 1 	 2 		
	oAy		 1 	 1 				 1 	 1 
	oAu		 1 	 2 		 1 	 1 	 1 	 1 
	oay		 1 	 2 				 1 	 2 
	oau		 1 	 3 					
OAe	OAe	 1 							
	OAE			 1 	 1 	 1 	 1 		
	Oae			 1 		 1 	 1 		
	OaE			 2 	 1 	 1 	 2 		
	oAe		 1 	 1 				 1 	 1 
	oAE		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	oae		 1 	 2 					
	oaE		 1 	 3 	 1 				
OAi	OAi	 1 							
	OAI			 1 	 1 	 1 	 1 		
	Oai			 1 		 1 	 1 		
	OaI			 2 	 1 	 1 	 2 		
	oAi		 1 	 1 				 1 	 1 
	oAI		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	oai		 1 	 2 					
	oaI		 1 	 3 	 1 				
OyO	OyO	 1 							
	Oyo			 1 		 1 	 1 		
	OuO			 1 		 1 	 1 	 1 	 1 
	Ouo			 2 		 1 	 2 		
	oyO		 1 	 1 				 1 	 1 
	oyo		 1 	 2 		 1 	 1 	 1 	 1 
	ouO		 1 	 2 				 1 	 2 
	ouo		 1 	 3 					
OyA	OyA	 1 							
	Oya			 1 		 1 	 1 		
	OuA			 1 		 1 	 1 	 1 	 1 
	Oua			 2 		 1 	 2 		
	oyA		 1 	 1 				 1 	 1 
	oya		 1 	 2 		 1 	 1 	 1 	 1 
	ouA		 1 	 2 				 1 	 2 
	oua		 1 	 3 					
Oyy	Oyy	 1 							
	Oyu			 1 		 1 	 1 		
	Ouy			 1 		 1 	 1 	 1 	 1 
	Ouu			 2 		 1 	 2 		
	oyy		 1 	 1 				 1 	 1 
	oyu		 1 	 2 		 1 	 1 	 1 	 1 
	ouy		 1 	 2 				 1 	 2 
	ouu		 1 	 3 					
Oye	Oye	 1 							
	OyE			 1 	 1 	 1 	 1 		
	Oue			 1 		 1 	 1 		
	OuE			 2 	 1 	 1 	 2 		
	oye		 1 	 1 				 1 	 1 
	oyE		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	oue		 1 	 2 					
	ouE		 1 	 3 	 1 				
Oyi	Oyi	 1 							
	OyI			 1 	 1 	 1 	 1 		
	Oui			 1 		 1 	 1 		
	OuI			 2 	 1 	 1 	 2 		
	oyi		 1 	 1 				 1 	 1 
	oyI		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	oui		 1 	 2 					
	ouI		 1 	 3 	 1 				
OeO	OeO	 1 							
	Oeo			 1 			 1 		
	OEO			 1 	 1 	 1 	 1 	 1 	 1 
	OEo			 2 	 1 	 1 	 2 		
	oeO		 1 	 1 					 1 
	oeo		 1 	 2 					
	oEO		 1 	 2 	 1 			 1 	 2 
	oEo		 1 	 3 	 1 				
OeA	OeA	 1 							
	Oea			 1 			 1 		
	OEA			 1 	 1 	 1 	 1 	 1 	 1 
	OEa			 2 	 1 	 1 	 2 		
	oeA		 1 	 1 					 1 
	oea		 1 	 2 					
	oEA		 1 	 2 	 1 			 1 	 2 
	oEa		 1 	 3 	 1 				
Oey	Oey	 1 							
	Oeu			 1 			 1 		
	OEy			 1 	 1 	 1 	 1 	 1 	 1 
	OEu			 2 	 1 	 1 	 2 		
	oey		 1 	 1 					 1 
	oeu		 1 	 2 					
	oEy		 1 	 2 	 1 			 1 	 2 
	oEu		 1 	 3 	 1 				
Oee	Oee	 1 							
	OeE			 1 	 1 		 1 		
	OEe			 1 	 1 	 1 	 1 		
	OEE			 2 	 2 	 1 	 2 		
	oee		 1 	 1 					
	oeE		 1 	 2 	 1 				
	oEE		 1 	 3 	 2 				
Oei	Oei	 1 							
	OeI			 1 	 1 		 1 		
	OEi			 1 	 1 	 1 	 1 		
	OEI			 2 	 2 	 1 	 2 		
	oei		 1 	 1 					
	oeI		 1 	 2 	 1 				
	oEI		 1 	 3 	 2 				
OiO	OiO	 1 							
	Oio			 1 			 1 		
	OIO			 1 	 1 	 1 	 1 	 1 	 1 
	OIo			 2 	 1 	 1 	 2 		
	oiO		 1 	 1 					 1 
	oio		 1 	 2 					
	oIO		 1 	 2 	 1 			 1 	 2 
	oIo		 1 	 3 	 1 				
OiA	OiA	 1 							
	Oia			 1 			 1 		
	OIA			 1 	 1 	 1 	 1 	 1 	 1 
	OIa			 2 	 1 	 1 	 2 		
	oiA		 1 	 1 					 1 
	oia		 1 	 2 					
	oIA		 1 	 2 	 1 			 1 	 2 
	oIa		 1 	 3 	 1 				
Oiy	Oiy	 1 							
	Oiu			 1 			 1 		
	OIy			 1 	 1 	 1 	 1 	 1 	 1 
	OIu			 2 	 1 	 1 	 2 		
	oiy		 1 	 1 					 1 
	oiu		 1 	 2 					
