trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
30	ie	IE	2.0	37.366666666666674	0	21.666666666666664											2.0	74.2	2.0	74.2	-2	92	-2	82	-2	66	-2	75.5																																																																																																																																
31	u_a	yiA	1.5	38.866666666666674	0	21.666666666666664			1.5	75.86666666666667					-2	69.0	-2	72.2	-2	72.2							1.5	77.0																																																																																																																																
32	AA_	aao	0.6666666666666666	39.53333333333334	0	21.666666666666664			0.6666666666666666	76.53333333333335					0.6666666666666666	69.66666666666667	0.6666666666666666	72.86666666666667	0.6666666666666666	72.86666666666667					-2	64	-2	75.0																																																																																																																																
33	iA_	Iao	1.3333333333333333	40.866666666666674	0	21.666666666666664			1.3333333333333333	77.86666666666667					1.3333333333333333	71.0	1.3333333333333333	74.2	1.3333333333333333	74.2	-2	90	-2	80	-2	62	-2	73.0																																																																																																																																
34	iey	IEu	1.6	42.466666666666676	0	21.666666666666664									1.6	72.6	1.6	75.8	1.6	75.8	-2	88	-2	78	-2	60	-2	71.0																																																																																																																																
35	i_i	Iui	4.5	46.966666666666676	0	21.666666666666664			4.5	82.36666666666667									4.5	80.3	-2	86	-2	76	-2	58	-2	69.0																																																																															-2	98															-2	96															-2	94													-2	92	-2	92
36	uEa	yeA	1.2	48.16666666666668	0	21.666666666666664									-2	70.6	-2	73.8	-2	78.3			1.2	77.2	1.2	59.2	1.2	70.2																																																																																																																																
37	uuE	yye	1.2	49.36666666666668	0	21.666666666666664									-2	68.6	-2	71.8	-2	76.3			1.2	78.4	1.2	60.400000000000006	1.2	71.4																																																																																																																																
38	oau	OAy	2.0	51.36666666666668	0	21.666666666666664							-2	86	-2	66.6	-2	69.8	-2	74.3					2.0	62.400000000000006	2.0	73.4																																																																																																																																
39	iii	Iii	8.0	59.36666666666668	0	21.666666666666664													8.0	82.3	-2	84	-2	76.4	-2	60.400000000000006	-2	71.4																																																																													-2	98	-2	96													-2	96	-2	94													-2	94	-2	92													-2	90	-2	90
40	u_E	yie	1.0	60.36666666666668	0	21.666666666666664			1.0	83.36666666666667					-2	64.6	-2	67.8	-2	80.3			1.0	77.4	1.0	61.400000000000006	1.0	72.4																																																																																																																																
41	oEI	oEi			2.3333333333333335	23.999999999999996													-2	78.3	2.3333333333333335	86.33333333333333	2.3333333333333335	79.73333333333333	2.3333333333333335	63.73333333333334	2.3333333333333335	74.73333333333333																																																																																													-2	94	-2	92													-2	92	-2	90													-2	88	-2	88
43	iee	IEE	2.0	62.36666666666668	0	23.999999999999996											2.0	69.8	2.0	80.3	-2	84.33333333333333	-2	77.73333333333333	-2	61.73333333333334	-2	72.73333333333333																																																																																																																																
44	uo	yo	10.0	72.36666666666667	0	23.999999999999996									-2	62.599999999999994	-2	67.8	-2	78.3							10.0	82.73333333333333																									-2	90	-2	88	-2	90	-2	88									-2	90	-2	88	-2	90	-2	88									-2	84	-2	84	-2	82	-2	82																																																																
45	Ayi	aui	1.2	73.56666666666668	0	23.999999999999996									1.2	63.8	1.2	69.0	1.2	79.5							-2	80.73333333333333																																																																																																																													-2	86	-2	86
46	yeA	uEa	1.2	74.76666666666668	0	23.999999999999996									1.2	65.0	1.2	70.2	1.2	80.7			-2	75.73333333333333	-2	59.73333333333334	-2	78.73333333333333																																																																																																																																
49	aau	AAy	2.0	76.76666666666668	0	23.999999999999996									-2	63.0	-2	68.2	-2	78.7							2.0	80.73333333333333																																																																																																																																
50	ei	Ei	4.5	81.26666666666668	0	23.999999999999996											4.5	72.7	4.5	83.2			-2	73.73333333333333	-2	57.73333333333334	-2	78.73333333333333																																																																																													-2	92	-2	90													-2	90	-2	88													-2	84	-2	84
52	aaa	AAA	2.0	83.26666666666668	0	23.999999999999996									-2	61.0	-2	70.7	-2	81.2							2.0	80.73333333333333																																																																																																																																
53	iuo	Iuo	1.3333333333333333	84.60000000000001	0	23.999999999999996													1.3333333333333333	82.53333333333333	-2	82.33333333333333	-2	71.73333333333333	-2	55.73333333333334	-2	78.73333333333333																																																											1.3333333333333333	85.33333333333333	1.3333333333333333	83.33333333333333	1.3333333333333333	83.33333333333333																																																																
54	o_	oi							5.0	88.36666666666667									-2	80.53333333333333																																																																																																																					-2	88	-2	86													-2	82	-2	82
56	oEo	Oeo	6.4	91.00000000000001	0	23.999999999999996							-2	84	-2	59.0	-2	68.7	-2	78.53333333333333			6.4	78.13333333333334	6.4	62.13333333333334	6.4	85.13333333333334											-2	96			-2	96											-2	86			-2	86									-2	88	-2	86	-2	88	-2	86									-2	82	-2	83.33333333333333	-2	81.33333333333333	-2	81.33333333333333																																																																
61	aIo	aio			2.3333333333333335	26.33333333333333													-2	76.53333333333333	2.3333333333333335	84.66666666666666	2.3333333333333335	80.46666666666667	2.3333333333333335	64.46666666666667	2.3333333333333335	87.46666666666667																																																									-2	80	-2	81.33333333333333	-2	79.33333333333333	-2	79.33333333333333																																																													-2	80	-2	80
62	IEI	IEi			2.6666666666666665	28.999999999999996													-2	74.53333333333333	2.6666666666666665	87.33333333333333	2.6666666666666665	83.13333333333334	2.6666666666666665	67.13333333333334	2.6666666666666665	90.13333333333334																																																																															-2	94													-2	90	-2	88													-2	86	-2	84													-2	78	-2	78
66	AOe	AoE			6.0	35.0							6.0	90.0	6.0	65.0	6.0	74.7	6.0	80.53333333333333			-2	81.13333333333334	-2	65.13333333333334	-2	88.13333333333334																							-2	98	-2	88	-2	84	-2	88	-2	84							-2	98	-2	86	-2	84	-2	86	-2	84							-2	94	-2	78	-2	79.33333333333333	-2	77.33333333333333	-2	77.33333333333333																																																																
67	oa	OA	2.0	93.00000000000001	0	35.0							-2	88.0	-2	63.0	-2	72.7	-2	78.53333333333333					2.0	67.13333333333334	2.0	90.13333333333334																																																																																																																																
68	__A	Ooa			12.666666666666666	47.666666666666664	12.666666666666666	80.0	0	88.36666666666667			-2	86.0											-2	65.13333333333334	-2	88.13333333333334									-2	98	-2	94	-2	98	-2	94									-2	86	-2	82	-2	86	-2	82									-2	84	-2	82	-2	84	-2	82									-2	76	-2	77.33333333333333	-2	75.33333333333333	-2	75.33333333333333																																																																
77	AOi	Aoi			6.0	53.666666666666664							6.0	92.0	6.0	69.0	6.0	78.7	6.0	84.53333333333333					-2	63.13333333333334	-2	86.13333333333334																									-2	84	-2	80	-2	84	-2	80									-2	82	-2	80	-2	82	-2	80									-2	74	-2	75.33333333333333	-2	73.33333333333333	-2	73.33333333333333																																													-2	84	-2	82													-2	76	-2	76
78	uIE	uiE			3.0	56.666666666666664													-2	82.53333333333333	3.0	90.33333333333333	3.0	84.13333333333334	3.0	66.13333333333334	3.0	89.13333333333334																																																					-2	94	-2	92	-2	72	-2	73.33333333333333	-2	71.33333333333333	-2	71.33333333333333																																																													-2	74	-2	74
81	__A	Eoa			1.0	57.666666666666664	1.0	81.0	0	88.36666666666667					1.0	70.0	1.0	79.7	1.0	83.53333333333333			-2	82.13333333333334	-2	64.13333333333334	-2	87.13333333333334																																																																																																																																
82	_ie	uiE			4.4	62.06666666666666	4.4	85.4	0	88.36666666666667							4.4	84.10000000000001	4.4	87.93333333333334			-2	80.13333333333334	-2	62.13333333333334	-2	85.13333333333334																																																					-2	92	-2	90	-2	70	-2	71.33333333333333	-2	69.33333333333333	-2	69.33333333333333																																																													-2	72	-2	72
83	__E	Aie			1.0	63.06666666666666	1.0	86.4	0	88.36666666666667					-2	68.0	-2	82.10000000000001	-2	85.93333333333334			1.0	81.13333333333334	1.0	63.13333333333334	1.0	86.13333333333334																																																																																																																																
92	_y_	Euo			1.0	64.06666666666666	1.0	87.4	0	88.36666666666667					1.0	69.0	1.0	83.10000000000001	1.0	86.93333333333334			-2	79.13333333333334	-2	61.13333333333334	-2	84.13333333333334																																																																																																																																
97	_ia	OiA			1.3333333333333333	65.39999999999999	1.3333333333333333	88.73333333333333	0	88.36666666666667			-2	90.0	-2	67.0	-2	81.10000000000001	-2	84.93333333333334							1.3333333333333333	85.46666666666667																																																													1.3333333333333333	70.66666666666666	1.3333333333333333	70.66666666666666																																																																
