trialnum	Generated	Heard	IdBkSyl1	now	IdBk	now	star_F1	now	star_F3	now	star_F4	now	star_F5	now	star_B1	now	star_B2	now	star_B3	now	star_B5	now	star_F1_B1	now	star_F1..._B1	now	star_F1_B2	now	star_F1..._B2	now	star_F1_B3	now	star_F1..._B3	now	star_F1_B5	now	star_F1..._B5	now	star_F3_B1	now	star_F3..._B1	now	star_F3_B2	now	star_F3..._B2	now	star_F3_B3	now	star_F3..._B3	now	star_F3_B5	now	star_F3..._B5	now	star_F4_B1	now	star_F4..._B1	now	star_F4_B2	now	star_F4..._B2	now	star_F4_B3	now	star_F4..._B3	now	star_F4_B5	now	star_F4..._B5	now	star_F5_B1	now	star_F5..._B1	now	star_F5_B2	now	star_F5..._B2	now	star_F5_B3	now	star_F5..._B3	now	star_F5_B5	now	star_F5..._B5	now	star__B1F1	now	star__B1...F1	now	star__B1F3	now	star__B1...F3	now	star__B1F4	now	star__B1...F4	now	star__B1F5	now	star__B1...F5	now	star__B2F1	now	star__B2...F1	now	star__B2F3	now	star__B2...F3	now	star__B2F4	now	star__B2...F4	now	star__B2F5	now	star__B2...F5	now	star__B3F1	now	star__B3...F1	now	star__B3F3	now	star__B3...F3	now	star__B3F4	now	star__B3...F4	now	star__B3F5	now	star__B3...F5	now	star__B5F1	now	star__B5...F1	now	star__B5F3	now	star__B5...F3	now	star__B5F4	now	star__B5...F4	now	star__B5F5	now	star__B5...F5	now
27	Oiy	oiu	2.2857142857142856	45.857142857142854	2.2857142857142856	25.857142857142858	2.2857142857142856	101.1904761904762	2.2857142857142856	98.2857142857143	2.2857142857142856	96.2857142857143	2.2857142857142856	96.2857142857143					-2	98.85714285714285	-2	95.57142857142857																																																													-2	89.65714285714286	-2	89.65714285714286																																													-2	98	-2	98													-2	94.85714285714286	-2	94.85714285714286
31	ai	Ai	1.0	46.857142857142854	1.0	26.857142857142858			-2	96.2857142857143	-2	94.2857142857143	-2	94.2857142857143							1.0	96.57142857142857																																																																																																																													1.0	95.85714285714286	1.0	95.85714285714286
32	Ayi	aui	1.0	47.857142857142854	1.0	27.857142857142858			1.0	97.2857142857143	1.0	95.2857142857143	1.0	95.2857142857143							-2	94.57142857142857																																																																																																																													-2	93.85714285714286	-2	93.85714285714286
34	iuo	iyO			1.1428571428571428	29.0	-2	99.1904761904762	-2	95.2857142857143	-2	93.2857142857143	-2	93.2857142857143					1.1428571428571428	99.99999999999999	1.1428571428571428	95.71428571428571																																																											1.1428571428571428	97.94285714285714	1.1428571428571428	90.8	1.1428571428571428	90.8																																																																
34	Apriori	IdBkSyl1>>IdBk	1.142857142857146	49.0																																																																																																																																																		
36	uuu	yyy	1.5	50.5	1.5	30.5			-2	93.2857142857143	-2	91.2857142857143	-2	91.2857142857143							1.5	97.21428571428571																																																																																																																																
38	eOe	eoe			6.0	36.5	6.0	105.1904761904762	6.0	99.2857142857143	6.0	97.2857142857143	6.0	97.2857142857143					-2	97.99999999999999	-2	95.21428571428571																																									-2	98	-2	96	-2	92.85714285714286	-2	90.85714285714286									-2	96.8	-2	95.94285714285714	-2	88.8	-2	88.8																																									-2	98	-2	98	-2	96	-2	96									-2	94	-2	94.85714285714286	-2	91.85714285714286	-2	91.85714285714286
38	Apriori	IdBkSyl1>>IdBk	6.0	56.5																																																																																																																																																		
39	aeu	Aey	0.5	57.0	0.5	37.0			-2	97.2857142857143	-2	95.2857142857143	-2	95.2857142857143							0.5	95.71428571428571																																													0.5	93.35714285714286	0.5	91.35714285714286													0.5	89.3	0.5	89.3																																																									0.5	94.5	0.5	95.35714285714286	0.5	92.35714285714286	0.5	92.35714285714286
41	ouu	Oyy	1.6	58.6	1.6	38.6	-2	103.1904761904762	-2	95.2857142857143	-2	93.2857142857143	-2	93.2857142857143					1.6	99.59999999999998	1.6	97.3142857142857																																																																																																																																
42	AyA	aua	0.3333333333333333	58.93333333333334	0.3333333333333333	38.93333333333334			0.3333333333333333	95.61904761904763	0.3333333333333333	93.61904761904763	0.3333333333333333	93.61904761904763							-2	95.3142857142857																																																																																																																																
44	eoe	eOe			0.4	39.333333333333336	-2	101.1904761904762	-2	93.61904761904763	-2	91.61904761904763	-2	91.61904761904763					0.4	99.99999999999999	0.4	95.71428571428571																																									0.4	98.4	0.4	96.4	0.4	93.75714285714287	0.4	91.75714285714287									0.4	97.2	0.4	96.34285714285714	0.4	89.7	0.4	89.7																																									0.4	98.4	0.4	98.4	0.4	96.4	0.4	96.4									0.4	94.9	0.4	95.75714285714287	0.4	92.75714285714287	0.4	92.75714285714287
44	Apriori	IdBkSyl1>>IdBk	0.3999999999999986	59.333333333333336																																																																																																																																																		
45	iAA	iaa			1.2	40.53333333333334			1.2	94.81904761904764	1.2	92.81904761904764	1.2	92.81904761904764							-2	93.71428571428571																																																													-2	87.7	-2	87.7																																																																
45	Apriori	IdBkSyl1>>IdBk	1.2000000000000028	60.53333333333334																																																																																																																																																		
46	ea	eA			0.8571428571428571	41.39047619047619			-2	92.81904761904764	-2	90.81904761904764	-2	90.81904761904764							0.8571428571428571	94.57142857142857																																													0.8571428571428571	94.61428571428573	0.8571428571428571	92.61428571428573													0.8571428571428571	88.55714285714286	0.8571428571428571	88.55714285714286																																																																
46	Apriori	IdBkSyl1>>IdBk	0.8571428571428541	61.39047619047619																																																																																																																																																		
47	oe	Oe	0.6153846153846154	62.005860805860806	0.6153846153846154	42.005860805860806	-2	99.1904761904762	-2	90.81904761904764	-2	88.81904761904764	-2	88.81904761904764					0.6153846153846154	100.6153846153846	0.6153846153846154	95.18681318681318																																																																																																									0.6153846153846154	99.01538461538462	0.6153846153846154	99.01538461538462	0.6153846153846154	97.01538461538462	0.6153846153846154	97.01538461538462									0.6153846153846154	95.51538461538462	0.6153846153846154	96.37252747252748	0.6153846153846154	93.37252747252748	0.6153846153846154	93.37252747252748
48	Oey	oeu	4.0	66.0058608058608	4.0	46.005860805860806	4.0	103.1904761904762	4.0	94.81904761904764	4.0	92.81904761904764	4.0	92.81904761904764					-2	98.6153846153846	-2	93.18681318681318																																													-2	92.61428571428573	-2	90.61428571428573													-2	86.55714285714286	-2	86.55714285714286																																									-2	97.01538461538462	-2	97.01538461538462	-2	95.01538461538462	-2	95.01538461538462									-2	93.51538461538462	-2	94.37252747252748	-2	91.37252747252748	-2	91.37252747252748
53	Oiy	oiu	2.2857142857142856	68.2915750915751	2.2857142857142856	48.29157509157509	2.2857142857142856	105.4761904761905	2.2857142857142856	97.10476190476193	2.2857142857142856	95.10476190476193	2.2857142857142856	95.10476190476193					-2	96.6153846153846	-2	91.18681318681318																																																													-2	84.55714285714286	-2	84.55714285714286																																													-2	93.01538461538462	-2	93.01538461538462													-2	89.37252747252748	-2	89.37252747252748
