			Id(Bk)Syl1	Id(Bk)	*F3	*B1	*B2	*F3_B1	*F3..._B1	*F3_B2	*F3..._B2	*_B1F3	*_B1...F3	*_B2F3	*_B2...F3
	IO		 1 	 1 	 1 	 1 	 1 					 1 	 1 	 1 	 1 
	Io		 1 	 2 		 1 	 1 								
iA	iA				 1 										
	ia			 1 											
	IA		 1 	 1 	 1 	 1 	 1 					 1 	 1 	 1 	 1 
	Ia		 1 	 2 		 1 	 1 								
iy	iy				 1 										
	iu			 1 											
	Iy		 1 	 1 	 1 	 1 	 1 					 1 	 1 	 1 	 1 
	Iu		 1 	 2 		 1 	 1 								
ie	ie	 1 													
	iE			 1 			 1 								
	Ie		 1 	 1 		 1 	 1 								
	IE		 1 	 2 		 1 	 2 								
ii	ii	 1 													
	iI			 1 		 1 	 1 								
	Ii		 1 	 1 		 1 	 1 								
	II		 1 	 2 		 2 	 2 								
iI	iI					 1 	 1 								
	ii			 1 											
	II		 1 	 1 		 2 	 2 								
	Ii		 1 	 2 		 1 	 1 								
iE	iE						 1 								
	ie			 1 											
	IE		 1 	 1 		 1 	 2 								
	Ie		 1 	 2 		 1 	 1 								
io	io														
	iO			 1 	 1 										
	Io		 1 	 1 		 1 	 1 								
	IO		 1 	 2 	 1 	 1 	 1 					 1 	 1 	 1 	 1 
ia	ia	 1 													
	iA			 1 	 1 										
	Ia		 1 	 1 		 1 	 1 								
	IA		 1 	 2 	 1 	 1 	 1 					 1 	 1 	 1 	 1 
iu	iu	 1 													
	iy			 1 	 1 										
	Iu		 1 	 1 		 1 	 1 								
	Iy		 1 	 2 	 1 	 1 	 1 					 1 	 1 	 1 	 1 
IO	IO				 1 	 1 	 1 					 1 	 1 	 1 	 1 
	Io			 1 		 1 	 1 								
	iO		 1 	 1 	 1 										
	io		 1 	 2 											
IA	IA				 1 	 1 	 1 					 1 	 1 	 1 	 1 
	Ia			 1 		 1 	 1 								
	iA		 1 	 1 	 1 										
	ia		 1 	 2 											
Iy	Iy				 1 	 1 	 1 					 1 	 1 	 1 	 1 
	Iu			 1 		 1 	 1 								
	iy		 1 	 1 	 1 										
	iu		 1 	 2 											
Ie	Ie					 1 	 1 								
	IE			 1 		 1 	 2 								
	ie		 1 	 1 											
	iE		 1 	 2 			 1 								
Ii	Ii					 1 	 1 								
	II			 1 		 2 	 2 								
	ii		 1 	 1 											
	iI		 1 	 2 		 1 	 1 								
II	II					 2 	 2 								
	Ii			 1 		 1 	 1 								
	iI		 1 	 1 		 1 	 1 								
	ii		 1 	 2 											
IE	IE					 1 	 2 								
	Ie			 1 		 1 	 1 								
	iE		 1 	 1 			 1 								
	ie		 1 	 2 											
Io	Io					 1 	 1 								
	IO			 1 	 1 	 1 	 1 					 1 	 1 	 1 	 1 
	io		 1 	 1 											
	iO		 1 	 2 	 1 										
Ia	Ia					 1 	 1 								
	IA			 1 	 1 	 1 	 1 					 1 	 1 	 1 	 1 
	ia		 1 	 1 											
	iA		 1 	 2 	 1 										
Iu	Iu					 1 	 1 								
	Iy			 1 	 1 	 1 	 1 					 1 	 1 	 1 	 1 
	iu		 1 	 1 											
	iy		 1 	 2 	 1 										
EO	EO				 1 		 1 							 1 	 1 
	Eo			 1 			 1 								
	eO		 1 	 1 	 1 										
	eo		 1 	 2 											
EA	EA				 1 		 1 							 1 	 1 
	Ea			 1 			 1 								
	eA		 1 	 1 	 1 										
	ea		 1 	 2 											
Ey	Ey				 1 		 1 							 1 	 1 
	Eu			 1 			 1 								
	ey		 1 	 1 	 1 										
	eu		 1 	 2 											
Ee	Ee	 1 					 1 								
	EE			 1 			 2 								
	ee		 1 	 1 											
	eE		 1 	 2 			 1 								
Ei	Ei	 1 					 1 								
	EI			 1 		 1 	 2 								
	ei		 1 	 1 											
	eI		 1 	 2 		 1 	 1 								
EI	EI					 1 	 2 								
	Ei			 1 			 1 								
	eI		 1 	 1 		 1 	 1 								
	ei		 1 	 2 											
EE	EE						 2 								
	Ee			 1 			 1 								
	eE		 1 	 1 			 1 								
	ee		 1 	 2 											
Eo	Eo						 1 								
	EO			 1 	 1 		 1 							 1 	 1 
	eo		 1 	 1 											
	eO		 1 	 2 	 1 										
Ea	Ea	 1 					 1 								
	EA			 1 	 1 		 1 							 1 	 1 
	ea		 1 	 1 											
	eA		 1 	 2 	 1 										
Eu	Eu	 1 					 1 								
	Ey			 1 	 1 		 1 							 1 	 1 
	eu		 1 	 1 											
	ey		 1 	 2 	 1 										
oO	oO				 1 										
	oo			 1 											
	OO		 1 	 1 	 2 										
	Oo		 1 	 2 	 1 										
oA	oA				 1 										
	oa			 1 											
	OA		 1 	 1 	 2 										
	Oa		 1 	 2 	 1 										
oy	oy				 1 										
	ou			 1 											
	Oy		 1 	 1 	 2 										
	Ou		 1 	 2 	 1 										
oe	oe	 1 													
	oE			 1 			 1 								
	Oe		 1 	 1 	 1 										
	OE		 1 	 2 	 1 		 1 			 1 	 1 				
oi	oi	 1 													
	oI			 1 		 1 	 1 								
	Oi		 1 	 1 	 1 										
	OI		 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
oI	oI					 1 	 1 								
	oi			 1 											
	OI		 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	Oi		 1 	 2 	 1 										
oE	oE						 1 								
	oe			 1 											
	OE		 1 	 1 	 1 		 1 			 1 	 1 				
	Oe		 1 	 2 	 1 										
oo	oo														
	oO			 1 	 1 										
	Oo		 1 	 1 	 1 										
	OO		 1 	 2 	 2 										
oa	oa	 1 													
	oA			 1 	 1 										
	Oa		 1 	 1 	 1 										
	OA		 1 	 2 	 2 										
ou	ou	 1 													
	oy			 1 	 1 										
	Ou		 1 	 1 	 1 										
	Oy		 1 	 2 	 2 										
aO	aO				 1 										
	ao			 1 											
	AO		 1 	 1 	 2 										
	Ao		 1 	 2 	 1 										
aA	aA				 1 										
	aa			 1 											
	AA		 1 	 1 	 2 										
	Aa		 1 	 2 	 1 										
ay	ay				 1 										
	au			 1 											
	Ay		 1 	 1 	 2 										
	Au		 1 	 2 	 1 										
ae	ae	 1 													
	aE			 1 			 1 								
	Ae		 1 	 1 	 1 										
	AE		 1 	 2 	 1 		 1 			 1 	 1 				
ai	ai	 1 													
	aI			 1 		 1 	 1 								
	Ai		 1 	 1 	 1 										
	AI		 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
aI	aI					 1 	 1 								
	ai			 1 											
	AI		 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	Ai		 1 	 2 	 1 										
aE	aE						 1 								
	ae			 1 											
	AE		 1 	 1 	 1 		 1 			 1 	 1 				
	Ae		 1 	 2 	 1 										
ao	ao														
	aO			 1 	 1 										
	Ao		 1 	 1 	 1 										
	AO		 1 	 2 	 2 										
aa	aa	 1 													
	aA			 1 	 1 										
	Aa		 1 	 1 	 1 										
	AA		 1 	 2 	 2 										
au	au	 1 													
	ay			 1 	 1 										
	Au		 1 	 1 	 1 										
	Ay		 1 	 2 	 2 										
uO	uO				 1 										
	uo			 1 											
	yO		 1 	 1 	 2 										
	yo		 1 	 2 	 1 										
uA	uA				 1 										
	ua			 1 											
	yA		 1 	 1 	 2 										
	ya		 1 	 2 	 1 										
uy	uy				 1 										
	uu			 1 											
	yy		 1 	 1 	 2 										
	yu		 1 	 2 	 1 										
ue	ue	 1 													
	uE			 1 			 1 								
	ye		 1 	 1 	 1 										
	yE		 1 	 2 	 1 		 1 			 1 	 1 				
ui	ui	 1 													
	uI			 1 		 1 	 1 								
	yi		 1 	 1 	 1 										
	yI		 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
uI	uI					 1 	 1 								
	ui			 1 											
	yI		 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	yi		 1 	 2 	 1 										
uE	uE						 1 								
	ue			 1 											
	yE		 1 	 1 	 1 		 1 			 1 	 1 				
	ye		 1 	 2 	 1 										
uo	uo														
	uO			 1 	 1 										
	yo		 1 	 1 	 1 										
	yO		 1 	 2 	 2 										
ua	ua	 1 													
	uA			 1 	 1 										
	ya		 1 	 1 	 1 										
	yA		 1 	 2 	 2 										
uu	uu	 1 													
	uy			 1 	 1 										
	yu		 1 	 1 	 1 										
	yy		 1 	 2 	 2 										
OOO	OOO				 3 										
	OOo			 1 	 2 										
	Ooo			 2 	 1 										
	oOO		 1 	 1 	 2 										
	oOo		 1 	 2 	 1 										
	ooo		 1 	 3 											
OOA	OOA				 3 										
	OOa			 1 	 2 										
	Ooa			 2 	 1 										
	oOA		 1 	 1 	 2 										
	oOa		 1 	 2 	 1 										
	ooa		 1 	 3 											
OOy	OOy				 3 										
	OOu			 1 	 2 										
	Oou			 2 	 1 										
	oOy		 1 	 1 	 2 										
	oOu		 1 	 2 	 1 										
	oou		 1 	 3 											
OOe	OOe				 2 										
	OOE			 1 	 2 		 1 			 1 	 1 				
	Ooe			 1 	 1 										
	OoE			 2 	 1 		 1 				 1 				
	oOe		 1 	 1 	 1 										
	oOE		 1 	 2 	 1 		 1 			 1 	 1 				
	ooe		 1 	 2 											
	ooE		 1 	 3 			 1 								
OOi	OOi				 2 										
	OOI			 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 				
	Ooi			 1 	 1 										
	OoI			 2 	 1 	 1 	 1 		 1 		 1 				
	oOi		 1 	 1 	 1 										
	oOI		 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	ooi		 1 	 2 											
	ooI		 1 	 3 		 1 	 1 								
OOI	OOI				 2 	 1 	 1 	 1 	 1 	 1 	 1 				
	OOi			 1 	 2 										
	OoI			 1 	 1 	 1 	 1 		 1 		 1 				
	Ooi			 2 	 1 										
	oOI		 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	oOi		 1 	 2 	 1 										
	ooI		 1 	 2 		 1 	 1 								
	ooi		 1 	 3 											
OOE	OOE				 2 		 1 			 1 	 1 				
	OOe			 1 	 2 										
	OoE			 1 	 1 		 1 				 1 				
	Ooe			 2 	 1 										
	oOE		 1 	 1 	 1 		 1 			 1 	 1 				
	oOe		 1 	 2 	 1 										
	ooE		 1 	 2 			 1 								
	ooe		 1 	 3 											
OOo	OOo				 2 										
	OOO			 1 	 3 										
	Ooo			 1 	 1 										
	OoO			 2 	 2 										
	oOo		 1 	 1 	 1 										
	oOO		 1 	 2 	 2 										
	ooo		 1 	 2 											
	ooO		 1 	 3 	 1 										
OOa	OOa				 2 										
	OOA			 1 	 3 										
	Ooa			 1 	 1 										
	OoA			 2 	 2 										
	oOa		 1 	 1 	 1 										
	oOA		 1 	 2 	 2 										
	ooa		 1 	 2 											
	ooA		 1 	 3 	 1 										
OOu	OOu				 2 										
	OOy			 1 	 3 										
	Oou			 1 	 1 										
	Ooy			 2 	 2 										
	oOu		 1 	 1 	 1 										
	oOy		 1 	 2 	 2 										
	oou		 1 	 2 											
	ooy		 1 	 3 	 1 										
OAO	OAO				 3 										
	OAo			 1 	 2 										
	Oao			 2 	 1 										
	oAO		 1 	 1 	 2 										
	oAo		 1 	 2 	 1 										
	oao		 1 	 3 											
OAA	OAA				 3 										
	OAa			 1 	 2 										
	Oaa			 2 	 1 										
	oAA		 1 	 1 	 2 										
	oAa		 1 	 2 	 1 										
	oaa		 1 	 3 											
OAy	OAy				 3 										
	OAu			 1 	 2 										
	Oau			 2 	 1 										
	oAy		 1 	 1 	 2 										
	oAu		 1 	 2 	 1 										
	oau		 1 	 3 											
OAe	OAe				 2 										
	OAE			 1 	 2 		 1 			 1 	 1 				
	Oae			 1 	 1 										
	OaE			 2 	 1 		 1 				 1 				
	oAe		 1 	 1 	 1 										
	oAE		 1 	 2 	 1 		 1 			 1 	 1 				
	oae		 1 	 2 											
	oaE		 1 	 3 			 1 								
OAi	OAi				 2 										
	OAI			 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 				
	Oai			 1 	 1 										
	OaI			 2 	 1 	 1 	 1 		 1 		 1 				
	oAi		 1 	 1 	 1 										
	oAI		 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	oai		 1 	 2 											
	oaI		 1 	 3 		 1 	 1 								
OAI	OAI				 2 	 1 	 1 	 1 	 1 	 1 	 1 				
	OAi			 1 	 2 										
	OaI			 1 	 1 	 1 	 1 		 1 		 1 				
	Oai			 2 	 1 										
	oAI		 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	oAi		 1 	 2 	 1 										
	oaI		 1 	 2 		 1 	 1 								
	oai		 1 	 3 											
OAE	OAE				 2 		 1 			 1 	 1 				
	OAe			 1 	 2 										
	OaE			 1 	 1 		 1 				 1 				
	Oae			 2 	 1 										
	oAE		 1 	 1 	 1 		 1 			 1 	 1 				
	oAe		 1 	 2 	 1 										
	oaE		 1 	 2 			 1 								
	oae		 1 	 3 											
OAo	OAo				 2 										
	OAO			 1 	 3 										
	Oao			 1 	 1 										
	OaO			 2 	 2 										
	oAo		 1 	 1 	 1 										
	oAO		 1 	 2 	 2 										
	oao		 1 	 2 											
	oaO		 1 	 3 	 1 										
OAa	OAa				 2 										
	OAA			 1 	 3 										
	Oaa			 1 	 1 										
	OaA			 2 	 2 										
	oAa		 1 	 1 	 1 										
	oAA		 1 	 2 	 2 										
	oaa		 1 	 2 											
	oaA		 1 	 3 	 1 										
OAu	OAu				 2 										
	OAy			 1 	 3 										
	Oau			 1 	 1 										
	Oay			 2 	 2 										
	oAu		 1 	 1 	 1 										
	oAy		 1 	 2 	 2 										
	oau		 1 	 2 											
	oay		 1 	 3 	 1 										
OyO	OyO				 3 										
	Oyo			 1 	 2 										
	Ouo			 2 	 1 										
	oyO		 1 	 1 	 2 										
	oyo		 1 	 2 	 1 										
	ouo		 1 	 3 											
OyA	OyA				 3 										
	Oya			 1 	 2 										
	Oua			 2 	 1 										
	oyA		 1 	 1 	 2 										
	oya		 1 	 2 	 1 										
	oua		 1 	 3 											
Oyy	Oyy				 3 										
	Oyu			 1 	 2 										
	Ouu			 2 	 1 										
	oyy		 1 	 1 	 2 										
	oyu		 1 	 2 	 1 										
	ouu		 1 	 3 											
Oye	Oye				 2 										
	OyE			 1 	 2 		 1 			 1 	 1 				
	Oue			 1 	 1 										
	OuE			 2 	 1 		 1 				 1 				
	oye		 1 	 1 	 1 										
	oyE		 1 	 2 	 1 		 1 			 1 	 1 				
	oue		 1 	 2 											
	ouE		 1 	 3 			 1 								
Oyi	Oyi				 2 										
	OyI			 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 				
	Oui			 1 	 1 										
	OuI			 2 	 1 	 1 	 1 		 1 		 1 				
	oyi		 1 	 1 	 1 										
	oyI		 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	oui		 1 	 2 											
	ouI		 1 	 3 		 1 	 1 								
OyI	OyI				 2 	 1 	 1 	 1 	 1 	 1 	 1 				
	Oyi			 1 	 2 										
	OuI			 1 	 1 	 1 	 1 		 1 		 1 				
	Oui			 2 	 1 										
	oyI		 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	oyi		 1 	 2 	 1 										
	ouI		 1 	 2 		 1 	 1 								
	oui		 1 	 3 											
OyE	OyE				 2 		 1 			 1 	 1 				
	Oye			 1 	 2 										
	OuE			 1 	 1 		 1 				 1 				
	Oue			 2 	 1 										
	oyE		 1 	 1 	 1 		 1 			 1 	 1 				
	oye		 1 	 2 	 1 										
	ouE		 1 	 2 			 1 								
	oue		 1 	 3 											
Oyo	Oyo				 2 										
	OyO			 1 	 3 										
	Ouo			 1 	 1 										
	OuO			 2 	 2 										
	oyo		 1 	 1 	 1 										
	oyO		 1 	 2 	 2 										
	ouo		 1 	 2 											
	ouO		 1 	 3 	 1 										
Oya	Oya				 2 										
	OyA			 1 	 3 										
	Oua			 1 	 1 										
	OuA			 2 	 2 										
	oya		 1 	 1 	 1 										
	oyA		 1 	 2 	 2 										
	oua		 1 	 2 											
	ouA		 1 	 3 	 1 										
Oyu	Oyu				 2 										
	Oyy			 1 	 3 										
	Ouu			 1 	 1 										
	Ouy			 2 	 2 										
	oyu		 1 	 1 	 1 										
	oyy		 1 	 2 	 2 										
	ouu		 1 	 2 											
	ouy		 1 	 3 	 1 										
OeO	OeO				 2 										
	Oeo			 1 	 1 										
	OEO			 1 	 2 		 1 			 1 	 1 			 1 	 1 
	OEo			 2 	 1 		 1 			 1 	 1 				
	oeO		 1 	 1 	 1 										
	oeo		 1 	 2 											
	oEO		 1 	 2 	 1 		 1 							 1 	 1 
	oEo		 1 	 3 			 1 								
OeA	OeA				 2 										
	Oea			 1 	 1 										
	OEA			 1 	 2 		 1 			 1 	 1 			 1 	 1 
	OEa			 2 	 1 		 1 			 1 	 1 				
	oeA		 1 	 1 	 1 										
	oea		 1 	 2 											
	oEA		 1 	 2 	 1 		 1 							 1 	 1 
	oEa		 1 	 3 			 1 								
Oey	Oey				 2 										
	Oeu			 1 	 1 										
	OEy			 1 	 2 		 1 			 1 	 1 			 1 	 1 
	OEu			 2 	 1 		 1 			 1 	 1 				
	oey		 1 	 1 	 1 										
	oeu		 1 	 2 											
	oEy		 1 	 2 	 1 		 1 							 1 	 1 
	oEu		 1 	 3 			 1 								
Oee	Oee	 1 			 1 										
	OeE			 1 	 1 		 1 				 1 				
	OEe			 1 	 1 		 1 			 1 	 1 				
	OEE			 2 	 1 		 2 			 1 	 2 				
	oee		 1 	 1 											
	oeE		 1 	 2 			 1 								
	oEE		 1 	 3 			 2 								
Oei	Oei	 1 			 1 										
	OeI			 1 	 1 	 1 	 1 		 1 		 1 				
	OEi			 1 	 1 		 1 			 1 	 1 				
	OEI			 2 	 1 	 1 	 2 		 1 	 1 	 2 				
	oei		 1 	 1 											
	oeI		 1 	 2 		 1 	 1 								
	oEi		 1 	 2 			 1 								
	oEI		 1 	 3 		 1 	 2 								
OeI	OeI				 1 	 1 	 1 		 1 		 1 				
	Oei			 1 	 1 										
	OEI			 1 	 1 	 1 	 2 		 1 	 1 	 2 				
	OEi			 2 	 1 		 1 			 1 	 1 				
	oeI		 1 	 1 		 1 	 1 								
	oei		 1 	 2 											
	oEI		 1 	 2 		 1 	 2 								
	oEi		 1 	 3 			 1 								
OeE	OeE				 1 		 1 				 1 				
	Oee			 1 	 1 										
	OEE			 1 	 1 		 2 			 1 	 2 				
	OEe			 2 	 1 		 1 			 1 	 1 				
	oeE		 1 	 1 			 1 								
	oee		 1 	 2 											
	oEE		 1 	 2 			 2 								
	oEe		 1 	 3 			 1 								
Oeo	Oeo				 1 										
	OeO			 1 	 2 										
	OEo			 1 	 1 		 1 			 1 	 1 				
	OEO			 2 	 2 		 1 			 1 	 1 			 1 	 1 
	oeo		 1 	 1 											
	oeO		 1 	 2 	 1 										
	oEo		 1 	 2 			 1 								
	oEO		 1 	 3 	 1 		 1 							 1 	 1 
Oea	Oea	 1 			 1 										
	OeA			 1 	 2 										
	OEa			 1 	 1 		 1 			 1 	 1 				
	OEA			 2 	 2 		 1 			 1 	 1 			 1 	 1 
	oea		 1 	 1 											
	oeA		 1 	 2 	 1 										
	oEa		 1 	 2 			 1 								
	oEA		 1 	 3 	 1 		 1 							 1 	 1 
Oeu	Oeu	 1 			 1 										
	Oey			 1 	 2 										
	OEu			 1 	 1 		 1 			 1 	 1 				
	OEy			 2 	 2 		 1 			 1 	 1 			 1 	 1 
	oeu		 1 	 1 											
	oey		 1 	 2 	 1 										
	oEu		 1 	 2 			 1 								
	oEy		 1 	 3 	 1 		 1 							 1 	 1 
OiO	OiO				 2 										
	Oio			 1 	 1 										
	OIO			 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
	OIo			 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	oiO		 1 	 1 	 1 										
	oio		 1 	 2 											
	oIO		 1 	 2 	 1 	 1 	 1 					 1 	 1 	 1 	 1 
	oIo		 1 	 3 		 1 	 1 								
OiA	OiA				 2 										
	Oia			 1 	 1 										
	OIA			 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
	OIa			 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	oiA		 1 	 1 	 1 										
	oia		 1 	 2 											
	oIA		 1 	 2 	 1 	 1 	 1 					 1 	 1 	 1 	 1 
	oIa		 1 	 3 		 1 	 1 								
Oiy	Oiy				 2 										
	Oiu			 1 	 1 										
	OIy			 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
	OIu			 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	oiy		 1 	 1 	 1 										
	oiu		 1 	 2 											
	oIy		 1 	 2 	 1 	 1 	 1 					 1 	 1 	 1 	 1 
	oIu		 1 	 3 		 1 	 1 								
Oie	Oie	 1 			 1 										
	OiE			 1 	 1 		 1 				 1 				
	OIe			 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	OIE			 2 	 1 	 1 	 2 	 1 	 1 	 1 	 2 				
	oie		 1 	 1 											
	oiE		 1 	 2 			 1 								
	oIe		 1 	 2 		 1 	 1 								
	oIE		 1 	 3 		 1 	 2 								
Oii	Oii	 1 			 1 										
	OiI			 1 	 1 	 1 	 1 		 1 		 1 				
	OIi			 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	OII			 2 	 1 	 2 	 2 	 1 	 2 	 1 	 2 				
	oii		 1 	 1 											
	oiI		 1 	 2 		 1 	 1 								
	oII		 1 	 3 		 2 	 2 								
OiI	OiI				 1 	 1 	 1 		 1 		 1 				
	Oii			 1 	 1 										
	OII			 1 	 1 	 2 	 2 	 1 	 2 	 1 	 2 				
	OIi			 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	oiI		 1 	 1 		 1 	 1 								
	oii		 1 	 2 											
	oII		 1 	 2 		 2 	 2 								
	oIi		 1 	 3 		 1 	 1 								
OiE	OiE				 1 		 1 				 1 				
	Oie			 1 	 1 										
	OIE			 1 	 1 	 1 	 2 	 1 	 1 	 1 	 2 				
	OIe			 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 				
	oiE		 1 	 1 			 1 								
	oie		 1 	 2 											
	oIE		 1 	 2 		 1 	 2 								
