			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	*F1	*F3	*F4	*F5	*B1	*B2	*B3	*B5	*F1_B1	*F1..._B1	*F1_B2	*F1..._B2	*F1_B3	*F1..._B3	*F1_B5	*F1..._B5	*F3_B1	*F3..._B1	*F3_B2	*F3..._B2	*F3_B3	*F3..._B3	*F3_B5	*F3..._B5	*F4_B1	*F4..._B1	*F4_B2	*F4..._B2	*F4_B3	*F4..._B3	*F4_B5	*F4..._B5	*F5_B1	*F5..._B1	*F5_B2	*F5..._B2	*F5_B3	*F5..._B3	*F5_B5	*F5..._B5	*_B1F1	*_B1...F1	*_B1F3	*_B1...F3	*_B1F4	*_B1...F4	*_B1F5	*_B1...F5	*_B2F1	*_B2...F1	*_B2F3	*_B2...F3	*_B2F4	*_B2...F4	*_B2F5	*_B2...F5	*_B3F1	*_B3...F1	*_B3F3	*_B3...F3	*_B3F4	*_B3...F4	*_B3F5	*_B3...F5	*_B5F1	*_B5...F1	*_B5F3	*_B5...F3	*_B5F4	*_B5...F4	*_B5F5	*_B5...F5
			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	*F1	*F3	*F4	*F5	*B1	*B2	*B3	*B5	*F1_B1	*F1..._B1	*F1_B2	*F1..._B2	*F1_B3	*F1..._B3	*F1_B5	*F1..._B5	*F3_B1	*F3..._B1	*F3_B2	*F3..._B2	*F3_B3	*F3..._B3	*F3_B5	*F3..._B5	*F4_B1	*F4..._B1	*F4_B2	*F4..._B2	*F4_B3	*F4..._B3	*F4_B5	*F4..._B5	*F5_B1	*F5..._B1	*F5_B2	*F5..._B2	*F5_B3	*F5..._B3	*F5_B5	*F5..._B5	*_B1F1	*_B1...F1	*_B1F3	*_B1...F3	*_B1F4	*_B1...F4	*_B1F5	*_B1...F5	*_B2F1	*_B2...F1	*_B2F3	*_B2...F3	*_B2F4	*_B2...F4	*_B2F5	*_B2...F5	*_B3F1	*_B3...F1	*_B3F3	*_B3...F3	*_B3F4	*_B3...F4	*_B3F5	*_B3...F5	*_B5F1	*_B5...F1	*_B5F3	*_B5...F3	*_B5F4	*_B5...F4	*_B5F5	*_B5...F5
	aO		 1 	 1 			 1 	 1 	 1 	 1 				 1 																																																									 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
	a_		 1 	 1 		 1 								 1 																																																																
	ao		 1 	 2 									 1 	 2 																																																																
AA	AA	 1 						 2 	 2 	 2 																																																																				
	_A				 1 	 1 		 1 	 1 	 1 																																																																				
	A_					 1 		 1 	 1 	 1 																																																																				
	__				 1 	 2 																																																																								
	Aa			 1 				 1 	 1 	 1 				 1 															 1 	 1 							 1 	 1 							 1 	 1 																																
	_a			 1 	 1 	 1 								 1 																																																																
	aA		 1 	 1 				 1 	 1 	 1 				 1 																																																											 1 	 1 	 1 	 1 	 1 	 1 
	a_		 1 	 1 		 1 								 1 																																																																
	aa		 1 	 2 										 2 																																																																
Ay	Ay	 1 						 2 	 2 	 2 																																																																				
	_y				 1 	 1 		 1 	 1 	 1 																																																																				
	A_					 1 		 1 	 1 	 1 																																																																				
	__				 1 	 2 																																																																								
	Au			 1 				 1 	 1 	 1 				 1 															 1 	 1 							 1 	 1 							 1 	 1 																																
	_u			 1 	 1 	 1 								 1 																																																																
	ay		 1 	 1 				 1 	 1 	 1 				 1 																																																											 1 	 1 	 1 	 1 	 1 	 1 
	a_		 1 	 1 		 1 								 1 																																																																
	au		 1 	 2 										 2 																																																																
Ae	Ae	 1 						 1 	 2 	 2 																																																																				
	_e				 1 	 1 			 1 	 1 																																																																				
	A_					 1 		 1 	 1 	 1 																																																																				
	__				 1 	 2 																																																																								
	AE			 1 				 1 	 1 	 1 		 1 	 1 	 1 											 1 	 1 	 1 	 1 	 1 	 1 			 1 	 1 	 1 	 1 	 1 	 1 			 1 	 1 	 1 	 1 	 1 	 1 																																
	_E			 1 	 1 	 1 						 1 	 1 	 1 																																																																
	ae		 1 	 1 					 1 	 1 				 1 																																																													 1 	 1 	 1 	 1 
	a_		 1 	 1 		 1 								 1 																																																																
	aE		 1 	 2 								 1 	 1 	 2 																																																																
Ai	Ai	 1 						 1 	 1 	 2 																																																																				
	_i				 1 	 1 				 1 																																																																				
	A_					 1 		 1 	 1 	 1 																																																																				
	__				 1 	 2 																																																																								
	AI			 1 				 1 	 1 	 1 	 1 	 1 	 1 	 1 									 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 																																
	_I			 1 	 1 	 1 					 1 	 1 	 1 	 1 																																																																
	ai		 1 	 1 						 1 				 1 																																																															 1 	 1 
	a_		 1 	 1 		 1 								 1 																																																																
	aI		 1 	 2 							 1 	 1 	 1 	 2 																																																																
yO	yO	 1 					 1 	 2 	 2 	 2 																																																																				
	_O				 1 	 1 	 1 	 1 	 1 	 1 																																																																				
	y_					 1 		 1 	 1 	 1 																																																																				
	__				 1 	 2 																																																																								
	yo			 1 				 1 	 1 	 1 			 1 	 1 													 1 	 1 	 1 	 1 					 1 	 1 	 1 	 1 					 1 	 1 	 1 	 1 																																
	_o			 1 	 1 	 1 							 1 	 1 																																																																
	uO		 1 	 1 			 1 	 1 	 1 	 1 				 1 																																																									 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
	u_		 1 	 1 		 1 								 1 																																																																
	uo		 1 	 2 									 1 	 2 																																																																
yA	yA	 1 						 2 	 2 	 2 																																																																				
	_A				 1 	 1 		 1 	 1 	 1 																																																																				
	y_					 1 		 1 	 1 	 1 																																																																				
	__				 1 	 2 																																																																								
	ya			 1 				 1 	 1 	 1 				 1 															 1 	 1 							 1 	 1 							 1 	 1 																																
	_a			 1 	 1 	 1 								 1 																																																																
	uA		 1 	 1 				 1 	 1 	 1 				 1 																																																											 1 	 1 	 1 	 1 	 1 	 1 
	u_		 1 	 1 		 1 								 1 																																																																
	ua		 1 	 2 										 2 																																																																
yy	yy	 1 						 2 	 2 	 2 																																																																				
	_y				 1 	 1 		 1 	 1 	 1 																																																																				
	y_					 1 		 1 	 1 	 1 																																																																				
	__				 1 	 2 																																																																								
	yu			 1 				 1 	 1 	 1 				 1 															 1 	 1 							 1 	 1 							 1 	 1 																																
	_u			 1 	 1 	 1 								 1 																																																																
	uy		 1 	 1 				 1 	 1 	 1 				 1 																																																											 1 	 1 	 1 	 1 	 1 	 1 
	u_		 1 	 1 		 1 								 1 																																																																
	uu		 1 	 2 										 2 																																																																
ye	ye	 1 						 1 	 2 	 2 																																																																				
	_e				 1 	 1 			 1 	 1 																																																																				
	y_					 1 		 1 	 1 	 1 																																																																				
	__				 1 	 2 																																																																								
	yE			 1 				 1 	 1 	 1 		 1 	 1 	 1 											 1 	 1 	 1 	 1 	 1 	 1 			 1 	 1 	 1 	 1 	 1 	 1 			 1 	 1 	 1 	 1 	 1 	 1 																																
	_E			 1 	 1 	 1 						 1 	 1 	 1 																																																																
	ue		 1 	 1 					 1 	 1 				 1 																																																													 1 	 1 	 1 	 1 
	u_		 1 	 1 		 1 								 1 																																																																
	uE		 1 	 2 								 1 	 1 	 2 																																																																
yi	yi	 1 						 1 	 1 	 2 																																																																				
	_i				 1 	 1 				 1 																																																																				
