			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	Id(HiLoRd)Syl1	Id(HiLoRd)	*F3	*B1	*B2
			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	Id(HiLoRd)Syl1	Id(HiLoRd)	*F3	*B1	*B2
	i_		0	0	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
Oa	Oa	1	0	0	0	0	0	0	1	0	0
	OA		0	1	0	0	0	0	2	0	0
	oa		1	1	0	0	0	0	0	0	0
	oA		1	2	0	0	0	0	1	0	0
	O_		0	0	0	1	0	0	1	0	0
	_a		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_A		0	1	1	1	0	0	1	0	0
	o_		1	1	0	1	0	0	0	0	0
	Oi		0	1	0	0	0	1	1	0	0
	ia		0	0	0	0	1	1	0	0	0
	ii		0	1	0	0	1	2	0	0	0
	iA		0	1	0	0	1	1	1	0	0
	oi		1	2	0	0	0	1	0	0	0
	i_		0	0	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
Ou	Ou	1	0	0	0	0	0	0	1	0	0
	Oy		0	1	0	0	0	0	2	0	0
	ou		1	1	0	0	0	0	0	0	0
	oy		1	2	0	0	0	0	1	0	0
	O_		0	0	0	1	0	0	1	0	0
	_u		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_y		0	1	1	1	0	0	1	0	0
	o_		1	1	0	1	0	0	0	0	0
	Oi		0	1	0	0	0	1	1	0	0
	iu		0	0	0	0	1	1	0	0	0
	ii		0	1	0	0	1	2	0	0	0
	iy		0	1	0	0	1	1	1	0	0
	oi		1	2	0	0	0	1	0	0	0
	i_		0	0	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
Ae	Ae	1	0	0	0	0	0	0	1	0	0
	AE		0	1	0	0	0	0	1	0	1
	ae		1	1	0	0	0	0	0	0	0
	aE		1	2	0	0	0	0	0	0	1
	A_		0	0	0	1	0	0	1	0	0
	_e		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_E		0	1	1	1	0	0	0	0	1
	a_		1	1	0	1	0	0	0	0	0
	Ai		0	0	0	0	0	1	1	0	0
	ie		0	0	0	0	1	1	0	0	0
	ii		0	0	0	0	1	2	0	0	0
	iE		0	1	0	0	1	1	0	0	1
	ai		1	1	0	0	0	1	0	0	0
	i_		0	0	0	1	1	1	0	0	0
	_i		0	0	1	1	0	1	0	0	0
Ai	Ai	1	0	0	0	0	0	0	1	0	0
	AI		0	1	0	0	0	0	1	1	1
	ai		1	1	0	0	0	0	0	0	0
	aI		1	2	0	0	0	0	0	1	1
	A_		0	0	0	1	0	0	1	0	0
	_i		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_I		0	1	1	1	0	0	0	1	1
	a_		1	1	0	1	0	0	0	0	0
	Ae		0	0	0	0	0	1	1	0	0
	ii		0	0	0	0	1	1	0	0	0
	ie		0	0	0	0	1	2	0	0	0
	iI		0	1	0	0	1	1	0	1	1
	ae		1	1	0	0	0	1	0	0	0
	i_		0	0	0	1	1	1	0	0	0
	_e		0	0	1	1	0	1	0	0	0
Ao	Ao	1	0	0	0	0	0	0	1	0	0
	AO		0	1	0	0	0	0	2	0	0
	ao		1	1	0	0	0	0	0	0	0
	aO		1	2	0	0	0	0	1	0	0
	A_		0	0	0	1	0	0	1	0	0
	_o		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_O		0	1	1	1	0	0	1	0	0
	a_		1	1	0	1	0	0	0	0	0
	Ai		0	1	0	0	0	1	1	0	0
	io		0	0	0	0	1	1	0	0	0
	ii		0	1	0	0	1	2	0	0	0
	iO		0	1	0	0	1	1	1	0	0
	ai		1	2	0	0	0	1	0	0	0
	i_		0	0	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
Aa	Aa	1	0	0	0	0	0	0	1	0	0
	AA		0	1	0	0	0	0	2	0	0
	aa		1	1	0	0	0	0	0	0	0
	aA		1	2	0	0	0	0	1	0	0
	A_		0	0	0	1	0	0	1	0	0
	_a		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_A		0	1	1	1	0	0	1	0	0
	a_		1	1	0	1	0	0	0	0	0
	Ai		0	1	0	0	0	1	1	0	0
	ia		0	0	0	0	1	1	0	0	0
	ii		0	1	0	0	1	2	0	0	0
	iA		0	1	0	0	1	1	1	0	0
	ai		1	2	0	0	0	1	0	0	0
	i_		0	0	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
Au	Au	1	0	0	0	0	0	0	1	0	0
	Ay		0	1	0	0	0	0	2	0	0
	au		1	1	0	0	0	0	0	0	0
	ay		1	2	0	0	0	0	1	0	0
	A_		0	0	0	1	0	0	1	0	0
	_u		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_y		0	1	1	1	0	0	1	0	0
	a_		1	1	0	1	0	0	0	0	0
	Ai		0	1	0	0	0	1	1	0	0
	iu		0	0	0	0	1	1	0	0	0
	ii		0	1	0	0	1	2	0	0	0
	iy		0	1	0	0	1	1	1	0	0
	ai		1	2	0	0	0	1	0	0	0
	i_		0	0	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
ye	ye	1	0	0	0	0	0	0	1	0	0
	yE		0	1	0	0	0	0	1	0	1
	ue		1	1	0	0	0	0	0	0	0
	uE		1	2	0	0	0	0	0	0	1
	y_		0	0	0	1	0	0	1	0	0
	_e		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_E		0	1	1	1	0	0	0	0	1
	u_		1	1	0	1	0	0	0	0	0
	yi		0	0	0	0	0	1	1	0	0
	ie		0	0	0	0	1	1	0	0	0
	ii		0	0	0	0	1	2	0	0	0
	iE		0	1	0	0	1	1	0	0	1
	ui		1	1	0	0	0	1	0	0	0
	i_		0	0	0	1	1	1	0	0	0
	_i		0	0	1	1	0	1	0	0	0
yi	yi	1	0	0	0	0	0	0	1	0	0
	yI		0	1	0	0	0	0	1	1	1
	ui		1	1	0	0	0	0	0	0	0
	uI		1	2	0	0	0	0	0	1	1
	y_		0	0	0	1	0	0	1	0	0
	_i		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_I		0	1	1	1	0	0	0	1	1
	u_		1	1	0	1	0	0	0	0	0
	ye		0	0	0	0	0	1	1	0	0
	ii		0	0	0	0	1	1	0	0	0
	ie		0	0	0	0	1	2	0	0	0
	iI		0	1	0	0	1	1	0	1	1
	ue		1	1	0	0	0	1	0	0	0
	i_		0	0	0	1	1	1	0	0	0
	_e		0	0	1	1	0	1	0	0	0
yo	yo	1	0	0	0	0	0	0	1	0	0
	yO		0	1	0	0	0	0	2	0	0
	uo		1	1	0	0	0	0	0	0	0
	uO		1	2	0	0	0	0	1	0	0
	y_		0	0	0	1	0	0	1	0	0
	_o		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_O		0	1	1	1	0	0	1	0	0
	u_		1	1	0	1	0	0	0	0	0
	yi		0	1	0	0	0	1	1	0	0
	io		0	0	0	0	1	1	0	0	0
	ii		0	1	0	0	1	2	0	0	0
	iO		0	1	0	0	1	1	1	0	0
	ui		1	2	0	0	0	1	0	0	0
	i_		0	0	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
ya	ya	1	0	0	0	0	0	0	1	0	0
	yA		0	1	0	0	0	0	2	0	0
	ua		1	1	0	0	0	0	0	0	0
	uA		1	2	0	0	0	0	1	0	0
