			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	Id(HiLoRd)Syl1	Id(HiLoRd)	*F3	*B1	*B2
			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	Id(HiLoRd)Syl1	Id(HiLoRd)	*F3	*B1	*B2
	_i_		0	1	1	2	0	1	0	0	0
	i_A		0	1	0	1	1	1	1	0	0
	_iA		0	2	1	1	0	1	1	0	0
	ai_		1	2	0	1	0	1	0	0	0
Aau	Aau	1	0	0	0	0	0	0	1	0	0
	Aay		0	1	0	0	0	0	2	0	0
	AAy		0	2	0	0	0	0	3	0	0
	aau		1	1	0	0	0	0	0	0	0
	aay		1	2	0	0	0	0	1	0	0
	aAy		1	3	0	0	0	0	2	0	0
	Aa_		0	0	0	1	0	0	1	0	0
	A__		0	0	0	2	0	0	1	0	0
	_au		0	0	1	1	0	0	0	0	0
	_a_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	A_y		0	1	0	1	0	0	2	0	0
	_ay		0	1	1	1	0	0	1	0	0
	__y		0	1	1	2	0	0	1	0	0
	_Ay		0	2	1	1	0	0	2	0	0
	aa_		1	1	0	1	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0
	a_y		1	2	0	1	0	0	1	0	0
	Aai		0	1	0	0	0	1	1	0	0
	Aii		0	2	0	0	0	2	1	0	0
	iau		0	0	0	0	1	1	0	0	0
	iai		0	1	0	0	1	2	0	0	0
	iii		0	2	0	0	1	3	0	0	0
	Aiy		0	2	0	0	0	1	2	0	0
	iay		0	1	0	0	1	1	1	0	0
	iiy		0	2	0	0	1	2	1	0	0
	iAy		0	2	0	0	1	1	2	0	0
	aai		1	2	0	0	0	1	0	0	0
	aii		1	3	0	0	0	2	0	0	0
	aiy		1	3	0	0	0	1	1	0	0
	Ai_		0	1	0	1	0	1	1	0	0
	ia_		0	0	0	1	1	1	0	0	0
	ii_		0	1	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ai		0	1	1	1	0	1	0	0	0
	_ii		0	2	1	1	0	2	0	0	0
	_i_		0	1	1	2	0	1	0	0	0
	i_y		0	1	0	1	1	1	1	0	0
	_iy		0	2	1	1	0	1	1	0	0
	ai_		1	2	0	1	0	1	0	0	0
Aue	Aue	1	0	0	0	0	0	0	1	0	0
	AuE		0	1	0	0	0	0	1	0	1
	Aye		0	1	0	0	0	0	2	0	0
	AyE		0	2	0	0	0	0	2	0	1
	aue		1	1	0	0	0	0	0	0	0
	auE		1	2	0	0	0	0	0	0	1
	aye		1	2	0	0	0	0	1	0	0
	ayE		1	3	0	0	0	0	1	0	1
	Au_		0	0	0	1	0	0	1	0	0
	A__		0	0	0	2	0	0	1	0	0
	_ue		0	0	1	1	0	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	A_E		0	1	0	1	0	0	1	0	1
	_uE		0	1	1	1	0	0	0	0	1
	__E		0	1	1	2	0	0	0	0	1
	Ay_		0	1	0	1	0	0	2	0	0
	_ye		0	1	1	1	0	0	1	0	0
	_y_		0	1	1	2	0	0	1	0	0
	_yE		0	2	1	1	0	0	1	0	1
	au_		1	1	0	1	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0
	a_E		1	2	0	1	0	0	0	0	1
	ay_		1	2	0	1	0	0	1	0	0
	Aui		0	0	0	0	0	1	1	0	0
	Aie		0	1	0	0	0	1	1	0	0
	Aii		0	1	0	0	0	2	1	0	0
	iue		0	0	0	0	1	1	0	0	0
	iui		0	0	0	0	1	2	0	0	0
	iie		0	1	0	0	1	2	0	0	0
	iii		0	1	0	0	1	3	0	0	0
	AiE		0	2	0	0	0	1	1	0	1
	iuE		0	1	0	0	1	1	0	0	1
	iiE		0	2	0	0	1	2	0	0	1
	Ayi		0	1	0	0	0	1	2	0	0
	iye		0	1	0	0	1	1	1	0	0
	iyi		0	1	0	0	1	2	1	0	0
	iyE		0	2	0	0	1	1	1	0	1
	aui		1	1	0	0	0	1	0	0	0
	aie		1	2	0	0	0	1	0	0	0
	aii		1	2	0	0	0	2	0	0	0
	aiE		1	3	0	0	0	1	0	0	1
	ayi		1	2	0	0	0	1	1	0	0
	Ai_		0	1	0	1	0	1	1	0	0
	iu_		0	0	0	1	1	1	0	0	0
	ii_		0	1	0	1	1	2	0	0	0
	A_i		0	0	0	1	0	1	1	0	0
	i_i		0	0	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ui		0	0	1	1	0	1	0	0	0
	_ie		0	1	1	1	0	1	0	0	0
	_ii		0	1	1	1	0	2	0	0	0
	_i_		0	1	1	2	0	1	0	0	0
	__i		0	0	1	2	0	1	0	0	0
	i_E		0	1	0	1	1	1	0	0	1
	_iE		0	2	1	1	0	1	0	0	1
	iy_		0	1	0	1	1	1	1	0	0
	_yi		0	1	1	1	0	1	1	0	0
	ai_		1	2	0	1	0	1	0	0	0
	a_i		1	1	0	1	0	1	0	0	0
Aui	Aui	1	0	0	0	0	0	0	1	0	0
	AuI		0	1	0	0	0	0	1	1	1
	Ayi		0	1	0	0	0	0	2	0	0
	AyI		0	2	0	0	0	0	2	1	1
	aui		1	1	0	0	0	0	0	0	0
	auI		1	2	0	0	0	0	0	1	1
	ayi		1	2	0	0	0	0	1	0	0
	ayI		1	3	0	0	0	0	1	1	1
	Au_		0	0	0	1	0	0	1	0	0
	A__		0	0	0	2	0	0	1	0	0
	_ui		0	0	1	1	0	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	A_I		0	1	0	1	0	0	1	1	1
	_uI		0	1	1	1	0	0	0	1	1
	__I		0	1	1	2	0	0	0	1	1
	Ay_		0	1	0	1	0	0	2	0	0
	_yi		0	1	1	1	0	0	1	0	0
	_y_		0	1	1	2	0	0	1	0	0
	_yI		0	2	1	1	0	0	1	1	1
	au_		1	1	0	1	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0
	a_I		1	2	0	1	0	0	0	1	1
	ay_		1	2	0	1	0	0	1	0	0
	Aue		0	0	0	0	0	1	1	0	0
	Aii		0	1	0	0	0	1	1	0	0
	Aie		0	1	0	0	0	2	1	0	0
	iui		0	0	0	0	1	1	0	0	0
	iue		0	0	0	0	1	2	0	0	0
	iii		0	1	0	0	1	2	0	0	0
	iie		0	1	0	0	1	3	0	0	0
	AiI		0	2	0	0	0	1	1	1	1
	iuI		0	1	0	0	1	1	0	1	1
	iiI		0	2	0	0	1	2	0	1	1
	Aye		0	1	0	0	0	1	2	0	0
	iyi		0	1	0	0	1	1	1	0	0
	iye		0	1	0	0	1	2	1	0	0
	iyI		0	2	0	0	1	1	1	1	1
	aue		1	1	0	0	0	1	0	0	0
	aii		1	2	0	0	0	1	0	0	0
	aie		1	2	0	0	0	2	0	0	0
	aiI		1	3	0	0	0	1	0	1	1
	aye		1	2	0	0	0	1	1	0	0
	Ai_		0	1	0	1	0	1	1	0	0
	iu_		0	0	0	1	1	1	0	0	0
	ii_		0	1	0	1	1	2	0	0	0
	A_e		0	0	0	1	0	1	1	0	0
	i_e		0	0	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ue		0	0	1	1	0	1	0	0	0
	_ii		0	1	1	1	0	1	0	0	0
	_ie		0	1	1	1	0	2	0	0	0
	_i_		0	1	1	2	0	1	0	0	0
	__e		0	0	1	2	0	1	0	0	0
	i_I		0	1	0	1	1	1	0	1	1
	_iI		0	2	1	1	0	1	0	1	1
	iy_		0	1	0	1	1	1	1	0	0
	_ye		0	1	1	1	0	1	1	0	0
	ai_		1	2	0	1	0	1	0	0	0
	a_e		1	1	0	1	0	1	0	0	0
Auo	Auo	1	0	0	0	0	0	0	1	0	0
	AuO		0	1	0	0	0	0	2	0	0
	AyO		0	2	0	0	0	0	3	0	0
	auo		1	1	0	0	0	0	0	0	0
	auO		1	2	0	0	0	0	1	0	0
	ayO		1	3	0	0	0	0	2	0	0
	Au_		0	0	0	1	0	0	1	0	0
	A__		0	0	0	2	0	0	1	0	0
	_uo		0	0	1	1	0	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	A_O		0	1	0	1	0	0	2	0	0
	_uO		0	1	1	1	0	0	1	0	0
	__O		0	1	1	2	0	0	1	0	0
	_yO		0	2	1	1	0	0	2	0	0
	au_		1	1	0	1	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0
	a_O		1	2	0	1	0	0	1	0	0
	Aui		0	1	0	0	0	1	1	0	0
	Aii		0	2	0	0	0	2	1	0	0
	iuo		0	0	0	0	1	1	0	0	0
	iui		0	1	0	0	1	2	0	0	0
	iii		0	2	0	0	1	3	0	0	0
	AiO		0	2	0	0	0	1	2	0	0
	iuO		0	1	0	0	1	1	1	0	0
	iiO		0	2	0	0	1	2	1	0	0
	iyO		0	2	0	0	1	1	2	0	0
	aui		1	2	0	0	0	1	0	0	0
	aii		1	3	0	0	0	2	0	0	0
	aiO		1	3	0	0	0	1	1	0	0
	Ai_		0	1	0	1	0	1	1	0	0
	iu_		0	0	0	1	1	1	0	0	0
	ii_		0	1	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ui		0	1	1	1	0	1	0	0	0
	_ii		0	2	1	1	0	2	0	0	0
	_i_		0	1	1	2	0	1	0	0	0
	i_O		0	1	0	1	1	1	1	0	0
	_iO		0	2	1	1	0	1	1	0	0
	ai_		1	2	0	1	0	1	0	0	0
Aua	Aua	1	0	0	0	0	0	0	1	0	0
	AuA		0	1	0	0	0	0	2	0	0
	AyA		0	2	0	0	0	0	3	0	0
	aua		1	1	0	0	0	0	0	0	0
	auA		1	2	0	0	0	0	1	0	0
	ayA		1	3	0	0	0	0	2	0	0
	Au_		0	0	0	1	0	0	1	0	0
	A__		0	0	0	2	0	0	1	0	0
	_ua		0	0	1	1	0	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	A_A		0	1	0	1	0	0	2	0	0
	_uA		0	1	1	1	0	0	1	0	0
	__A		0	1	1	2	0	0	1	0	0
	_yA		0	2	1	1	0	0	2	0	0
	au_		1	1	0	1	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0
	a_A		1	2	0	1	0	0	1	0	0
	Aui		0	1	0	0	0	1	1	0	0
	Aii		0	2	0	0	0	2	1	0	0
	iua		0	0	0	0	1	1	0	0	0
	iui		0	1	0	0	1	2	0	0	0
	iii		0	2	0	0	1	3	0	0	0
	AiA		0	2	0	0	0	1	2	0	0
	iuA		0	1	0	0	1	1	1	0	0
	iiA		0	2	0	0	1	2	1	0	0
	iyA		0	2	0	0	1	1	2	0	0
	aui		1	2	0	0	0	1	0	0	0
	aii		1	3	0	0	0	2	0	0	0
	aiA		1	3	0	0	0	1	1	0	0
	Ai_		0	1	0	1	0	1	1	0	0
	iu_		0	0	0	1	1	1	0	0	0
	ii_		0	1	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ui		0	1	1	1	0	1	0	0	0
	_ii		0	2	1	1	0	2	0	0	0
	_i_		0	1	1	2	0	1	0	0	0
	i_A		0	1	0	1	1	1	1	0	0
	_iA		0	2	1	1	0	1	1	0	0
	ai_		1	2	0	1	0	1	0	0	0
Auu	Auu	1	0	0	0	0	0	0	1	0	0
	Auy		0	1	0	0	0	0	2	0	0
	Ayy		0	2	0	0	0	0	3	0	0
	auu		1	1	0	0	0	0	0	0	0
	auy		1	2	0	0	0	0	1	0	0
	ayy		1	3	0	0	0	0	2	0	0
	Au_		0	0	0	1	0	0	1	0	0
	A__		0	0	0	2	0	0	1	0	0
	_uu		0	0	1	1	0	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	A_y		0	1	0	1	0	0	2	0	0
	_uy		0	1	1	1	0	0	1	0	0
	__y		0	1	1	2	0	0	1	0	0
	_yy		0	2	1	1	0	0	2	0	0
	au_		1	1	0	1	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0
	a_y		1	2	0	1	0	0	1	0	0
	Aui		0	1	0	0	0	1	1	0	0
	Aii		0	2	0	0	0	2	1	0	0
	iuu		0	0	0	0	1	1	0	0	0
	iui		0	1	0	0	1	2	0	0	0
	iii		0	2	0	0	1	3	0	0	0
	Aiy		0	2	0	0	0	1	2	0	0
	iuy		0	1	0	0	1	1	1	0	0
	iiy		0	2	0	0	1	2	1	0	0
	iyy		0	2	0	0	1	1	2	0	0
	aui		1	2	0	0	0	1	0	0	0
	aii		1	3	0	0	0	2	0	0	0
	aiy		1	3	0	0	0	1	1	0	0
	Ai_		0	1	0	1	0	1	1	0	0
	iu_		0	0	0	1	1	1	0	0	0
	ii_		0	1	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ui		0	1	1	1	0	1	0	0	0
	_ii		0	2	1	1	0	2	0	0	0
	_i_		0	1	1	2	0	1	0	0	0
	i_y		0	1	0	1	1	1	1	0	0
	_iy		0	2	1	1	0	1	1	0	0
	ai_		1	2	0	1	0	1	0	0	0
yee	yee	1	0	0	0	0	0	0	1	0	0
	yeE		0	1	0	0	0	0	1	0	1
	yEE		0	2	0	0	0	0	1	0	2
	uee		1	1	0	0	0	0	0	0	0
	ueE		1	2	0	0	0	0	0	0	1
	uEE		1	3	0	0	0	0	0	0	2
	ye_		0	0	0	1	0	0	1	0	0
	y__		0	0	0	2	0	0	1	0	0
	_ee		0	0	1	1	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	y_E		0	1	0	1	0	0	1	0	1
	_eE		0	1	1	1	0	0	0	0	1
	__E		0	1	1	2	0	0	0	0	1
	_EE		0	2	1	1	0	0	0	0	2
	ue_		1	1	0	1	0	0	0	0	0
	u__		1	1	0	2	0	0	0	0	0
	u_E		1	2	0	1	0	0	0	0	1
	yei		0	0	0	0	0	1	1	0	0
	yii		0	0	0	0	0	2	1	0	0
	iee		0	0	0	0	1	1	0	0	0
	iei		0	0	0	0	1	2	0	0	0
	iii		0	0	0	0	1	3	0	0	0
	yiE		0	1	0	0	0	1	1	0	1
	ieE		0	1	0	0	1	1	0	0	1
	iiE		0	1	0	0	1	2	0	0	1
	iEE		0	2	0	0	1	1	0	0	2
	uei		1	1	0	0	0	1	0	0	0
	uii		1	1	0	0	0	2	0	0	0
	uiE		1	2	0	0	0	1	0	0	1
	yi_		0	0	0	1	0	1	1	0	0
	ie_		0	0	0	1	1	1	0	0	0
	ii_		0	0	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ei		0	0	1	1	0	1	0	0	0
	_ii		0	0	1	1	0	2	0	0	0
	_i_		0	0	1	2	0	1	0	0	0
	i_E		0	1	0	1	1	1	0	0	1
	_iE		0	1	1	1	0	1	0	0	1
	ui_		1	1	0	1	0	1	0	0	0
yei	yei	1	0	0	0	0	0	0	1	0	0
	yeI		0	1	0	0	0	0	1	1	1
	yEi		0	1	0	0	0	0	1	0	1
	yEI		0	2	0	0	0	0	1	1	2
	uei		1	1	0	0	0	0	0	0	0
	ueI		1	2	0	0	0	0	0	1	1
	uEi		1	2	0	0	0	0	0	0	1
	uEI		1	3	0	0	0	0	0	1	2
	ye_		0	0	0	1	0	0	1	0	0
	y__		0	0	0	2	0	0	1	0	0
	_ei		0	0	1	1	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	y_I		0	1	0	1	0	0	1	1	1
	_eI		0	1	1	1	0	0	0	1	1
	__I		0	1	1	2	0	0	0	1	1
	yE_		0	1	0	1	0	0	1	0	1
	_Ei		0	1	1	1	0	0	0	0	1
	_E_		0	1	1	2	0	0	0	0	1
	_EI		0	2	1	1	0	0	0	1	2
	ue_		1	1	0	1	0	0	0	0	0
	u__		1	1	0	2	0	0	0	0	0
	u_I		1	2	0	1	0	0	0	1	1
	uE_		1	2	0	1	0	0	0	0	1
	yee		0	0	0	0	0	1	1	0	0
	yie		0	0	0	0	0	2	1	0	0
	iei		0	0	0	0	1	1	0	0	0
	iee		0	0	0	0	1	2	0	0	0
	iie		0	0	0	0	1	3	0	0	0
	yiI		0	1	0	0	0	1	1	1	1
	ieI		0	1	0	0	1	1	0	1	1
	iiI		0	1	0	0	1	2	0	1	1
	yEe		0	1	0	0	0	1	1	0	1
	iEi		0	1	0	0	1	1	0	0	1
	iEe		0	1	0	0	1	2	0	0	1
	iEI		0	2	0	0	1	1	0	1	2
	uee		1	1	0	0	0	1	0	0	0
	uie		1	1	0	0	0	2	0	0	0
	uiI		1	2	0	0	0	1	0	1	1
	uEe		1	2	0	0	0	1	0	0	1
	yi_		0	0	0	1	0	1	1	0	0
	ie_		0	0	0	1	1	1	0	0	0
	ii_		0	0	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ee		0	0	1	1	0	1	0	0	0
	_ie		0	0	1	1	0	2	0	0	0
	_i_		0	0	1	2	0	1	0	0	0
	i_I		0	1	0	1	1	1	0	1	1
	_iI		0	1	1	1	0	1	0	1	1
	iE_		0	1	0	1	1	1	0	0	1
	_Ee		0	1	1	1	0	1	0	0	1
	ui_		1	1	0	1	0	1	0	0	0
yeo	yeo	1	0	0	0	0	0	0	1	0	0
	yeO		0	1	0	0	0	0	2	0	0
	yEo		0	1	0	0	0	0	1	0	1
	yEO		0	2	0	0	0	0	2	0	1
	ueo		1	1	0	0	0	0	0	0	0
	ueO		1	2	0	0	0	0	1	0	0
	uEo		1	2	0	0	0	0	0	0	1
	uEO		1	3	0	0	0	0	1	0	1
	ye_		0	0	0	1	0	0	1	0	0
	y__		0	0	0	2	0	0	1	0	0
	_eo		0	0	1	1	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	y_O		0	1	0	1	0	0	2	0	0
	_eO		0	1	1	1	0	0	1	0	0
	__O		0	1	1	2	0	0	1	0	0
	yE_		0	1	0	1	0	0	1	0	1
	_Eo		0	1	1	1	0	0	0	0	1
	_E_		0	1	1	2	0	0	0	0	1
	_EO		0	2	1	1	0	0	1	0	1
	ue_		1	1	0	1	0	0	0	0	0
	u__		1	1	0	2	0	0	0	0	0
	u_O		1	2	0	1	0	0	1	0	0
	uE_		1	2	0	1	0	0	0	0	1
	yei		0	1	0	0	0	1	1	0	0
	yio		0	0	0	0	0	1	1	0	0
	yii		0	1	0	0	0	2	1	0	0
	ieo		0	0	0	0	1	1	0	0	0
	iei		0	1	0	0	1	2	0	0	0
	iio		0	0	0	0	1	2	0	0	0
	iii		0	1	0	0	1	3	0	0	0
	yiO		0	1	0	0	0	1	2	0	0
	ieO		0	1	0	0	1	1	1	0	0
	iiO		0	1	0	0	1	2	1	0	0
	yEi		0	2	0	0	0	1	1	0	1
	iEo		0	1	0	0	1	1	0	0	1
	iEi		0	2	0	0	1	2	0	0	1
	iEO		0	2	0	0	1	1	1	0	1
	uei		1	2	0	0	0	1	0	0	0
	uio		1	1	0	0	0	1	0	0	0
	uii		1	2	0	0	0	2	0	0	0
	uiO		1	2	0	0	0	1	1	0	0
	uEi		1	3	0	0	0	1	0	0	1
	yi_		0	0	0	1	0	1	1	0	0
	ie_		0	0	0	1	1	1	0	0	0
	ii_		0	0	0	1	1	2	0	0	0
	y_i		0	1	0	1	0	1	1	0	0
	i_i		0	1	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ei		0	1	1	1	0	1	0	0	0
	_io		0	0	1	1	0	1	0	0	0
	_ii		0	1	1	1	0	2	0	0	0
	_i_		0	0	1	2	0	1	0	0	0
	__i		0	1	1	2	0	1	0	0	0
	i_O		0	1	0	1	1	1	1	0	0
	_iO		0	1	1	1	0	1	1	0	0
	iE_		0	1	0	1	1	1	0	0	1
	_Ei		0	2	1	1	0	1	0	0	1
	ui_		1	1	0	1	0	1	0	0	0
	u_i		1	2	0	1	0	1	0	0	0
yea	yea	1	0	0	0	0	0	0	1	0	0
	yeA		0	1	0	0	0	0	2	0	0
	yEa		0	1	0	0	0	0	1	0	1
	yEA		0	2	0	0	0	0	2	0	1
	uea		1	1	0	0	0	0	0	0	0
	ueA		1	2	0	0	0	0	1	0	0
	uEa		1	2	0	0	0	0	0	0	1
	uEA		1	3	0	0	0	0	1	0	1
	ye_		0	0	0	1	0	0	1	0	0
	y__		0	0	0	2	0	0	1	0	0
	_ea		0	0	1	1	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	y_A		0	1	0	1	0	0	2	0	0
	_eA		0	1	1	1	0	0	1	0	0
	__A		0	1	1	2	0	0	1	0	0
	yE_		0	1	0	1	0	0	1	0	1
	_Ea		0	1	1	1	0	0	0	0	1
	_E_		0	1	1	2	0	0	0	0	1
	_EA		0	2	1	1	0	0	1	0	1
	ue_		1	1	0	1	0	0	0	0	0
	u__		1	1	0	2	0	0	0	0	0
	u_A		1	2	0	1	0	0	1	0	0
	uE_		1	2	0	1	0	0	0	0	1
	yei		0	1	0	0	0	1	1	0	0
	yia		0	0	0	0	0	1	1	0	0
	yii		0	1	0	0	0	2	1	0	0
	iea		0	0	0	0	1	1	0	0	0
	iei		0	1	0	0	1	2	0	0	0
	iia		0	0	0	0	1	2	0	0	0
	iii		0	1	0	0	1	3	0	0	0
	yiA		0	1	0	0	0	1	2	0	0
	ieA		0	1	0	0	1	1	1	0	0
	iiA		0	1	0	0	1	2	1	0	0
	yEi		0	2	0	0	0	1	1	0	1
	iEa		0	1	0	0	1	1	0	0	1
	iEi		0	2	0	0	1	2	0	0	1
	iEA		0	2	0	0	1	1	1	0	1
	uei		1	2	0	0	0	1	0	0	0
	uia		1	1	0	0	0	1	0	0	0
	uii		1	2	0	0	0	2	0	0	0
	uiA		1	2	0	0	0	1	1	0	0
	uEi		1	3	0	0	0	1	0	0	1
	yi_		0	0	0	1	0	1	1	0	0
	ie_		0	0	0	1	1	1	0	0	0
	ii_		0	0	0	1	1	2	0	0	0
	y_i		0	1	0	1	0	1	1	0	0
	i_i		0	1	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ei		0	1	1	1	0	1	0	0	0
	_ia		0	0	1	1	0	1	0	0	0
	_ii		0	1	1	1	0	2	0	0	0
	_i_		0	0	1	2	0	1	0	0	0
	__i		0	1	1	2	0	1	0	0	0
	i_A		0	1	0	1	1	1	1	0	0
	_iA		0	1	1	1	0	1	1	0	0
	iE_		0	1	0	1	1	1	0	0	1
	_Ei		0	2	1	1	0	1	0	0	1
	ui_		1	1	0	1	0	1	0	0	0
	u_i		1	2	0	1	0	1	0	0	0
yeu	yeu	1	0	0	0	0	0	0	1	0	0
	yey		0	1	0	0	0	0	2	0	0
	yEu		0	1	0	0	0	0	1	0	1
	yEy		0	2	0	0	0	0	2	0	1
	ueu		1	1	0	0	0	0	0	0	0
	uey		1	2	0	0	0	0	1	0	0
	uEu		1	2	0	0	0	0	0	0	1
	uEy		1	3	0	0	0	0	1	0	1
	ye_		0	0	0	1	0	0	1	0	0
	y__		0	0	0	2	0	0	1	0	0
	_eu		0	0	1	1	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	y_y		0	1	0	1	0	0	2	0	0
	_ey		0	1	1	1	0	0	1	0	0
	__y		0	1	1	2	0	0	1	0	0
	yE_		0	1	0	1	0	0	1	0	1
	_Eu		0	1	1	1	0	0	0	0	1
	_E_		0	1	1	2	0	0	0	0	1
	_Ey		0	2	1	1	0	0	1	0	1
	ue_		1	1	0	1	0	0	0	0	0
	u__		1	1	0	2	0	0	0	0	0
	u_y		1	2	0	1	0	0	1	0	0
	uE_		1	2	0	1	0	0	0	0	1
	yei		0	1	0	0	0	1	1	0	0
	yiu		0	0	0	0	0	1	1	0	0
	yii		0	1	0	0	0	2	1	0	0
	ieu		0	0	0	0	1	1	0	0	0
	iei		0	1	0	0	1	2	0	0	0
	iiu		0	0	0	0	1	2	0	0	0
	iii		0	1	0	0	1	3	0	0	0
	yiy		0	1	0	0	0	1	2	0	0
	iey		0	1	0	0	1	1	1	0	0
	iiy		0	1	0	0	1	2	1	0	0
	yEi		0	2	0	0	0	1	1	0	1
	iEu		0	1	0	0	1	1	0	0	1
	iEi		0	2	0	0	1	2	0	0	1
	iEy		0	2	0	0	1	1	1	0	1
	uei		1	2	0	0	0	1	0	0	0
	uiu		1	1	0	0	0	1	0	0	0
	uii		1	2	0	0	0	2	0	0	0
	uiy		1	2	0	0	0	1	1	0	0
	uEi		1	3	0	0	0	1	0	0	1
	yi_		0	0	0	1	0	1	1	0	0
	ie_		0	0	0	1	1	1	0	0	0
	ii_		0	0	0	1	1	2	0	0	0
	y_i		0	1	0	1	0	1	1	0	0
	i_i		0	1	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ei		0	1	1	1	0	1	0	0	0
	_iu		0	0	1	1	0	1	0	0	0
	_ii		0	1	1	1	0	2	0	0	0
	_i_		0	0	1	2	0	1	0	0	0
	__i		0	1	1	2	0	1	0	0	0
	i_y		0	1	0	1	1	1	1	0	0
	_iy		0	1	1	1	0	1	1	0	0
	iE_		0	1	0	1	1	1	0	0	1
	_Ei		0	2	1	1	0	1	0	0	1
	ui_		1	1	0	1	0	1	0	0	0
	u_i		1	2	0	1	0	1	0	0	0
yie	yie	1	0	0	0	0	0	0	1	0	0
	yiE		0	1	0	0	0	0	1	0	1
	yIe		0	1	0	0	0	0	1	1	1
	yIE		0	2	0	0	0	0	1	1	2
	uie		1	1	0	0	0	0	0	0	0
	uiE		1	2	0	0	0	0	0	0	1
	uIe		1	2	0	0	0	0	0	1	1
	uIE		1	3	0	0	0	0	0	1	2
	yi_		0	0	0	1	0	0	1	0	0
	y__		0	0	0	2	0	0	1	0	0
	_ie		0	0	1	1	0	0	0	0	0
	_i_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	y_E		0	1	0	1	0	0	1	0	1
	_iE		0	1	1	1	0	0	0	0	1
	__E		0	1	1	2	0	0	0	0	1
	yI_		0	1	0	1	0	0	1	1	1
	_Ie		0	1	1	1	0	0	0	1	1
	_I_		0	1	1	2	0	0	0	1	1
	_IE		0	2	1	1	0	0	0	1	2
	ui_		1	1	0	1	0	0	0	0	0
	u__		1	1	0	2	0	0	0	0	0
	u_E		1	2	0	1	0	0	0	0	1
	uI_		1	2	0	1	0	0	0	1	1
	yii		0	0	0	0	0	1	1	0	0
	yei		0	0	0	0	0	2	1	0	0
	iie		0	0	0	0	1	1	0	0	0
	iii		0	0	0	0	1	2	0	0	0
	iei		0	0	0	0	1	3	0	0	0
	yeE		0	1	0	0	0	1	1	0	1
	iiE		0	1	0	0	1	1	0	0	1
	ieE		0	1	0	0	1	2	0	0	1
	yIi		0	1	0	0	0	1	1	1	1
	iIe		0	1	0	0	1	1	0	1	1
	iIi		0	1	0	0	1	2	0	1	1
	iIE		0	2	0	0	1	1	0	1	2
	uii		1	1	0	0	0	1	0	0	0
	uei		1	1	0	0	0	2	0	0	0
	ueE		1	2	0	0	0	1	0	0	1
	uIi		1	2	0	0	0	1	0	1	1
	ye_		0	0	0	1	0	1	1	0	0
	ii_		0	0	0	1	1	1	0	0	0
	ie_		0	0	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ii		0	0	1	1	0	1	0	0	0
	_ei		0	0	1	1	0	2	0	0	0
	_e_		0	0	1	2	0	1	0	0	0
	i_E		0	1	0	1	1	1	0	0	1
	_eE		0	1	1	1	0	1	0	0	1
	iI_		0	1	0	1	1	1	0	1	1
