trialnum	generated	heard	IdBkSyl1	now	IdBk	now	star_F1	now	star_F3	now	star_F4	now	star_F5	now	star_B1	now	star_B2	now	star_B3	now	star_B5	now	star_F1_B1	now	star_F1..._B1	now	star_F1_B2	now	star_F1..._B2	now	star_F1_B3	now	star_F1..._B3	now	star_F1_B5	now	star_F1..._B5	now	star_F3_B1	now	star_F3..._B1	now	star_F3_B2	now	star_F3..._B2	now	star_F3_B3	now	star_F3..._B3	now	star_F3_B5	now	star_F3..._B5	now	star_F4_B1	now	star_F4..._B1	now	star_F4_B2	now	star_F4..._B2	now	star_F4_B3	now	star_F4..._B3	now	star_F4_B5	now	star_F4..._B5	now	star_F5_B1	now	star_F5..._B1	now	star_F5_B2	now	star_F5..._B2	now	star_F5_B3	now	star_F5..._B3	now	star_F5_B5	now	star_F5..._B5	now	star__B1F1	now	star__B1...F1	now	star__B1F3	now	star__B1...F3	now	star__B1F4	now	star__B1...F4	now	star__B1F5	now	star__B1...F5	now	star__B2F1	now	star__B2...F1	now	star__B2F3	now	star__B2...F3	now	star__B2F4	now	star__B2...F4	now	star__B2F5	now	star__B2...F5	now	star__B3F1	now	star__B3...F1	now	star__B3F3	now	star__B3...F3	now	star__B3F4	now	star__B3...F4	now	star__B3F5	now	star__B3...F5	now	star__B5F1	now	star__B5...F1	now	star__B5F3	now	star__B5...F3	now	star__B5F4	now	star__B5...F4	now	star__B5F5	now	star__B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
	a priori	IdBkSyl1>>IdBk	20	20																																																																																																																																																		
1	aII	Aii	0.8571428571428571	20.857142857142858	0.8571428571428571	0.8571428571428571			-2	98	-2	98	-2	98	0.8571428571428571	100.85714285714286	0.8571428571428571	100.85714285714286	0.8571428571428571	100.85714285714286	0.8571428571428571	100.85714285714286																																																																																																																																
2	yAA	uaa	0.3333333333333333	21.19047619047619	0.3333333333333333	1.1904761904761905			0.3333333333333333	98.33333333333333	0.3333333333333333	98.33333333333333	0.3333333333333333	98.33333333333333							-2	98.85714285714286																																																																																																																																
3	eA	ea			2.0	3.1904761904761907			2.0	100.33333333333333	2.0	100.33333333333333	2.0	100.33333333333333							-2	96.85714285714286																																													-2	98	-2	98													-2	98	-2	98																																																																
	a priori	IdBkSyl1>>IdBk	2.0	23.19047619047619																																																																																																																																																		
4	aEI	aei			2.0	5.190476190476191					-2	98.33333333333333	-2	98.33333333333333	2.0	102.85714285714286	2.0	102.85714285714286	2.0	102.85714285714286	2.0	98.85714285714286																																																																																																																									-2	98	-2	98	-2	98	-2	98
	a priori	IdBkSyl1>>IdBk	2.0	25.19047619047619																																																																																																																																																		
6	Oee	oee	2.857142857142857	28.047619047619047	2.857142857142857	8.047619047619047	2.857142857142857	102.85714285714286	2.857142857142857	103.19047619047619	2.857142857142857	101.19047619047619	2.857142857142857	101.19047619047619					-2	100.85714285714286	-2	96.85714285714286																																																																																																									-2	98	-2	98	-2	98	-2	98									-2	96	-2	96	-2	96	-2	96
9	oia	OiA	0.7272727272727273	28.774891774891774	0.7272727272727273	8.774891774891774	-2	100.85714285714286	-2	101.19047619047619	-2	99.19047619047619	-2	99.19047619047619					0.7272727272727273	101.5844155844156	0.7272727272727273	97.5844155844156																																																													0.7272727272727273	98.72727272727273	0.7272727272727273	98.72727272727273																																													0.7272727272727273	98.72727272727273	0.7272727272727273	98.72727272727273													0.7272727272727273	96.72727272727273	0.7272727272727273	96.72727272727273
