Id(Bk)Syl1	 114.896 
Id(Bk)	 94.8959999999999 
*F1	 103.37 
*F3	 101.37 
*F4	 106.244 
*F5	 100.244 
*B1	 108 
*B2	 109.126 
*B3	 103.756 
*B5	 99.756 
*F1_B1	 100 
*F1..._B1	 100 
*F1_B2	 100 
*F1..._B2	 100 
*F1_B3	 97.98 
*F1..._B3	 97.778 
*F1_B5	 91.98 
*F1..._B5	 87.978 
*F3_B1	 100 
*F3..._B1	 100 
*F3_B2	 100.004 
*F3..._B2	 100.004 
*F3_B3	 95.564 
*F3..._B3	 87.16 
*F3_B5	 79.362 
*F3..._B5	 69.16 
*F4_B1	 100 
*F4..._B1	 100 
*F4_B2	 100.046 
*F4..._B2	 100.246 
*F4_B3	 94.964 
*F4..._B3	 82.962 
*F4_B5	 80.72 
*F4..._B5	 68.742 
*F5_B1	 100 
*F5..._B1	 100 
*F5_B2	 104.246 
*F5..._B2	 104.446 
*F5_B3	 95.144 
*F5..._B3	 89.142 
*F5_B5	 70.9 
*F5..._B5	 68.922 
*_B1F1	 100 
*_B1...F1	 100 
*_B1F3	 100 
*_B1...F3	 100 
*_B1F4	 100 
*_B1...F4	 100 
*_B1F5	 100 
*_B1...F5	 100 
*_B2F1	 100.04 
*_B2...F1	 100.242 
*_B2F3	 100.04 
*_B2...F3	 100.242 
*_B2F4	 92.02 
*_B2...F4	 86.022 
*_B2F5	 86.04 
*_B2...F5	 80.002 
*_B3F1	 100.04 
*_B3...F1	 100.264 
*_B3F3	 100.04 
*_B3...F3	 100.264 
*_B3F4	 89.56 
*_B3...F4	 81.384 
*_B3F5	 83.52 
*_B3...F5	 73.324 
*_B5F1	 102.086 
*_B5...F1	 102.486 
*_B5F3	 104.086 
*_B5...F3	 104.486 
*_B5F4	 84.786 
*_B5...F4	 78.786 
*_B5F5	 72.746 
*_B5...F5	 68.726 

Input#	Input	Cand#	Cand	Freq. from input file	Learning tokens	Output of grammar test	Target proportion	Predicted proportion
 13 	Ay	 2 	ay	 0 	 0 	 0 	 0 	 0 
 13 	Ay	 3 	au	 0 	 0 	 2 	 0 	 0.002 
 14 	Ae	 0 	Ae	 1 	 2 	 868 	 1 	 0.868 
 14 	Ae	 1 	AE	 0 	 0 	 130 	 0 	 0.13 
 14 	Ae	 2 	ae	 0 	 0 	 0 	 0 	 0 
 14 	Ae	 3 	aE	 0 	 0 	 2 	 0 	 0.002 
 15 	Ai	 0 	Ai	 1 	 2 	 998 	 1 	 0.998 
 15 	Ai	 1 	AI	 0 	 0 	 0 	 0 	 0 
 15 	Ai	 2 	ai	 0 	 0 	 2 	 0 	 0.002 
 15 	Ai	 3 	aI	 0 	 0 	 0 	 0 	 0 
 16 	AI	 0 	AI	 0 	 0 	 0 	 0 	 0 
 16 	AI	 1 	Ai	 0 	 0 	 998 	 0 	 0.998 
 16 	AI	 2 	aI	 0 	 0 	 0 	 0 	 0 
 16 	AI	 3 	ai	 0 	 0 	 2 	 0 	 0.002 
 17 	AE	 0 	AE	 0 	 0 	 130 	 0 	 0.13 
 17 	AE	 1 	Ae	 0 	 0 	 868 	 0 	 0.868 
 17 	AE	 2 	aE	 0 	 0 	 2 	 0 	 0.002 
 17 	AE	 3 	ae	 0 	 0 	 0 	 0 	 0 
 18 	Ao	 0 	Ao	 1 	 2 	 827 	 1 	 0.827 
 18 	Ao	 1 	AO	 0 	 0 	 171 	 0 	 0.171 
 18 	Ao	 2 	ao	 0 	 0 	 2 	 0 	 0.002 
 18 	Ao	 3 	aO	 0 	 0 	 0 	 0 	 0 
 19 	Aa	 0 	Aa	 1 	 1 	 982 	 1 	 0.982 
 19 	Aa	 1 	AA	 0 	 0 	 16 	 0 	 0.016 
 19 	Aa	 2 	aa	 0 	 0 	 2 	 0 	 0.002 
 19 	Aa	 3 	aA	 0 	 0 	 0 	 0 	 0 
 20 	Au	 0 	Au	 1 	 1 	 982 	 1 	 0.982 
