constraint	finalrankingvalue
Id(Bk)Syl1	136
Id(Bk)	116
*F4..._B5	110
*_B5...F4	110
*F4_B5	108
*_B5F4	108
*F4..._B3	106
*_B5...F1	106
*_B5...F3	106
*B1	104
*B5	104
*F3_B5	104
*F3..._B5	104
*_B3F4	104
*_B3...F4	104
*_B5F3	104
*F4	102
*B2	102
*F3..._B3	102
*F4..._B2	102
*F5..._B3	102
*_B1F4	102
*_B1...F4	102
*_B2F4	102
*_B2...F4	102
*_B3...F1	102
*_B3F3	102
*_B3...F3	102
*_B5F1	102
*F1	100
*F3	100
*F1_B1	100
*F1..._B1	100
*F1_B2	100
*F1..._B2	100
*F1_B3	100
*F1..._B3	100
*F1_B5	100
*F1..._B5	100
*F3_B1	100
*F3..._B1	100
*F3_B2	100
*F3..._B2	100
*F3_B3	100
*F4_B1	100
*F4..._B1	100
*F4_B2	100
*F4_B3	100
*F5_B1	100
*F5..._B1	100
*F5..._B2	100
*F5_B5	100
*F5..._B5	100
*_B1F1	100
*_B1...F1	100
*_B1F3	100
*_B1...F3	100
*_B2F1	100
*_B2...F1	100
*_B2F3	100
*_B2...F3	100
*_B3F1	100
*F5	96
*B3	96
*F5_B2	96
*F5_B3	96
*_B5F5	96
*_B1F5	94
*_B3F5	94
*_B5...F5	94
*_B1...F5	92
*_B2F5	90
*_B3...F5	88
*_B2...F5	86
