trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
	a priori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																
1	iAy	iau			0.6	0.6			0.6	100.6	0.6	100.6	0.6	100.6					-1	99																																													-1	99	-1	99																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.6000000000000014	20.6																																																																																																																
2	oao	OAo	2.75	23.35	2.75	3.35	-1	99	-1	99.6	-1	99.6	-1	99.6					2.75	101.75											-1	99									-1	99	-1	99									-1	99	-1	99									-1	98	-1	98																																																
3	aEu	Aey	0.6	23.950000000000003	0.6	3.95			-1	98.6	-1	98.6	-1	98.6			0.6	100.6	0.6	102.35																																																																																																
4	uaa	yAA	0.75	24.700000000000003	0.75	4.7			-1	97.6	-1	97.6	-1	97.6					0.75	103.1																																																																																																
5	eyO	Euo	0.2857142857142857	24.985714285714288	0.2857142857142857	4.985714285714286	0.2857142857142857	99.28571428571429	0.2857142857142857	97.88571428571429	0.2857142857142857	97.88571428571429	0.2857142857142857	97.88571428571429			-1	99.6	-1	102.1																																																																																																
6	iAi	iai			1.0	5.985714285714286			1.0	98.88571428571429	1.0	98.88571428571429	1.0	98.88571428571429					-1	101.1																																													-1	97	-1	97																																													-1	99	-1	99
	a priori	Id(Bk)Syl1>>Id(Bk)	1.0	25.985714285714288																																																																																																																
7	yey	uEu	0.3333333333333333	26.31904761904762	0.3333333333333333	6.319047619047619			0.3333333333333333	99.21904761904761	0.3333333333333333	99.21904761904761	0.3333333333333333	99.21904761904761			-1	98.6	-1	100.1																																																																																																
9	EEu	eeu	1.2	27.51904761904762	1.2	7.519047619047619					-1	98.21904761904761	-1	98.21904761904761			1.2	99.8	1.2	101.3																																	-1	98	-1	98									-1	96	-1	96																																																
10	ieO	ieo			0.8333333333333334	8.352380952380953	0.8333333333333334	100.11904761904762	0.8333333333333334	100.05238095238094	0.8333333333333334	99.05238095238094	0.8333333333333334	99.05238095238094					-1	100.3																																	-1	97	-1	97									-1	95	-1	95																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.8333333333333357	28.352380952380955																																																																																																																
11	iAA	iaa			0.6	8.952380952380953			0.6	100.65238095238094	0.6	99.65238095238094	0.6	99.65238095238094					-1	99.3																																													-1	94	-1	94																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.5999999999999979	28.952380952380953																																																																																																																
12	uEi	yei	0.3333333333333333	29.285714285714285	0.3333333333333333	9.285714285714286			-1	99.65238095238094	-1	98.65238095238094	-1	98.65238095238094			0.3333333333333333	100.13333333333333	0.3333333333333333	99.63333333333333																																																																													0.3333333333333333	100.33333333333333	0.3333333333333333	100.33333333333333													0.3333333333333333	99.33333333333333	0.3333333333333333	99.33333333333333
13	yeO	yeo			1.0	10.285714285714286	1.0	101.11904761904762	1.0	100.65238095238094	1.0	99.65238095238094	1.0	99.65238095238094					-1	98.63333333333333																							-1	98									-1	96	-1	96									-1	93	-1	93																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	1.0	30.285714285714285																																																																																																																
14	oaa	OAA	1.0	31.285714285714285	1.0	11.285714285714286	-1	100.11904761904762	-1	99.65238095238094	-1	98.65238095238094	-1	98.65238095238094					1.0	99.63333333333333																																																																																																
16	IEa	ieA	0.5	31.785714285714285	0.5	11.785714285714286			-1	98.65238095238094	-1	97.65238095238094	-1	97.65238095238094	0.5	100.5	0.5	100.63333333333333	0.5	100.13333333333333																																																																																																
19	aau	AAy	0.75	32.535714285714285	0.75	12.535714285714286			-1	97.65238095238094	-1	96.65238095238094	-1	96.65238095238094					0.75	100.88333333333333																																																																																																
20	ieO	iEo			1.0	13.535714285714286	1.0	101.11904761904762	1.0	98.65238095238094	1.0	97.65238095238094	1.0	97.65238095238094			-1	99.63333333333333	-1	99.88333333333333																																									-1	99	-1	99	-1	92	-1	92																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	1.0	33.535714285714285																																																																																																																
23	oEE	Oee	0.8	34.33571428571428	0.8	14.335714285714287	-1	100.11904761904762	-1	97.65238095238094	-1	96.65238095238094	-1	96.65238095238094			0.8	100.43333333333332	0.8	100.68333333333332																																																																																																
25	iyi	iui			1.0	15.335714285714287			1.0	98.65238095238094	1.0	97.65238095238094	1.0	97.65238095238094					-1	99.68333333333332																																													-1	91	-1	91																																													-1	98.33333333333333	-1	98.33333333333333
	a priori	Id(Bk)Syl1>>Id(Bk)	1.000000000000007	35.33571428571429																																																																																																																
26	yi	ui	0.5	35.83571428571429	0.5	15.835714285714287			0.5	99.15238095238094	0.5	98.15238095238094	0.5	98.15238095238094					-1	98.68333333333332																																																																																													-1	97.33333333333333	-1	97.33333333333333
27	Eou	eou	1.2	37.03571428571429	1.2	17.03571428571429					-1	97.15238095238094	-1	97.15238095238094			1.2	101.63333333333333	1.2	99.88333333333333																																	-1	95	-1	95									-1	90	-1	90																																																
28	Oye	ouE	0.2857142857142857	37.32142857142858	0.2857142857142857	17.321428571428573	0.2857142857142857	100.40476190476191	0.2857142857142857	99.43809523809523	0.2857142857142857	97.43809523809523	0.2857142857142857	97.43809523809523			-1	100.63333333333333	-1	98.88333333333333																																																																																																
29	OAe	oaE	0.2857142857142857	37.60714285714286	0.2857142857142857	17.607142857142858	0.2857142857142857	100.6904761904762	0.2857142857142857	99.72380952380952	0.2857142857142857	97.72380952380952	0.2857142857142857	97.72380952380952			-1	99.63333333333333	-1	97.88333333333333																																																																																																
30	yeA	uEa	0.3333333333333333	37.9404761904762	0.3333333333333333	17.94047619047619			0.3333333333333333	100.05714285714285	0.3333333333333333	98.05714285714285	0.3333333333333333	98.05714285714285			-1	98.63333333333333	-1	96.88333333333333																																																																																																
31	uEI	uEi			1.0	18.94047619047619							-1	97.05714285714285	1.0	101.5	1.0	99.63333333333333	1.0	97.88333333333333																																																																													-1	99.33333333333333	-1	99.33333333333333													-1	96.33333333333333	-1	96.33333333333333
	a priori	Id(Bk)Syl1>>Id(Bk)	0.9999999999999929	38.94047619047619																																																																																																																
32	eea	eEa			2.0	20.94047619047619					2.0	100.05714285714285	2.0	99.05714285714285			-1	98.63333333333333	-1	96.88333333333333																													-1	99	-1	99			-1	94					-1	98	-1	98			-1	89																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	2.0	40.94047619047619																																																																																																																
33	aau	AAy	0.75	41.69047619047619	0.75	21.69047619047619			-1	99.05714285714285	-1	99.05714285714285	-1	98.05714285714285					0.75	97.63333333333333																																																																																																
34	ieu	iey			0.42857142857142855	22.119047619047617			-1	98.05714285714285	-1	98.05714285714285	-1	97.05714285714285					0.42857142857142855	98.06190476190476																																	0.42857142857142855	95.42857142857143	0.42857142857142855	94.42857142857143									0.42857142857142855	90.42857142857143	0.42857142857142855	89.42857142857143																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.4285714285714306	42.11904761904762																																																																																																																
36	EEa	eeA	0.6	42.71904761904762	0.6	22.71904761904762			-1	97.05714285714285	-1	97.05714285714285	-1	96.05714285714285			0.6	99.23333333333332	0.6	98.66190476190475																																																																																																
37	AAi	aai	0.5	43.21904761904762	0.5	23.21904761904762			0.5	97.55714285714285	0.5	97.55714285714285	0.5	96.55714285714285					-1	97.66190476190475																																																																																													-1	95.33333333333333	-1	95.33333333333333
38	ieo	iEo			0.8333333333333334	24.05238095238095					0.8333333333333334	98.39047619047618	0.8333333333333334	97.39047619047618			-1	98.23333333333332	-1	96.66190476190475																																	0.8333333333333334	96.26190476190476	0.8333333333333334	95.26190476190476					-1	97	-1	97			-1	88.42857142857143																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.8333333333333286	44.05238095238095																																																																																																																
39	eyy	euu			1.0	25.05238095238095			1.0	98.55714285714285	1.0	99.39047619047618	1.0	98.39047619047618					-1	95.66190476190475																																	-1	95.26190476190476	-1	94.26190476190476									-1	89.42857142857143	-1	87.42857142857143																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	1.0	45.05238095238095																																																																																																																
40	iaa	Iaa	0.5	45.55238095238095	0.5	25.55238095238095							0.5	98.89047619047618	-1	100.5	-1	97.23333333333332	-1	94.66190476190475																																													0.5	89.92857142857143	0.5	87.92857142857143																																																
44	uoo	yoo	2.25	47.80238095238095	2.25	27.80238095238095			-1	97.55714285714285	-1	98.39047619047618	-1	97.89047619047618					2.25	96.91190476190475																					-1	98	-1	97									-1	94.26190476190476	-1	93.26190476190476									-1	88.92857142857143	-1	86.92857142857143																																																
45	ioo	Ioo	0.5	48.30238095238095	0.5	28.30238095238095							0.5	98.39047619047618	-1	99.5	-1	96.23333333333332	-1	95.91190476190475																																													0.5	89.42857142857143	0.5	87.42857142857143																																																
46	iEa	ieA			0.375	28.67738095238095			-1	96.55714285714285	-1	97.39047619047618	-1	97.39047619047618			0.375	96.60833333333332	0.375	96.28690476190475																																									0.375	97.375	0.375	97.375	0.375	89.80357142857143	0.375	87.80357142857143																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.375	48.67738095238095																																																																																																																
47	eie	EiE	2.0	50.67738095238095	2.0	30.67738095238095					2.0	99.39047619047618	2.0	99.39047619047618			-1	95.60833333333332	-1	95.28690476190475																																									-1	96.375	-1	96.375	-1	88.80357142857143	-1	86.80357142857143																													-1	98.33333333333333	-1	98.33333333333333													-1	94.33333333333333	-1	94.33333333333333
49	iii	Iii	2.25	52.92738095238095	2.25	32.92738095238095							2.25	101.64047619047618	-1	98.5	-1	94.60833333333332	-1	94.28690476190475																																																													-1	99	-1	99													-1	97.33333333333333	-1	97.33333333333333													-1	93.33333333333333	-1	93.33333333333333
50	IEI	iei	0.3333333333333333	53.260714285714286	0.3333333333333333	33.260714285714286					-1	98.39047619047618	-1	100.64047619047618	0.3333333333333333	98.83333333333333	0.3333333333333333	94.94166666666665	0.3333333333333333	94.62023809523808																																																																																																
51	EEI	EEi			1.0	34.260714285714286							-1	99.64047619047618	1.0	99.83333333333333	1.0	95.94166666666665	1.0	95.62023809523808																																																																													-1	96.33333333333333	-1	96.33333333333333													-1	92.33333333333333	-1	92.33333333333333
	a priori	Id(Bk)Syl1>>Id(Bk)	1.0	54.260714285714286																																																																																																																
52	EuE	eye	0.6	54.86071428571429	0.6	34.86071428571429			-1	95.55714285714285	-1	97.39047619047618	-1	98.64047619047618			0.6	96.54166666666664	0.6	96.22023809523807																																																																																																
53	EEa	eea	1.2	56.06071428571429	1.2	36.06071428571429					-1	96.39047619047618	-1	97.64047619047618			1.2	97.74166666666665	1.2	97.42023809523808																																	-1	93.26190476190476	-1	92.26190476190476									-1	87.80357142857143	-1	85.80357142857143																																																
54	yAo	uao	0.08333333333333333	56.144047619047626	0.08333333333333333	36.144047619047626			0.08333333333333333	95.64047619047618	0.08333333333333333	96.4738095238095	0.08333333333333333	97.7238095238095					-1	96.42023809523808																					0.08333333333333333	98.08333333333333	0.08333333333333333	97.08333333333333									0.08333333333333333	93.34523809523809	0.08333333333333333	92.34523809523809									0.08333333333333333	87.88690476190476	0.08333333333333333	85.88690476190476																																																
55	iEa	ieA			0.375	36.519047619047626			-1	94.64047619047618	-1	95.4738095238095	-1	96.7238095238095			0.375	98.11666666666665	0.375	96.79523809523808																																									0.375	96.75	0.375	96.75	0.375	88.26190476190476	0.375	86.26190476190476																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.375	56.519047619047626																																																																																																																
58	Eua	eua	1.2	57.71904761904763	1.2	37.71904761904763					-1	94.4738095238095	-1	95.7238095238095			1.2	99.31666666666665	1.2	97.99523809523808																																	-1	92.34523809523809	-1	91.34523809523809									-1	87.26190476190476	-1	85.26190476190476																																																
