trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
28	Iua	iua	0.42857142857142855	31.263095238095236	0.42857142857142855	11.26309523809524							-1	98.52857142857144	0.42857142857142855	98.80952380952382	0.42857142857142855	97.80952380952382	0.42857142857142855	96.60952380952382	0.42857142857142855	96.73452380952382																																																													-1	98.54166666666667	-1	98.54166666666667																																																																
29	aI	ai			0.5	11.76309523809524							-1	97.52857142857144	0.5	99.30952380952382	0.5	98.30952380952382	0.5	97.10952380952382	0.5	97.23452380952382																																																																																																																													-1	95.375	-1	95.375
	a priori	Id(Bk)Syl1>>Id(Bk)	0.5000000000000036	31.76309523809524																																																																																																																																																		
30	EuE	eye	0.5	32.26309523809524	0.5	12.26309523809524			-1	100.36190476190477	-1	99.36190476190477	-1	96.52857142857144			0.5	98.80952380952382	0.5	97.60952380952382	0.5	97.73452380952382																																																																																																																																
32	oo	OO	0.8	33.06309523809524	0.8	13.06309523809524	-1	102.52857142857142	-1	99.36190476190477	-1	98.36190476190477	-1	95.52857142857144					0.8	98.40952380952382	0.8	98.53452380952382																																																																																																																																
34	iei	iEi			3.75	16.81309523809524					3.75	102.11190476190477	3.75	99.27857142857144			-1	97.80952380952382	-1	97.40952380952382	-1	97.53452380952382																																																					-1	98	-1	98.5	-1	97	-1	97.5	-1	97.54166666666667	-1	97.54166666666667																													-1	98	-1	97													-1	96	-1	96													-1	94.375	-1	94.375
	a priori	Id(Bk)Syl1>>Id(Bk)	3.750000000000007	36.813095238095244																																																																																																																																																		
35	uEI	uEi			1.1666666666666667	17.979761904761908							-1	98.27857142857144	1.1666666666666667	100.4761904761905	1.1666666666666667	98.9761904761905	1.1666666666666667	98.57619047619049	1.1666666666666667	98.70119047619049																																																																																													-1	97	-1	96													-1	95	-1	95													-1	93.375	-1	93.375
	a priori	Id(Bk)Syl1>>Id(Bk)	1.1666666666666643	37.97976190476191																																																																																																																																																		
37	uEa	yeA	0.5	38.47976190476191	0.5	18.479761904761908			-1	98.36190476190477	-1	101.11190476190477	-1	97.27857142857144			0.5	99.4761904761905	0.5	99.07619047619049	0.5	99.20119047619049																																																																																																																																
38	uuE	yye	0.5	38.97976190476191	0.5	18.979761904761908			-1	97.36190476190477	-1	100.11190476190477	-1	96.27857142857144			0.5	99.9761904761905	0.5	99.57619047619049	0.5	99.70119047619049																																																																																																																																
39	iOO	ioo			1.0	19.979761904761908	1.0	103.52857142857142	1.0	98.36190476190477	1.0	101.11190476190477	1.0	97.27857142857144					-1	98.57619047619049	-1	98.70119047619049																																																									-1	96	-1	96.5	-1	96.54166666666667	-1	96.54166666666667																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	1.0	39.97976190476191																																																																																																																																																		
40	eeo	EEo	0.23076923076923078	40.21053113553114	0.23076923076923078	20.210531135531138					0.23076923076923078	101.342673992674	0.23076923076923078	97.50934065934067			-1	98.9761904761905	-1	97.57619047619049	-1	97.70119047619049																																									0.23076923076923078	100.23076923076923	0.23076923076923078	100.23076923076923	0.23076923076923078	100.23076923076923	0.23076923076923078	100.83076923076922									0.23076923076923078	96.23076923076923	0.23076923076923078	96.73076923076923	0.23076923076923078	96.7724358974359	0.23076923076923078	96.7724358974359																																																																
41	uui	yyi	0.5	40.71053113553114	0.5	20.710531135531138			-1	97.36190476190477	-1	100.342673992674	-1	96.50934065934067							0.5	98.20119047619049																																																																																																																													0.5	93.875	0.5	93.875
42	iAe	iaE			1.4	22.110531135531136			1.4	98.76190476190477	1.4	101.742673992674	1.4	97.90934065934067			-1	97.9761904761905	-1	96.57619047619049	-1	97.20119047619049																																																							-1	97.5			-1	95.73076923076923	-1	95.7724358974359	-1	95.7724358974359																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	1.3999999999999915	42.11053113553113																																																																																																																																																		
45	aoa	AOA	0.8	42.91053113553113	0.8	22.910531135531137	-1	102.52857142857142	-1	97.76190476190477	-1	100.742673992674	-1	96.90934065934067					0.8	97.37619047619049	0.8	98.00119047619049																																																																																																																																
46	iai	iAi			0.42857142857142855	23.339102564102564			-1	96.76190476190477	-1	99.742673992674	-1	95.90934065934067							0.42857142857142855	98.42976190476192																																																													0.42857142857142855	96.20100732600733	0.42857142857142855	96.20100732600733																																																													0.42857142857142855	94.30357142857143	0.42857142857142855	94.30357142857143
	a priori	Id(Bk)Syl1>>Id(Bk)	0.4285714285714306	43.33910256410256																																																																																																																																																		
47	iia	iiA			0.6	23.939102564102566			-1	95.76190476190477	-1	98.742673992674	-1	94.90934065934067							0.6	99.02976190476191																																																													0.6	96.80100732600732	0.6	96.80100732600732																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.6000000000000085	43.93910256410257																																																																																																																																																		
49	yyy	uuu	0.16666666666666666	44.10576923076923	0.16666666666666666	24.105769230769234			0.16666666666666666	95.92857142857144	0.16666666666666666	98.90934065934067	0.16666666666666666	95.07600732600734							-1	98.02976190476191																																																																																																																																
