trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F3	now	*B1	now	*B2	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*_B1F3	now	*_B1...F3	now	*_B2F3	now	*_B2...F3	now
				0		0		100		100		100		100		100		100		100		100		100		100		100
	a priori	Id(Bk)Syl1>>Id(Bk)	20	20																								
4	oa	Oa	0.3333333333333333	20.333333333333332	0.3333333333333333	0.3333333333333333	-1	99																				
5	oii	Oii	0.3333333333333333	20.666666666666664	0.3333333333333333	0.6666666666666666	-1	98																				
7	uui	yui	0.3333333333333333	20.999999999999996	0.3333333333333333	1.0	-1	97																				
9	ai	Ai	0.3333333333333333	21.33333333333333	0.3333333333333333	1.3333333333333333	-1	96																				
12	oee	Oee	0.3333333333333333	21.66666666666666	0.3333333333333333	1.6666666666666665	-1	95																				
13	eu	Eu	0.3333333333333333	21.999999999999993	0.3333333333333333	1.9999999999999998					-1	99																
16	oia	Oia	0.3333333333333333	22.333333333333325	0.3333333333333333	2.333333333333333	-1	94																				
17	eiu	Eiu	0.3333333333333333	22.666666666666657	0.3333333333333333	2.6666666666666665					-1	98																
20	eua	Eua	0.3333333333333333	22.99999999999999	0.3333333333333333	3.0					-1	97																
23	aea	Aea	0.3333333333333333	23.33333333333332	0.3333333333333333	3.3333333333333335	-1	93																				
24	oa	Oa	0.3333333333333333	23.666666666666654	0.3333333333333333	3.666666666666667	-1	92																				
30	aii	Aii	0.3333333333333333	23.999999999999986	0.3333333333333333	4.0	-1	91																				
33	ue	ye	0.3333333333333333	24.333333333333318	0.3333333333333333	4.333333333333333	-1	90																				
35	eui	Eui	0.3333333333333333	24.66666666666665	0.3333333333333333	4.666666666666666					-1	96																
36	aie	Aie	0.3333333333333333	24.999999999999982	0.3333333333333333	4.999999999999999	-1	89																				
39	eea	Eea	0.3333333333333333	25.333333333333314	0.3333333333333333	5.333333333333332					-1	95																
42	oae	Oae	0.3333333333333333	25.666666666666647	0.3333333333333333	5.666666666666665	-1	88																				
43	uui	yui	0.3333333333333333	25.99999999999998	0.3333333333333333	5.999999999999998	-1	87																				
44	eua	Eua	0.3333333333333333	26.33333333333331	0.3333333333333333	6.333333333333331					-1	94																
45	eaa	Eaa	0.3333333333333333	26.666666666666643	0.3333333333333333	6.666666666666664					-1	93																
48	aiu	Aiu	0.3333333333333333	26.999999999999975	0.3333333333333333	6.999999999999997	-1	86																				
49	ei	Ei	0.3333333333333333	27.333333333333307	0.3333333333333333	7.33333333333333					-1	92																
51	eii	Eii	0.3333333333333333	27.66666666666664	0.3333333333333333	7.666666666666663					-1	91																
57	eeu	Eeu	0.3333333333333333	27.99999999999997	0.3333333333333333	7.9999999999999964					-1	90																
60	aei	Aei	0.3333333333333333	28.333333333333304	0.3333333333333333	8.33333333333333	-1	85																				
61	eia	Eia	0.3333333333333333	28.666666666666636	0.3333333333333333	8.666666666666664					-1	89																
62	uii	yii	0.3333333333333333	28.999999999999968	0.3333333333333333	8.999999999999998	-1	84																				
63	ai	Ai	0.3333333333333333	29.3333333333333	0.3333333333333333	9.333333333333332	-1	83																				
65	ae	Ae	0.3333333333333333	29.666666666666632	0.3333333333333333	9.666666666666666	-1	82																				
66	eu	Eu	0.3333333333333333	29.999999999999964	0.3333333333333333	10.0					-1	88																
68	ee	Ee	0.3333333333333333	30.333333333333297	0.3333333333333333	10.333333333333334					-1	87																
70	aee	Aee	0.3333333333333333	30.66666666666663	0.3333333333333333	10.666666666666668	-1	81																				
71	oua	Oua	0.3333333333333333	30.99999999999996	0.3333333333333333	11.000000000000002	-1	80																				
72	oeu	Oeu	0.3333333333333333	31.333333333333293	0.3333333333333333	11.333333333333336	-1	79																				
75	aai	Aai	0.3333333333333333	31.666666666666625	0.3333333333333333	11.66666666666667	-1	78																				
77	aue	Aue	0.3333333333333333	31.999999999999957	0.3333333333333333	12.000000000000004	-1	77																				
79	oau	Oau	0.3333333333333333	32.33333333333329	0.3333333333333333	12.333333333333337	-1	76																				
85	oie	Oie	0.3333333333333333	32.66666666666663	0.3333333333333333	12.666666666666671	-1	75																				
92	oia	Oia	0.3333333333333333	32.999999999999964	0.3333333333333333	13.000000000000005	-1	74																				
94	oee	Oee	0.3333333333333333	33.3333333333333	0.3333333333333333	13.33333333333334	-1	73																				
95	ea	Ea	0.3333333333333333	33.666666666666636	0.3333333333333333	13.666666666666673					-1	86																
96	oi	Oi	0.3333333333333333	33.99999999999997	0.3333333333333333	14.000000000000007	-1	72																				
97	uei	yei	0.3333333333333333	34.33333333333331	0.3333333333333333	14.333333333333341	-1	71																				
98	uae	yae	0.3333333333333333	34.66666666666664	0.3333333333333333	14.666666666666675	-1	70																				
99	eei	Eei	0.3333333333333333	34.99999999999998	0.3333333333333333	15.000000000000009					-1	85																
101	oui	Oui	0.3333333333333333	35.333333333333314	0.3333333333333333	15.333333333333343	-1	69																				
102	ui	yi	0.3333333333333333	35.66666666666665	0.3333333333333333	15.666666666666677	-1	68																				
106	eei	Eei	0.3333333333333333	35.999999999999986	0.3333333333333333	16.00000000000001					-1	84																
111	aue	Aue	0.3333333333333333	36.33333333333332	0.3333333333333333	16.333333333333343	-1	67																				
113	aaa	Aaa	0.3333333333333333	36.66666666666666	0.3333333333333333	16.666666666666675	-1	66																				
114	oua	Oua	0.3333333333333333	36.99999999999999	0.3333333333333333	17.000000000000007	-1	65																				
116	oae	Oae	0.3333333333333333	37.33333333333333	0.3333333333333333	17.33333333333334	-1	64																				
124	euu	Euu	0.3333333333333333	37.666666666666664	0.3333333333333333	17.66666666666667					-1	83																
125	oa	Oa	0.3333333333333333	38.0	0.3333333333333333	18.000000000000004	-1	63																				
129	eiu	Eiu	0.3333333333333333	38.333333333333336	0.3333333333333333	18.333333333333336					-1	82																
130	eau	Eau	0.3333333333333333	38.66666666666667	0.3333333333333333	18.666666666666668					-1	81																
131	ue	ye	0.3333333333333333	39.00000000000001	0.3333333333333333	19.0	-1	62																				
132	eaa	Eaa	0.3333333333333333	39.33333333333334	0.3333333333333333	19.333333333333332					-1	80																
133	auu	Auu	0.3333333333333333	39.66666666666668	0.3333333333333333	19.666666666666664	-1	61																				
138	oee	Oee	0.3333333333333333	40.000000000000014	0.3333333333333333	19.999999999999996	-1	60																				
139	au	Au	0.3333333333333333	40.33333333333335	0.3333333333333333	20.33333333333333	-1	59																				
140	aa	Aa	0.3333333333333333	40.666666666666686	0.3333333333333333	20.66666666666666	-1	58																				
