trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F3	now	*B1	now	*B2	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*_B1F3	now	*_B1...F3	now	*_B2F3	now	*_B2...F3	now
142	eiu	Eiu	0.3333333333333333	41.00000000000002	0.3333333333333333	20.999999999999993					-1	79																
143	eie	Eie	0.3333333333333333	41.33333333333336	0.3333333333333333	21.333333333333325					-1	78																
145	aei	Aei	0.3333333333333333	41.66666666666669	0.3333333333333333	21.666666666666657	-1	57																				
147	oea	Oea	0.3333333333333333	42.00000000000003	0.3333333333333333	21.99999999999999	-1	56																				
150	aai	Aai	0.3333333333333333	42.333333333333364	0.3333333333333333	22.33333333333332	-1	55																				
152	aea	Aea	0.3333333333333333	42.6666666666667	0.3333333333333333	22.666666666666654	-1	54																				
155	ouu	Ouu	0.3333333333333333	43.000000000000036	0.3333333333333333	22.999999999999986	-1	53																				
156	eia	Eia	0.3333333333333333	43.33333333333337	0.3333333333333333	23.333333333333318					-1	77																
158	ueu	yeu	0.3333333333333333	43.66666666666671	0.3333333333333333	23.66666666666665	-1	52																				
161	uui	yui	0.3333333333333333	44.00000000000004	0.3333333333333333	23.999999999999982	-1	51																				
162	uee	yee	0.3333333333333333	44.33333333333338	0.3333333333333333	24.333333333333314	-1	50																				
163	aae	Aae	0.3333333333333333	44.666666666666714	0.3333333333333333	24.666666666666647	-1	49																				
166	ouu	Ouu	0.3333333333333333	45.00000000000005	0.3333333333333333	24.99999999999998	-1	48																				
167	aie	Aie	0.3333333333333333	45.333333333333385	0.3333333333333333	25.33333333333331	-1	47																				
168	eee	Eee	0.3333333333333333	45.66666666666672	0.3333333333333333	25.666666666666643					-1	76																
174	aae	Aae	0.3333333333333333	46.00000000000006	0.3333333333333333	25.999999999999975	-1	46																				
177	aai	Aai	0.3333333333333333	46.33333333333339	0.3333333333333333	26.333333333333307	-1	45																				
178	aia	Aia	0.3333333333333333	46.66666666666673	0.3333333333333333	26.66666666666664	-1	44																				
186	oei	Oei	0.3333333333333333	47.000000000000064	0.3333333333333333	26.99999999999997	-1	43																				
194	eau	Eau	0.3333333333333333	47.3333333333334	0.3333333333333333	27.333333333333304					-1	75																
196	ou	Ou	0.3333333333333333	47.666666666666735	0.3333333333333333	27.666666666666636	-1	42																				
220	eie	Eie	0.3333333333333333	48.00000000000007	0.3333333333333333	27.999999999999968					-1	74																
222	eiu	Eiu	0.3333333333333333	48.33333333333341	0.3333333333333333	28.3333333333333					-1	73																
231	eiu	Eiu	0.3333333333333333	48.66666666666674	0.3333333333333333	28.666666666666632					-1	72																
236	eie	Eie	0.3333333333333333	49.00000000000008	0.3333333333333333	28.999999999999964					-1	71																
242	eaa	Eaa	0.3333333333333333	49.333333333333414	0.3333333333333333	29.333333333333297					-1	70																
254	eu	Eu	0.3333333333333333	49.66666666666675	0.3333333333333333	29.66666666666663					-1	69																
274	eai	Eai	0.3333333333333333	50.000000000000085	0.3333333333333333	29.99999999999996					-1	68																
278	eii	Eii	0.3333333333333333	50.33333333333342	0.3333333333333333	30.333333333333293					-1	67																
280	eai	Eai	0.3333333333333333	50.66666666666676	0.3333333333333333	30.666666666666625					-1	66																
291	ee	Ee	0.3333333333333333	51.00000000000009	0.3333333333333333	30.999999999999957					-1	65																
303	eea	Eea	0.3333333333333333	51.33333333333343	0.3333333333333333	31.33333333333329					-1	64																
305	eiu	Eiu	0.3333333333333333	51.666666666666764	0.3333333333333333	31.66666666666662					-1	63																
311	ea	Ea	0.3333333333333333	52.0000000000001	0.3333333333333333	31.999999999999954					-1	62																
328	ee	Ee	0.3333333333333333	52.333333333333435	0.3333333333333333	32.333333333333286					-1	61																
364	eai	Eai	0.3333333333333333	52.66666666666677	0.3333333333333333	32.66666666666662					-1	60																
367	eia	Eia	0.3333333333333333	53.00000000000011	0.3333333333333333	32.99999999999996					-1	59																
374	eue	Eue	0.3333333333333333	53.33333333333344	0.3333333333333333	33.33333333333329					-1	58																
378	eei	Eei	0.3333333333333333	53.66666666666678	0.3333333333333333	33.66666666666663					-1	57																
395	eai	Eai	0.3333333333333333	54.000000000000114	0.3333333333333333	33.999999999999964					-1	56																
396	eau	Eau	0.3333333333333333	54.33333333333345	0.3333333333333333	34.3333333333333					-1	55																
411	eu	Eu	0.3333333333333333	54.666666666666785	0.3333333333333333	34.666666666666636					-1	54																
470	eau	Eau	0.3333333333333333	55.00000000000012	0.3333333333333333	34.99999999999997					-1	53																
586	ei	Ei	0.3333333333333333	55.33333333333346	0.3333333333333333	35.33333333333331					-1	52																
602	eee	Eee	0.3333333333333333	55.66666666666679	0.3333333333333333	35.66666666666664					-1	51																
789	eui	Eui	0.3333333333333333	56.00000000000013	0.3333333333333333	35.99999999999998					-1	50																
1333	eii	Eii	0.03333333333333333	56.03333333333346	0.03333333333333333	36.03333333333331					-0.1	49.9																
TOTAL				56.03333333333346		36.03333333333331		42		100		49.9		100		100		100		100		100		100		100		100
