trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
54	OAi	oai	2	30	2	36							2	80	2	70	2	66	2	62					-2	78	-2	70																																																																																																															-2	92													-2	76	-2	76
55	aua	AyA	2	32	2	38									-2	68	-2	64	-2	60							2	72																																																																																																																																
57	yiy	uiu	2	34	2	40									2	70	2	66	2	62							-2	70																																																													-2	94	-2	94																																																													-2	74	-2	74
61	Ai_	AiO							2	84			-2	78	-2	68	-2	64	-2	60																																																																																																																																								
65	AeO	aeo	2	36	2	42							2	80	2	70	2	66	2	62					-2	76	-2	68																																									-2	98	-2	98	-2	96	-2	96									-2	96	-2	96	-2	92	-2	92																																																									-2	86	-2	86	-2	72	-2	72
69	yOe	uoe	2	38	2	44							2	82	2	72	2	68	2	64					-2	74	-2	66																																																																																																									-2	92	-2	92	-2	92	-2	90									-2	84	-2	84	-2	70	-2	70
71	oaa	OAA	2	40	2	46							-2	80	-2	70	-2	66	-2	62					2	76	2	68																																																																																																																																
73	uoa	yOA	2	42	2	48							-2	78	-2	68	-2	64	-2	60					2	78	2	70																																																																																																																																
77	Aii	aii	2	44	2	50									2	70	2	66	2	62							-2	68																																																																																																																													-2	68	-2	68
79	AOA	aoa	2	46	2	52							2	80	2	72	2	68	2	64					-2	76	-2	66																																																																																																																																
84	aau	AAy	2	48	2	54									-2	70	-2	66	-2	62							2	68																																																																																																																																
86	AA	aa	2	50	2	56									2	72	2	68	2	64							-2	66																																																																																																																																
89	_ai	OAi			2	58	2	54	2	86			-2	78	-2	70	-2	66	-2	62							2	68																																																																																																																													2	70	2	70
91	OOe	ooe	2	52	2	60							2	80	2	72	2	68	2	64					-2	74	-2	66																																																																																																									-2	90	-2	90	-2	90	-2	88									-2	82	-2	82	-2	68	-2	68
92	Oii	oii	2	54	2	62							2	82	2	74	2	70	2	66					-2	72	-2	64																																																																																																													-2	88	-2	86													-2	66	-2	66
93	Oi	oi	2	56	2	64							2	84	2	76	2	72	2	68					-2	70	-2	62																																																																																																													-2	86	-2	84													-2	64	-2	64
94	ouo	OyO	2	58	2	66							-2	82	-2	74	-2	70	-2	66					2	72	2	64																																																																																																																																
95	Oye	oue	2	60	2	68							2	84	2	76	2	72	2	68					-2	70	-2	62																																																																																																											-2	88			-2	82									-2	80	-2	80	-2	62	-2	62
