trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
27	EIa	eiA	0.8571428571428571	61.19047619047619	0.8571428571428571	41.19047619047619			-2	100.86666666666666	-2	106.73333333333333	-2	102.73333333333333	0.8571428571428571	101.52380952380953	0.8571428571428571	103.85714285714286	0.8571428571428571	101.45714285714286	0.8571428571428571	106.45714285714286																																																																																																																																
29	yiA	uia	1.6666666666666667	62.857142857142854	1.6666666666666667	42.857142857142854			1.6666666666666667	102.53333333333333	1.6666666666666667	108.4	1.6666666666666667	104.4							-2	104.45714285714286																																																													-2	86.66666666666667	-2	86.66666666666667																																																													-2	88	-2	94.0
31	uEi	yei	0.5	63.357142857142854	0.5	43.357142857142854			-2	100.53333333333333	-2	106.4	-2	102.4			0.5	104.35714285714286	0.5	101.95714285714286	0.5	104.95714285714286																																																																																													0.5	94.5	0.5	94.5													0.5	92.5	0.5	90.5													0.5	88.5	0.5	94.5
33	iy	Iu	1.3333333333333333	64.69047619047619	1.3333333333333333	44.69047619047619			1.3333333333333333	101.86666666666666	1.3333333333333333	107.73333333333333	1.3333333333333333	103.73333333333333	-2	99.52380952380953	-2	102.35714285714286	-2	99.95714285714286	-2	102.95714285714286																																																																																																																																
36	uuI	yyi	0.8571428571428571	65.54761904761905	0.8571428571428571	45.547619047619044			-2	99.86666666666666	-2	105.73333333333333	-2	101.73333333333333	0.8571428571428571	100.3809523809524	0.8571428571428571	103.21428571428572	0.8571428571428571	100.81428571428572	0.8571428571428571	103.81428571428572																																																																																																																																
37	ai	Ai	1.0	66.54761904761905	1.0	46.547619047619044			-2	97.86666666666666	-2	103.73333333333333	-2	99.73333333333333							1.0	104.81428571428572																																																																																																																													1.0	89.5	1.0	95.5
38	Aey	aEu	1.0	67.54761904761905	1.0	47.547619047619044			1.0	98.86666666666666	1.0	104.73333333333333	1.0	100.73333333333333			-2	101.21428571428572	-2	98.81428571428572	-2	102.81428571428572																																																																																																																																
39	EEI	EEi			2.3333333333333335	49.88095238095238							-2	98.73333333333333	2.3333333333333335	102.71428571428572	2.3333333333333335	103.54761904761905	2.3333333333333335	101.14761904761905	2.3333333333333335	105.14761904761905																																																																																													-2	92.5	-2	92.5													-2	90.5	-2	88.5													-2	87.5	-2	93.5
	a priori	Id(Bk)Syl1>>Id(Bk)	2.3333333333333286	69.88095238095238																																																																																																																																																		
42	iuu	iyy			1.2	51.08095238095238			-2	96.86666666666666	-2	102.73333333333333	-2	96.73333333333333							1.2	106.34761904761905																																																													1.2	87.86666666666667	1.2	87.86666666666667																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	1.2000000000000028	71.08095238095238																																																																																																																																																		
44	oii	Oii	0.8888888888888888	71.96984126984127	0.8888888888888888	51.96984126984127	-2	107.33333333333333	-2	94.86666666666666	-2	100.73333333333333	-2	94.73333333333333					0.8888888888888888	102.03650793650793	0.8888888888888888	107.23650793650793																																																																																																													0.8888888888888888	91.38888888888889	0.8888888888888888	89.38888888888889													0.8888888888888888	88.38888888888889	0.8888888888888888	94.38888888888889
45	yeA	uEa	1.0	72.96984126984127	1.0	52.96984126984127			1.0	95.86666666666666	1.0	101.73333333333333	1.0	95.73333333333333			-2	101.54761904761905	-2	100.03650793650793	-2	105.23650793650793																																																																																																																																
46	oiy	oiu			0.6666666666666666	53.63650793650793			0.6666666666666666	96.53333333333333	0.6666666666666666	102.4	0.6666666666666666	96.4							-2	103.23650793650793																																																													-2	85.86666666666667	-2	85.86666666666667																																							0.6666666666666666	100.66666666666667			0.6666666666666666	100.66666666666667											0.6666666666666666	100.66666666666667			0.6666666666666666	100.66666666666667				
	a priori	Id(Bk)Syl1>>Id(Bk)	0.6666666666666714	73.63650793650794																																																																																																																																																		
47	Aie	aiE	3.6666666666666665	77.30317460317461	3.6666666666666665	57.3031746031746			3.6666666666666665	100.2	3.6666666666666665	106.06666666666668	3.6666666666666665	100.06666666666668			-2	99.54761904761905	-2	98.03650793650793	-2	101.23650793650793																																																					-2	96	-2	96	-2	88	-2	88	-2	83.86666666666667	-2	83.86666666666667																																																													-2	86.38888888888889	-2	92.38888888888889
49	iEi	IEi	1.6	78.9031746031746	1.6	58.9031746031746							1.6	101.66666666666667	-2	100.71428571428572	-2	97.54761904761905	-2	96.03650793650793	-2	99.23650793650793																																																					1.6	97.6	1.6	97.6	1.6	89.6	1.6	89.6	1.6	85.46666666666667	1.6	85.46666666666667															-2	92															-2	90.5															-2	87.38888888888889															-2	90.38888888888889
50	Eua	eyA	1.0	79.9031746031746	1.0	59.9031746031746			-2	98.2	-2	104.06666666666668	-2	99.66666666666667			1.0	98.54761904761905	1.0	97.03650793650793	1.0	100.23650793650793																																																																																																																																
51	Ei	ei	0.3333333333333333	80.23650793650793	0.3333333333333333	60.236507936507934					-2	102.06666666666668	-2	97.66666666666667			0.3333333333333333	98.88095238095238	0.3333333333333333	97.36984126984126	0.3333333333333333	100.56984126984126																																																																																													0.3333333333333333	92.83333333333333	0.3333333333333333	90.83333333333333													0.3333333333333333	91.72222222222221	0.3333333333333333	87.72222222222221													0.3333333333333333	86.72222222222221	0.3333333333333333	90.72222222222221
52	ieu	IEu	0.8888888888888888	81.12539682539682	0.8888888888888888	61.12539682539682					0.8888888888888888	102.95555555555556	0.8888888888888888	98.55555555555556	-2	98.71428571428572	-2	96.88095238095238	-2	95.36984126984126	-2	98.56984126984126																																													0.8888888888888888	95.55555555555556	0.8888888888888888	95.55555555555556													0.8888888888888888	86.35555555555555	0.8888888888888888	86.35555555555555																																																																
53	iai	Iai	2.6666666666666665	83.79206349206349	2.6666666666666665	63.792063492063484							2.6666666666666665	101.22222222222223	-2	96.71428571428572	-2	94.88095238095238	-2	93.36984126984126	-2	96.56984126984126																																																													2.6666666666666665	89.02222222222223	2.6666666666666665	89.02222222222223															-2	90															-2	88.83333333333333															-2	85.72222222222221															-2	88.72222222222221
54	EEu	eEu	4.666666666666667	88.45873015873016	4.666666666666667	68.45873015873015					-2	100.95555555555556	-2	99.22222222222223			4.666666666666667	99.54761904761905	4.666666666666667	98.03650793650793	4.666666666666667	101.23650793650793																																					-2	98	-2	98	-2	92	-2	92	-2	93.55555555555556	-2	93.55555555555556					-2	95.6	-2	95.6	-2	87.6	-2	87.6	-2	87.02222222222223	-2	87.02222222222223																																																																
55	iye	iuE			2.8	71.25873015873015			2.8	101.0	2.8	103.75555555555556	2.8	102.02222222222223			-2	97.54761904761905	-2	96.03650793650793	-2	99.23650793650793																																																							-2	93.6			-2	85.6	-2	85.02222222222223	-2	85.02222222222223																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	2.799999999999983	91.25873015873015																																																																																																																																																		
57	Euo	eyo	5.0	96.25873015873015	5.0	76.25873015873015			-2	99.0	-2	101.75555555555556	-2	100.02222222222223			5.0	102.54761904761905	5.0	101.03650793650793	5.0	104.23650793650793																									-2	94	-2	94	-2	94	-2	94									-2	90	-2	90	-2	91.55555555555556	-2	91.55555555555556									-2	85.6	-2	83.6	-2	83.02222222222223	-2	83.02222222222223																																																																
58	iua	iyA			1.2	77.45873015873015			-2	97.0	-2	99.75555555555556	-2	98.02222222222223							1.2	105.43650793650794																																																													1.2	84.22222222222223	1.2	84.22222222222223																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	1.2000000000000028	97.45873015873015																																																																																																																																																		
60	oii	Oii	0.8888888888888888	98.34761904761903	0.8888888888888888	78.34761904761903	-2	105.33333333333333	-2	95.0	-2	97.75555555555556	-2	96.02222222222223					0.8888888888888888	101.92539682539682	0.8888888888888888	106.32539682539682																																																																																																													0.8888888888888888	92.6111111111111	0.8888888888888888	86.6111111111111													0.8888888888888888	87.6111111111111	0.8888888888888888	89.6111111111111
61	iii	Iii	6.0	104.34761904761903	6.0	84.34761904761903							6.0	102.02222222222223	-2	94.71428571428572	-2	100.54761904761905	-2	99.92539682539682	-2	104.32539682539682																																																																													-2	92	-2	88													-2	90.83333333333333	-2	86.83333333333333													-2	90.6111111111111	-2	84.6111111111111													-2	85.6111111111111	-2	87.6111111111111
62	eAo	eao			0.5454545454545454	84.89307359307358			0.5454545454545454	95.54545454545455	0.5454545454545454	98.3010101010101	0.5454545454545454	102.56767676767677							-2	102.32539682539682																									0.5454545454545454	94.54545454545455	0.5454545454545454	94.54545454545455	0.5454545454545454	94.54545454545455	0.5454545454545454	94.54545454545455									0.5454545454545454	90.54545454545455					-2	89.55555555555556									0.5454545454545454	86.14545454545454					-2	82.22222222222223																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.5454545454545467	104.89307359307358																																																																																																																																																		
67	eia	Eia	3.0	107.89307359307358	3.0	87.89307359307358					3.0	101.3010101010101	3.0	105.56767676767677			-2	98.54761904761905	-2	97.92539682539682	-2	100.32539682539682																																															3.0	92.55555555555556																																													-2	88.83333333333333	-2	84.83333333333333													-2	88.6111111111111	-2	82.6111111111111													-2	83.6111111111111	-2	85.6111111111111
70	iu	iy			1.2	89.09307359307358			-2	93.54545454545455	-2	99.3010101010101	-2	103.56767676767677							1.2	101.52539682539683																																																													1.2	85.42222222222223	1.2	83.42222222222223																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	1.2000000000000028	109.09307359307358																																																																																																																																																		
72	Aa	AA			0.6666666666666666	89.75974025974025			-2	91.54545454545455	-2	97.3010101010101	-2	101.56767676767677							0.6666666666666666	102.1920634920635																													0.6666666666666666	95.21212121212122	0.6666666666666666	95.21212121212122													0.6666666666666666	92.22222222222223	0.6666666666666666	93.22222222222223													0.6666666666666666	86.0888888888889	0.6666666666666666	84.0888888888889																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.6666666666666714	109.75974025974025																																																																																																																																																		
73	aIa	aia			1.6666666666666667	91.42640692640693							-2	99.56767676767677	1.6666666666666667	96.3809523809524	1.6666666666666667	100.21428571428572	1.6666666666666667	99.59206349206349	1.6666666666666667	103.85873015873017																																																													-2	84.0888888888889	-2	82.0888888888889																																																													-2	81.6111111111111	-2	83.6111111111111
	a priori	Id(Bk)Syl1>>Id(Bk)	1.6666666666666714	111.42640692640693																																																																																																																																																		
75	uyi	uui			0.4444444444444444	91.87085137085137			0.4444444444444444	91.98989898989899	0.4444444444444444	97.74545454545455	0.4444444444444444	100.01212121212122							-2	101.85873015873017																																																																																																																					0.4444444444444444	100.44444444444444	0.4444444444444444	101.11111111111111	0.4444444444444444	100.44444444444444	0.4444444444444444	101.11111111111111			-2	81.6111111111111
	a priori	Id(Bk)Syl1>>Id(Bk)	0.44444444444444287	111.87085137085137																																																																																																																																																		
81	uiA	uia			0.8571428571428571	92.72799422799423			0.8571428571428571	92.84704184704185	0.8571428571428571	98.60259740259741	0.8571428571428571	100.86926406926408							-2	99.85873015873017																																																													-2	82.0888888888889	-2	80.0888888888889																																																							0.8571428571428571	101.96825396825398			0.8571428571428571	101.96825396825398				
	a priori	Id(Bk)Syl1>>Id(Bk)	0.8571428571428612	112.72799422799423																																																																																																																																																		
83	iI	ii			0.14285714285714285	92.87085137085137							-2	98.86926406926408	0.14285714285714285	96.52380952380953	0.14285714285714285	100.35714285714286	0.14285714285714285	99.73492063492063	0.14285714285714285	100.0015873015873																																																	0.14285714285714285	100.14285714285714	0.14285714285714285	100.14285714285714	0.14285714285714285	95.74285714285713	0.14285714285714285	93.74285714285713	0.14285714285714285	86.28831168831168	0.14285714285714285	83.74285714285713	0.14285714285714285	82.23174603174604	0.14285714285714285	80.23174603174604																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.1428571428571388	112.87085137085137																																																																																																																																																		
85	oII	oii			1.6666666666666667	94.53751803751804							-2	96.86926406926408	1.6666666666666667	98.1904761904762	1.6666666666666667	102.02380952380953	1.6666666666666667	101.4015873015873	1.6666666666666667	101.66825396825398																																																																																																													-2	86.6111111111111	-2	80.6111111111111													-2	79.6111111111111	-2	79.6111111111111
	a priori	Id(Bk)Syl1>>Id(Bk)	1.6666666666666714	114.53751803751804																																																																																																																																																		
86	eAo	eao			0.5454545454545454	95.08297258297259			0.5454545454545454	93.3924963924964	0.5454545454545454	99.14805194805196	0.5454545454545454	97.41471861471862							-2	99.66825396825398																									0.5454545454545454	95.0909090909091	0.5454545454545454	95.0909090909091	0.5454545454545454	95.75757575757576	0.5454545454545454	95.75757575757576									0.5454545454545454	91.0909090909091					-2	91.22222222222223									0.5454545454545454	86.83376623376623					-2	78.23174603174604																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.5454545454545467	115.08297258297259																																																																																																																																																		
88	iua	iyA			1.2	96.28297258297259			-2	91.3924963924964	-2	97.14805194805196	-2	95.41471861471862							1.2	100.86825396825398																																																													1.2	83.43174603174604	1.2	79.43174603174604																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	1.2000000000000028	116.28297258297259																																																																																																																																																		
89	yu	yy			0.6666666666666666	96.94963924963926			-2	89.3924963924964	-2	95.14805194805196	-2	93.41471861471862							0.6666666666666666	101.53492063492065																													0.6666666666666666	96.42424242424244	0.6666666666666666	96.42424242424244													0.6666666666666666	92.8888888888889	0.6666666666666666	91.8888888888889													0.6666666666666666	84.09841269841272	0.6666666666666666	80.09841269841272																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.6666666666666714	116.94963924963926																																																																																																																																																		
94	IEy	IEu			0.07692307692307693	97.02656232656234			0.07692307692307693	89.46941946941948	0.07692307692307693	95.22497502497504	0.07692307692307693	93.4916416916417							-2	99.53492063492065																																																																							0.07692307692307693	100.07692307692308			0.07692307692307693	100.07692307692308			0.07692307692307693	88.07692307692308					0.07692307692307693	100.07692307692308	0.07692307692307693	100.07692307692308	0.07692307692307693	100.07692307692308	0.07692307692307693	100.07692307692308	0.07692307692307693	88.91025641025641	0.07692307692307693	84.91025641025641					0.07692307692307693	100.07692307692308	0.07692307692307693	100.74358974358975	0.07692307692307693	100.07692307692308	0.07692307692307693	100.74358974358975	0.07692307692307693	86.68803418803418	0.07692307692307693	80.68803418803418					0.07692307692307693	100.52136752136752	0.07692307692307693	102.04517704517706	0.07692307692307693	100.52136752136752	0.07692307692307693	102.04517704517706	0.07692307692307693	79.68803418803418	0.07692307692307693	79.68803418803418
	a priori	Id(Bk)Syl1>>Id(Bk)	0.0769230769230802	117.02656232656234																																																																																																																																																		
95	Eea	EEa			0.3	97.32656232656234					0.3	95.52497502497503	0.3	93.7916416916417			-2	100.02380952380953	-2	99.4015873015873	-2	97.53492063492065																																													0.3	93.1888888888889	0.3	92.1888888888889													0.3	84.39841269841271	0.3	80.39841269841271																									0.3	100.37692307692308	0.3	100.37692307692308	0.3	89.2102564102564	0.3	85.2102564102564									0.3	100.37692307692308	0.3	101.04358974358975	0.3	86.98803418803418	0.3	80.98803418803418									0.3	100.82136752136752	0.3	102.34517704517705	0.3	79.98803418803418	0.3	79.98803418803418
	a priori	Id(Bk)Syl1>>Id(Bk)	0.29999999999999716	117.32656232656234																																																																																																																																																		
