			Id(Bk)Syl1	Id(Bk)	*F3	*B1	*B2	*F3_B1	*F3..._B1	*F3_B2	*F3..._B2	*_B1F3	*_B1...F3	*_B2F3	*_B2...F3
			Id(Bk)Syl1	Id(Bk)	*F3	*B1	*B2	*F3_B1	*F3..._B1	*F3_B2	*F3..._B2	*_B1F3	*_B1...F3	*_B2F3	*_B2...F3
oe	oe	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	oE		0	1	0	0	1	0	0	0	0	0	0	0	0
	Oe		1	1	1	0	0	0	0	0	0	0	0	0	0
	OE		1	2	1	0	1	0	0	1	1	0	0	0	0
oi	oi	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	oI		0	1	0	1	1	0	0	0	0	0	0	0	0
	Oi		1	1	1	0	0	0	0	0	0	0	0	0	0
	OI		1	2	1	1	1	1	1	1	1	0	0	0	0
oa	oa	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	oA		0	1	1	0	0	0	0	0	0	0	0	0	0
	Oa		1	1	1	0	0	0	0	0	0	0	0	0	0
	OA		1	2	2	0	0	0	0	0	0	0	0	0	0
ou	ou	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	oy		0	1	1	0	0	0	0	0	0	0	0	0	0
	Ou		1	1	1	0	0	0	0	0	0	0	0	0	0
	Oy		1	2	2	0	0	0	0	0	0	0	0	0	0
ae	ae	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	aE		0	1	0	0	1	0	0	0	0	0	0	0	0
	Ae		1	1	1	0	0	0	0	0	0	0	0	0	0
	AE		1	2	1	0	1	0	0	1	1	0	0	0	0
ai	ai	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	aI		0	1	0	1	1	0	0	0	0	0	0	0	0
	Ai		1	1	1	0	0	0	0	0	0	0	0	0	0
	AI		1	2	1	1	1	1	1	1	1	0	0	0	0
aa	aa	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	aA		0	1	1	0	0	0	0	0	0	0	0	0	0
	Aa		1	1	1	0	0	0	0	0	0	0	0	0	0
	AA		1	2	2	0	0	0	0	0	0	0	0	0	0
au	au	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	ay		0	1	1	0	0	0	0	0	0	0	0	0	0
	Au		1	1	1	0	0	0	0	0	0	0	0	0	0
	Ay		1	2	2	0	0	0	0	0	0	0	0	0	0
ue	ue	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	uE		0	1	0	0	1	0	0	0	0	0	0	0	0
	ye		1	1	1	0	0	0	0	0	0	0	0	0	0
	yE		1	2	1	0	1	0	0	1	1	0	0	0	0
ui	ui	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	uI		0	1	0	1	1	0	0	0	0	0	0	0	0
	yi		1	1	1	0	0	0	0	0	0	0	0	0	0
	yI		1	2	1	1	1	1	1	1	1	0	0	0	0
ua	ua	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	uA		0	1	1	0	0	0	0	0	0	0	0	0	0
	ya		1	1	1	0	0	0	0	0	0	0	0	0	0
	yA		1	2	2	0	0	0	0	0	0	0	0	0	0
uu	uu	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	uy		0	1	1	0	0	0	0	0	0	0	0	0	0
	yu		1	1	1	0	0	0	0	0	0	0	0	0	0
	yy		1	2	2	0	0	0	0	0	0	0	0	0	0
Oee	Oee	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	OeE		0	1	1	0	1	0	0	0	1	0	0	0	0
	OEe		0	1	1	0	1	0	0	1	1	0	0	0	0
	OEE		0	2	1	0	2	0	0	1	2	0	0	0	0
	oee		1	1	0	0	0	0	0	0	0	0	0	0	0
	oeE		1	2	0	0	1	0	0	0	0	0	0	0	0
	oEE		1	3	0	0	2	0	0	0	0	0	0	0	0
Oei	Oei	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	OeI		0	1	1	1	1	0	1	0	1	0	0	0	0
	OEi		0	1	1	0	1	0	0	1	1	0	0	0	0
	OEI		0	2	1	1	2	0	1	1	2	0	0	0	0
	oei		1	1	0	0	0	0	0	0	0	0	0	0	0
	oeI		1	2	0	1	1	0	0	0	0	0	0	0	0
	oEi		1	2	0	0	1	0	0	0	0	0	0	0	0
	oEI		1	3	0	1	2	0	0	0	0	0	0	0	0
Oea	Oea	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	OeA		0	1	2	0	0	0	0	0	0	0	0	0	0
	OEa		0	1	1	0	1	0	0	1	1	0	0	0	0
	OEA		0	2	2	0	1	0	0	1	1	0	0	1	1
	oea		1	1	0	0	0	0	0	0	0	0	0	0	0
	oeA		1	2	1	0	0	0	0	0	0	0	0	0	0
	oEa		1	2	0	0	1	0	0	0	0	0	0	0	0
	oEA		1	3	1	0	1	0	0	0	0	0	0	1	1
Oeu	Oeu	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	Oey		0	1	2	0	0	0	0	0	0	0	0	0	0
	OEu		0	1	1	0	1	0	0	1	1	0	0	0	0
	OEy		0	2	2	0	1	0	0	1	1	0	0	1	1
	oeu		1	1	0	0	0	0	0	0	0	0	0	0	0
	oey		1	2	1	0	0	0	0	0	0	0	0	0	0
	oEu		1	2	0	0	1	0	0	0	0	0	0	0	0
	oEy		1	3	1	0	1	0	0	0	0	0	0	1	1
Oie	Oie	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	OiE		0	1	1	0	1	0	0	0	1	0	0	0	0
	OIe		0	1	1	1	1	1	1	1	1	0	0	0	0
	OIE		0	2	1	1	2	1	1	1	2	0	0	0	0
	oie		1	1	0	0	0	0	0	0	0	0	0	0	0
	oiE		1	2	0	0	1	0	0	0	0	0	0	0	0
	oIe		1	2	0	1	1	0	0	0	0	0	0	0	0
	oIE		1	3	0	1	2	0	0	0	0	0	0	0	0
Oii	Oii	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	OiI		0	1	1	1	1	0	1	0	1	0	0	0	0
	OIi		0	1	1	1	1	1	1	1	1	0	0	0	0
	OII		0	2	1	2	2	1	2	1	2	0	0	0	0
	oii		1	1	0	0	0	0	0	0	0	0	0	0	0
	oiI		1	2	0	1	1	0	0	0	0	0	0	0	0
	oII		1	3	0	2	2	0	0	0	0	0	0	0	0
Oia	Oia	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	OiA		0	1	2	0	0	0	0	0	0	0	0	0	0
	OIa		0	1	1	1	1	1	1	1	1	0	0	0	0
	OIA		0	2	2	1	1	1	1	1	1	1	1	1	1
	oia		1	1	0	0	0	0	0	0	0	0	0	0	0
	oiA		1	2	1	0	0	0	0	0	0	0	0	0	0
	oIa		1	2	0	1	1	0	0	0	0	0	0	0	0
	oIA		1	3	1	1	1	0	0	0	0	1	1	1	1
Oiu	Oiu	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	Oiy		0	1	2	0	0	0	0	0	0	0	0	0	0
	OIu		0	1	1	1	1	1	1	1	1	0	0	0	0
	OIy		0	2	2	1	1	1	1	1	1	1	1	1	1
	oiu		1	1	0	0	0	0	0	0	0	0	0	0	0
	oiy		1	2	1	0	0	0	0	0	0	0	0	0	0
	oIu		1	2	0	1	1	0	0	0	0	0	0	0	0
	oIy		1	3	1	1	1	0	0	0	0	1	1	1	1
Oae	Oae	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	OaE		0	1	1	0	1	0	0	0	1	0	0	0	0
	OAe		0	1	2	0	0	0	0	0	0	0	0	0	0
	OAE		0	2	2	0	1	0	0	1	1	0	0	0	0
	oae		1	1	0	0	0	0	0	0	0	0	0	0	0
	oaE		1	2	0	0	1	0	0	0	0	0	0	0	0
	oAe		1	2	1	0	0	0	0	0	0	0	0	0	0
	oAE		1	3	1	0	1	0	0	1	1	0	0	0	0
Oai	Oai	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	OaI		0	1	1	1	1	0	1	0	1	0	0	0	0
	OAi		0	1	2	0	0	0	0	0	0	0	0	0	0
	OAI		0	2	2	1	1	1	1	1	1	0	0	0	0
	oai		1	1	0	0	0	0	0	0	0	0	0	0	0
	oaI		1	2	0	1	1	0	0	0	0	0	0	0	0
	oAi		1	2	1	0	0	0	0	0	0	0	0	0	0
	oAI		1	3	1	1	1	1	1	1	1	0	0	0	0
Oaa	Oaa	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	OaA		0	1	2	0	0	0	0	0	0	0	0	0	0
	OAA		0	2	3	0	0	0	0	0	0	0	0	0	0
	oaa		1	1	0	0	0	0	0	0	0	0	0	0	0
	oaA		1	2	1	0	0	0	0	0	0	0	0	0	0
	oAA		1	3	2	0	0	0	0	0	0	0	0	0	0
Oau	Oau	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	Oay		0	1	2	0	0	0	0	0	0	0	0	0	0
	OAy		0	2	3	0	0	0	0	0	0	0	0	0	0
	oau		1	1	0	0	0	0	0	0	0	0	0	0	0
	oay		1	2	1	0	0	0	0	0	0	0	0	0	0
	oAy		1	3	2	0	0	0	0	0	0	0	0	0	0
Oue	Oue	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	OuE		0	1	1	0	1	0	0	0	1	0	0	0	0
	Oye		0	1	2	0	0	0	0	0	0	0	0	0	0
	OyE		0	2	2	0	1	0	0	1	1	0	0	0	0
	oue		1	1	0	0	0	0	0	0	0	0	0	0	0
	ouE		1	2	0	0	1	0	0	0	0	0	0	0	0
	oye		1	2	1	0	0	0	0	0	0	0	0	0	0
	oyE		1	3	1	0	1	0	0	1	1	0	0	0	0
Oui	Oui	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	OuI		0	1	1	1	1	0	1	0	1	0	0	0	0
	Oyi		0	1	2	0	0	0	0	0	0	0	0	0	0
	OyI		0	2	2	1	1	1	1	1	1	0	0	0	0
	oui		1	1	0	0	0	0	0	0	0	0	0	0	0
	ouI		1	2	0	1	1	0	0	0	0	0	0	0	0
	oyi		1	2	1	0	0	0	0	0	0	0	0	0	0
	oyI		1	3	1	1	1	1	1	1	1	0	0	0	0
Oua	Oua	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	OuA		0	1	2	0	0	0	0	0	0	0	0	0	0
	OyA		0	2	3	0	0	0	0	0	0	0	0	0	0
	oua		1	1	0	0	0	0	0	0	0	0	0	0	0
	ouA		1	2	1	0	0	0	0	0	0	0	0	0	0
	oyA		1	3	2	0	0	0	0	0	0	0	0	0	0
Ouu	Ouu	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	Ouy		0	1	2	0	0	0	0	0	0	0	0	0	0
	Oyy		0	2	3	0	0	0	0	0	0	0	0	0	0
	ouu		1	1	0	0	0	0	0	0	0	0	0	0	0
	ouy		1	2	1	0	0	0	0	0	0	0	0	0	0
	oyy		1	3	2	0	0	0	0	0	0	0	0	0	0
Aee	Aee	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	AeE		0	1	1	0	1	0	0	0	1	0	0	0	0
	AEe		0	1	1	0	1	0	0	1	1	0	0	0	0
	AEE		0	2	1	0	2	0	0	1	2	0	0	0	0
	aee		1	1	0	0	0	0	0	0	0	0	0	0	0
	aeE		1	2	0	0	1	0	0	0	0	0	0	0	0
	aEE		1	3	0	0	2	0	0	0	0	0	0	0	0
Aei	Aei	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	AeI		0	1	1	1	1	0	1	0	1	0	0	0	0
	AEi		0	1	1	0	1	0	0	1	1	0	0	0	0
	AEI		0	2	1	1	2	0	1	1	2	0	0	0	0
	aei		1	1	0	0	0	0	0	0	0	0	0	0	0
	aeI		1	2	0	1	1	0	0	0	0	0	0	0	0
	aEi		1	2	0	0	1	0	0	0	0	0	0	0	0
	aEI		1	3	0	1	2	0	0	0	0	0	0	0	0
Aea	Aea	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	AeA		0	1	2	0	0	0	0	0	0	0	0	0	0
	AEa		0	1	1	0	1	0	0	1	1	0	0	0	0
	AEA		0	2	2	0	1	0	0	1	1	0	0	1	1
	aea		1	1	0	0	0	0	0	0	0	0	0	0	0
	aeA		1	2	1	0	0	0	0	0	0	0	0	0	0
	aEa		1	2	0	0	1	0	0	0	0	0	0	0	0
	aEA		1	3	1	0	1	0	0	0	0	0	0	1	1
Aeu	Aeu	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	Aey		0	1	2	0	0	0	0	0	0	0	0	0	0
	AEu		0	1	1	0	1	0	0	1	1	0	0	0	0
	AEy		0	2	2	0	1	0	0	1	1	0	0	1	1
	aeu		1	1	0	0	0	0	0	0	0	0	0	0	0
	aey		1	2	1	0	0	0	0	0	0	0	0	0	0
	aEu		1	2	0	0	1	0	0	0	0	0	0	0	0
	aEy		1	3	1	0	1	0	0	0	0	0	0	1	1
Aie	Aie	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	AiE		0	1	1	0	1	0	0	0	1	0	0	0	0
	AIe		0	1	1	1	1	1	1	1	1	0	0	0	0
	AIE		0	2	1	1	2	1	1	1	2	0	0	0	0
	aie		1	1	0	0	0	0	0	0	0	0	0	0	0
	aiE		1	2	0	0	1	0	0	0	0	0	0	0	0
	aIe		1	2	0	1	1	0	0	0	0	0	0	0	0
	aIE		1	3	0	1	2	0	0	0	0	0	0	0	0
Aii	Aii	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	AiI		0	1	1	1	1	0	1	0	1	0	0	0	0
	AIi		0	1	1	1	1	1	1	1	1	0	0	0	0
	AII		0	2	1	2	2	1	2	1	2	0	0	0	0
	aii		1	1	0	0	0	0	0	0	0	0	0	0	0
	aiI		1	2	0	1	1	0	0	0	0	0	0	0	0
	aII		1	3	0	2	2	0	0	0	0	0	0	0	0
Aia	Aia	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	AiA		0	1	2	0	0	0	0	0	0	0	0	0	0
	AIa		0	1	1	1	1	1	1	1	1	0	0	0	0
	AIA		0	2	2	1	1	1	1	1	1	1	1	1	1
	aia		1	1	0	0	0	0	0	0	0	0	0	0	0
	aiA		1	2	1	0	0	0	0	0	0	0	0	0	0
	aIa		1	2	0	1	1	0	0	0	0	0	0	0	0
	aIA		1	3	1	1	1	0	0	0	0	1	1	1	1
Aiu	Aiu	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	Aiy		0	1	2	0	0	0	0	0	0	0	0	0	0
	AIu		0	1	1	1	1	1	1	1	1	0	0	0	0
	AIy		0	2	2	1	1	1	1	1	1	1	1	1	1
	aiu		1	1	0	0	0	0	0	0	0	0	0	0	0
	aiy		1	2	1	0	0	0	0	0	0	0	0	0	0
	aIu		1	2	0	1	1	0	0	0	0	0	0	0	0
	aIy		1	3	1	1	1	0	0	0	0	1	1	1	1
Aae	Aae	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	AaE		0	1	1	0	1	0	0	0	1	0	0	0	0
	AAe		0	1	2	0	0	0	0	0	0	0	0	0	0
	AAE		0	2	2	0	1	0	0	1	1	0	0	0	0
	aae		1	1	0	0	0	0	0	0	0	0	0	0	0
	aaE		1	2	0	0	1	0	0	0	0	0	0	0	0
	aAe		1	2	1	0	0	0	0	0	0	0	0	0	0
	aAE		1	3	1	0	1	0	0	1	1	0	0	0	0
Aai	Aai	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	AaI		0	1	1	1	1	0	1	0	1	0	0	0	0
	AAi		0	1	2	0	0	0	0	0	0	0	0	0	0
	AAI		0	2	2	1	1	1	1	1	1	0	0	0	0
	aai		1	1	0	0	0	0	0	0	0	0	0	0	0
	aaI		1	2	0	1	1	0	0	0	0	0	0	0	0
	aAi		1	2	1	0	0	0	0	0	0	0	0	0	0
	aAI		1	3	1	1	1	1	1	1	1	0	0	0	0
Aaa	Aaa	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	AaA		0	1	2	0	0	0	0	0	0	0	0	0	0
