			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	AO		 1 	 2 	 0 	 0 	 0 	 0 	 0 
aa	aa	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	aA		 0 	 1 	 0 	 0 	 0 	 1 	 1 
	Aa		 1 	 1 	 0 	 1 	 1 	 0 	 0 
	AA		 1 	 2 	 0 	 0 	 0 	 0 	 0 
au	au	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	ay		 0 	 1 	 0 	 0 	 0 	 1 	 1 
	Au		 1 	 1 	 0 	 1 	 1 	 0 	 0 
	Ay		 1 	 2 	 0 	 0 	 0 	 0 	 0 
ue	ue	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	uE		 0 	 1 	 1 	 0 	 0 	 0 	 0 
	ye		 1 	 1 	 0 	 0 	 0 	 0 	 0 
	yE		 1 	 2 	 1 	 1 	 1 	 0 	 0 
ui	ui	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	uI		 0 	 1 	 1 	 0 	 0 	 0 	 0 
	yi		 1 	 1 	 0 	 0 	 0 	 0 	 0 
	yI		 1 	 2 	 1 	 1 	 1 	 0 	 0 
uo	uo	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	uO		 0 	 1 	 0 	 0 	 0 	 1 	 1 
	yo		 1 	 1 	 0 	 1 	 1 	 0 	 0 
	yO		 1 	 2 	 0 	 0 	 0 	 0 	 0 
ua	ua	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	uA		 0 	 1 	 0 	 0 	 0 	 1 	 1 
	ya		 1 	 1 	 0 	 1 	 1 	 0 	 0 
	yA		 1 	 2 	 0 	 0 	 0 	 0 	 0 
uu	uu	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	uy		 0 	 1 	 0 	 0 	 0 	 1 	 1 
	yu		 1 	 1 	 0 	 1 	 1 	 0 	 0 
	yy		 1 	 2 	 0 	 0 	 0 	 0 	 0 
OOO	OOO	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OOo		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	OoO		 0 	 1 	 0 	 1 	 1 	 1 	 1 
	Ooo		 0 	 2 	 0 	 1 	 2 	 0 	 0 
	oOO		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oOo		 1 	 2 	 0 	 1 	 1 	 1 	 1 
	ooO		 1 	 2 	 0 	 0 	 0 	 1 	 2 
	ooo		 1 	 3 	 0 	 0 	 0 	 0 	 0 
OOA	OOA	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OOa		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	OoA		 0 	 1 	 0 	 1 	 1 	 1 	 1 
	Ooa		 0 	 2 	 0 	 1 	 2 	 0 	 0 
	oOA		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oOa		 1 	 2 	 0 	 1 	 1 	 1 	 1 
	ooA		 1 	 2 	 0 	 0 	 0 	 1 	 2 
	ooa		 1 	 3 	 0 	 0 	 0 	 0 	 0 
OOy	OOy	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OOu		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	Ooy		 0 	 1 	 0 	 1 	 1 	 1 	 1 
	Oou		 0 	 2 	 0 	 1 	 2 	 0 	 0 
	oOy		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oOu		 1 	 2 	 0 	 1 	 1 	 1 	 1 
	ooy		 1 	 2 	 0 	 0 	 0 	 1 	 2 
	oou		 1 	 3 	 0 	 0 	 0 	 0 	 0 
OOe	OOe	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
