trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
36	o__	oiu							8.0	72.0									-2	58.66666666666667							-2	69.69999999999999																																																													-2	94	-2	94																																													-2	84	-2	80													-2	68	-2	68
37	a_u	aeu							10.0	82.0							-2	64.26666666666667	-2	56.66666666666667																																																					-2	96	-2	96													-2	92	-2	92																																																									-2	78	-2	78	-2	66	-2	66
38	ou_	oui							4.0	86.0									-2	54.66666666666667																																																																																																																							-2	78													-2	64	-2	64
39	oa	OA	2.0	19.0	0	2.6666666666666665							-2	85.2	-2	77.96666666666667	-2	62.266666666666666	-2	52.66666666666667					2.0	83.19999999999999	2.0	71.69999999999999																																																																																																																																
42	aaa	AAA	2.0	21.0	0	2.6666666666666665									-2	75.96666666666667	-2	60.266666666666666	-2	50.66666666666667							2.0	73.69999999999999																																																																																																																																
43	A_e	aoe	3.3333333333333335	24.333333333333332	0	2.6666666666666665			3.3333333333333335	89.33333333333333					3.3333333333333335	79.3	3.3333333333333335	63.6	3.3333333333333335	54.00000000000001					-2	81.19999999999999	-2	71.69999999999999																																																																																																									-2	88	-2	84	-2	82	-2	76									-2	76	-2	76	-2	62	-2	62
43	Apriori	MaxIOSyl1>>MaxIO					2.666666666666657	89.33333333333333																																																																																																																																																					
44	ui	yi	1.2	25.53333333333333	0	2.6666666666666665									-2	77.3	-2	61.6	-2	52.00000000000001							1.2	72.89999999999999																																																																																																																													1.2	63.2	1.2	63.2
46	aaa	AAA	2.0	27.53333333333333	0	2.6666666666666665									-2	75.3	-2	59.6	-2	50.00000000000001							2.0	74.89999999999999																																																																																																																																
47	oa	OA	2.0	29.53333333333333	0	2.6666666666666665							-2	83.2	-2	73.3	-2	57.6	-2	48.00000000000001					2.0	83.19999999999999	2.0	76.89999999999999																																																																																																																																
