trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
	a priori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	eey	eeu			1.0	1.0			1.0	101.0	1.0	101.0	1.0	101.0							-1	99																																													-1	99	-1	99													-1	99	-1	99																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	1.0	21.0																																																																																																																																																		
2	yOA	uoa	0.2857142857142857	21.285714285714285	0.2857142857142857	1.2857142857142856	0.2857142857142857	100.28571428571429	0.2857142857142857	101.28571428571429	0.2857142857142857	101.28571428571429	0.2857142857142857	101.28571428571429					-1	99	-1	98																																																																																																																																
4	uaa	yAA	0.75	22.035714285714285	0.75	2.0357142857142856			-1	100.28571428571429	-1	100.28571428571429	-1	100.28571428571429							0.75	98.75																																																																																																																																
5	aoE	AoE	4.5	26.535714285714285	4.5	6.535714285714286			-1	99.28571428571429	-1	99.28571428571429	-1	99.28571428571429							4.5	103.25																							-1	99	-1	99	-1	99	-1	99	-1	99							-1	99	-1	99	-1	99	-1	98	-1	98							-1	99	-1	99	-1	99	-1	98	-1	98																																																																
8	eOi	eoi			2.3333333333333335	8.869047619047619	2.3333333333333335	102.61904761904762	2.3333333333333335	101.61904761904762	2.3333333333333335	101.61904761904762	2.3333333333333335	101.61904761904762					-1	98	-1	102.25																																									-1	98	-1	98	-1	97	-1	97									-1	98	-1	98	-1	97	-1	97																																													-1	99	-1	99													-1	99	-1	99
	a priori	Id(Bk)Syl1>>Id(Bk)	2.3333333333333357	28.86904761904762																																																																																																																																																		
10	aEI	Aei	0.42857142857142855	29.297619047619047	0.42857142857142855	9.297619047619047			-1	100.61904761904762	-1	100.61904761904762	-1	100.61904761904762	0.42857142857142855	100.42857142857143	0.42857142857142855	100.42857142857143	0.42857142857142855	98.42857142857143	0.42857142857142855	102.67857142857143																																																																																																																																
11	eye	EuE	0.5	29.797619047619047	0.5	9.797619047619047			0.5	101.11904761904762	0.5	101.11904761904762	0.5	101.11904761904762			-1	99.42857142857143	-1	97.42857142857143	-1	101.67857142857143																																																																																																																																
