trialnum	Generated	Heard	IdBkSyl1	now	IdBk	now	star_F1	now	star_F3	now	star_F4	now	star_F5	now	star_B1	now	star_B2	now	star_B3	now	star_B5	now	star_F1_B1	now	star_F1..._B1	now	star_F1_B2	now	star_F1..._B2	now	star_F1_B3	now	star_F1..._B3	now	star_F1_B5	now	star_F1..._B5	now	star_F3_B1	now	star_F3..._B1	now	star_F3_B2	now	star_F3..._B2	now	star_F3_B3	now	star_F3..._B3	now	star_F3_B5	now	star_F3..._B5	now	star_F4_B1	now	star_F4..._B1	now	star_F4_B2	now	star_F4..._B2	now	star_F4_B3	now	star_F4..._B3	now	star_F4_B5	now	star_F4..._B5	now	star_F5_B1	now	star_F5..._B1	now	star_F5_B2	now	star_F5..._B2	now	star_F5_B3	now	star_F5..._B3	now	star_F5_B5	now	star_F5..._B5	now	star__B1F1	now	star__B1...F1	now	star__B1F3	now	star__B1...F3	now	star__B1F4	now	star__B1...F4	now	star__B1F5	now	star__B1...F5	now	star__B2F1	now	star__B2...F1	now	star__B2F3	now	star__B2...F3	now	star__B2F4	now	star__B2...F4	now	star__B2F5	now	star__B2...F5	now	star__B3F1	now	star__B3...F1	now	star__B3F3	now	star__B3...F3	now	star__B3F4	now	star__B3...F4	now	star__B3F5	now	star__B3...F5	now	star__B5F1	now	star__B5...F1	now	star__B5F3	now	star__B5...F3	now	star__B5F4	now	star__B5...F4	now	star__B5F5	now	star__B5...F5	now
17	eAe	Eae	3.6666666666666665	58.41904761904762	3.6666666666666665	38.41904761904762			3.6666666666666665	109.04761904761907	3.6666666666666665	102.3809523809524	3.6666666666666665	102.3809523809524			-2	102.23809523809524	-2	101.03809523809524	-2	108.03809523809524																																																																																											-2	96			-2	92											-2	94			-2	90									-2	94	-2	92	-2	91.0	-2	95.0
18	iiO	iio			2.0	40.41904761904762	2.0	107.71428571428572	2.0	111.04761904761907	2.0	104.3809523809524	2.0	104.3809523809524					-2	99.03809523809524	-2	106.03809523809524																																																									-2	94	-2	94	-2	87.33333333333333	-2	87.33333333333333																																																																
18	Apriori	IdBkSyl1>>IdBk	2.0	60.41904761904762																																																																																																																																																		
19	uua	yua	4.5	64.91904761904762	4.5	44.91904761904762			-2	109.04761904761907	-2	102.3809523809524	-2	102.3809523809524							4.5	110.53809523809524																													-2	94	-2	92													-2	91.33333333333333	-2	89.33333333333333													-2	85.33333333333333	-2	85.33333333333333																																																																
20	yiA	yia			2.0	46.91904761904762			2.0	111.04761904761907	2.0	104.3809523809524	2.0	104.3809523809524							-2	108.53809523809524																															-2	90															-2	87.33333333333333													-2	83.33333333333333	-2	83.33333333333333																																																																
20	Apriori	IdBkSyl1>>IdBk	2.0	66.91904761904762																																																																																																																																																		
22	ooi	Ooi	5.714285714285714	72.63333333333333	5.714285714285714	52.63333333333333	-2	105.71428571428572	-2	109.04761904761907	-2	102.3809523809524	-2	102.3809523809524					5.714285714285714	104.75238095238095	5.714285714285714	114.25238095238095									-2	98	-2	96	-2	96	-2	94									-2	96	-2	94	-2	92	-2	88									-2	96	-2	94	-2	89.33333333333333	-2	85.33333333333333									-2	92	-2	92	-2	81.33333333333333	-2	81.33333333333333																																															5.714285714285714	95.71428571428571															5.714285714285714	100.71428571428571
23	Oey	Oeu			2.8	55.43333333333333			2.8	111.84761904761906	2.8	105.18095238095239	2.8	105.18095238095239							-2	112.25238095238095															-2	92															-2	86													-2	87.33333333333333	-2	83.33333333333333													-2	79.33333333333333	-2	79.33333333333333																																																																
23	Apriori	IdBkSyl1>>IdBk	2.8000000000000114	75.43333333333334																																																																																																																																																		
25	AeO	aeo	4.0	79.43333333333334	4.0	59.43333333333333	4.0	109.71428571428572	4.0	115.84761904761906	4.0	109.18095238095239	4.0	109.18095238095239					-2	102.75238095238095	-2	110.25238095238095																																									-2	94	-2	92	-2	85.33333333333333	-2	81.33333333333333									-2	90	-2	90	-2	77.33333333333333	-2	77.33333333333333																																																									-2	92	-2	90	-2	89.0	-2	98.71428571428571
