			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	Ai		0	0	0	0	0	0	1	0	0	0	0	0
	ie		0	0	0	0	0	2	2	0	0	0	0	0
	ii		0	0	0	0	0	2	3	0	0	0	0	0
	ee		0	0	0	0	0	1	1	0	0	0	0	0
	ei		0	0	0	0	0	1	2	0	0	0	0	0
	iE		0	1	0	0	0	2	2	1	0	0	0	0
	eE		0	1	0	0	0	1	1	1	0	0	0	0
	ai		1	1	0	0	0	0	1	0	0	0	0	0
	i_		0	0	0	1	0	2	2	0	0	0	0	0
	e_		0	0	0	1	0	1	1	0	0	0	0	0
	_i		0	0	1	1	0	0	1	0	0	0	0	0
Ai	Ai	1	0	0	0	0	0	0	0	0	0	0	0	0
	AI		0	1	0	0	0	0	0	1	1	1	0	0
	ai		1	1	0	0	0	0	0	0	0	0	0	0
	aI		1	2	0	0	0	0	0	1	0	0	0	0
	A_		0	0	0	1	0	0	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0	0	0
	_I		0	1	1	1	0	0	0	1	0	0	0	0
	a_		1	1	0	1	0	0	0	0	0	0	0	0
	Ae		0	0	0	0	0	0	1	0	0	0	0	0
	ii		0	0	0	0	0	2	2	0	0	0	0	0
	ie		0	0	0	0	0	2	3	0	0	0	0	0
	ei		0	0	0	0	0	1	1	0	0	0	0	0
	ee		0	0	0	0	0	1	2	0	0	0	0	0
	iI		0	1	0	0	0	2	2	1	0	0	0	0
	eI		0	1	0	0	0	1	1	1	0	0	0	0
	ae		1	1	0	0	0	0	1	0	0	0	0	0
	i_		0	0	0	1	0	2	2	0	0	0	0	0
	e_		0	0	0	1	0	1	1	0	0	0	0	0
	_e		0	0	1	1	0	0	1	0	0	0	0	0
yO	yO	1	0	0	0	0	0	0	0	0	0	0	0	0
	yo		0	1	0	0	0	0	0	0	1	1	0	0
	uO		1	1	0	0	0	0	0	0	0	0	1	1
	uo		1	2	0	0	0	0	0	0	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0	0	0
	_O		0	0	1	1	0	0	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0	0	0
	_o		0	1	1	1	0	0	0	0	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0	0	0
	yi		0	0	0	0	0	0	2	0	0	0	0	0
	ye		0	0	0	0	0	0	1	0	0	0	0	0
	iO		0	0	0	0	0	1	1	0	0	0	0	0
	ii		0	0	0	0	0	1	3	0	0	0	0	0
	ie		0	0	0	0	0	1	2	0	0	0	0	0
	eO		0	0	0	0	0	2	2	0	0	0	0	0
	ei		0	0	0	0	0	2	4	0	0	0	0	0
	ee		0	0	0	0	0	2	3	0	0	0	0	0
	io		0	1	0	0	0	1	1	0	0	0	0	0
	eo		0	1	0	0	0	2	2	0	0	0	0	0
	ui		1	1	0	0	0	0	2	0	0	0	0	0
	ue		1	1	0	0	0	0	1	0	0	0	0	0
	i_		0	0	0	1	0	1	1	0	0	0	0	0
	e_		0	0	0	1	0	2	2	0	0	0	0	0
	_i		0	0	1	1	0	0	2	0	0	0	0	0
	_e		0	0	1	1	0	0	1	0	0	0	0	0
yA	yA	1	0	0	0	0	0	0	0	0	0	0	0	0
	ya		0	1	0	0	0	0	0	0	1	1	0	0
	uA		1	1	0	0	0	0	0	0	0	0	1	1
	ua		1	2	0	0	0	0	0	0	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0	0	0
	_A		0	0	1	1	0	0	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0	0	0
	_a		0	1	1	1	0	0	0	0	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0	0	0
	yi		0	0	0	0	0	0	2	0	0	0	0	0
	ye		0	0	0	0	0	0	1	0	0	0	0	0
	iA		0	0	0	0	0	1	1	0	0	0	0	0
	ii		0	0	0	0	0	1	3	0	0	0	0	0
	ie		0	0	0	0	0	1	2	0	0	0	0	0
	eA		0	0	0	0	0	2	2	0	0	0	0	0
	ei		0	0	0	0	0	2	4	0	0	0	0	0
	ee		0	0	0	0	0	2	3	0	0	0	0	0
	ia		0	1	0	0	0	1	1	0	0	0	0	0
	ea		0	1	0	0	0	2	2	0	0	0	0	0
	ui		1	1	0	0	0	0	2	0	0	0	0	0
	ue		1	1	0	0	0	0	1	0	0	0	0	0
	i_		0	0	0	1	0	1	1	0	0	0	0	0
	e_		0	0	0	1	0	2	2	0	0	0	0	0
	_i		0	0	1	1	0	0	2	0	0	0	0	0
	_e		0	0	1	1	0	0	1	0	0	0	0	0
yy	yy	1	0	0	0	0	0	0	0	0	0	0	0	0
	yu		0	1	0	0	0	0	0	0	1	1	0	0
	uy		1	1	0	0	0	0	0	0	0	0	1	1
	uu		1	2	0	0	0	0	0	0	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0	0	0
	_y		0	0	1	1	0	0	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0	0	0
	_u		0	1	1	1	0	0	0	0	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0	0	0
	yi		0	0	0	0	0	0	1	0	0	0	0	0
	ye		0	0	0	0	0	0	2	0	0	0	0	0
	iy		0	0	0	0	0	1	1	0	0	0	0	0
	ii		0	0	0	0	0	1	2	0	0	0	0	0
	ie		0	0	0	0	0	1	3	0	0	0	0	0
	ey		0	0	0	0	0	2	2	0	0	0	0	0
	ei		0	0	0	0	0	2	3	0	0	0	0	0
	ee		0	0	0	0	0	2	4	0	0	0	0	0
	iu		0	1	0	0	0	1	1	0	0	0	0	0
	eu		0	1	0	0	0	2	2	0	0	0	0	0
	ui		1	1	0	0	0	0	1	0	0	0	0	0
	ue		1	1	0	0	0	0	2	0	0	0	0	0
	i_		0	0	0	1	0	1	1	0	0	0	0	0
	e_		0	0	0	1	0	2	2	0	0	0	0	0
	_i		0	0	1	1	0	0	1	0	0	0	0	0
	_e		0	0	1	1	0	0	2	0	0	0	0	0
ye	ye	1	0	0	0	0	0	0	0	0	0	0	0	0
	yE		0	1	0	0	0	0	0	1	1	1	0	0
	ue		1	1	0	0	0	0	0	0	0	0	0	0
	uE		1	2	0	0	0	0	0	1	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0	0	0
	_E		0	1	1	1	0	0	0	1	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0	0	0
	yi		0	0	0	0	0	0	1	0	0	0	0	0
	ie		0	0	0	0	0	1	1	0	0	0	0	0
	ii		0	0	0	0	0	1	2	0	0	0	0	0
	ee		0	0	0	0	0	2	2	0	0	0	0	0
	ei		0	0	0	0	0	2	3	0	0	0	0	0
	iE		0	1	0	0	0	1	1	1	0	0	0	0
	eE		0	1	0	0	0	2	2	1	0	0	0	0
	ui		1	1	0	0	0	0	1	0	0	0	0	0
	i_		0	0	0	1	0	1	1	0	0	0	0	0
	e_		0	0	0	1	0	2	2	0	0	0	0	0
	_i		0	0	1	1	0	0	1	0	0	0	0	0
yi	yi	1	0	0	0	0	0	0	0	0	0	0	0	0
	yI		0	1	0	0	0	0	0	1	1	1	0	0
	ui		1	1	0	0	0	0	0	0	0	0	0	0
	uI		1	2	0	0	0	0	0	1	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0	0	0
	_I		0	1	1	1	0	0	0	1	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0	0	0
	ye		0	0	0	0	0	0	1	0	0	0	0	0
	ii		0	0	0	0	0	1	1	0	0	0	0	0
	ie		0	0	0	0	0	1	2	0	0	0	0	0
	ei		0	0	0	0	0	2	2	0	0	0	0	0
	ee		0	0	0	0	0	2	3	0	0	0	0	0
	iI		0	1	0	0	0	1	1	1	0	0	0	0
	eI		0	1	0	0	0	2	2	1	0	0	0	0
	ue		1	1	0	0	0	0	1	0	0	0	0	0
	i_		0	0	0	1	0	1	1	0	0	0	0	0
	e_		0	0	0	1	0	2	2	0	0	0	0	0
	_e		0	0	1	1	0	0	1	0	0	0	0	0
oe	oe	1	0	0	0	0	0	0	0	0	0	0	0	0
	oE		0	1	0	0	0	0	0	1	0	0	0	0
	Oe		1	1	0	0	0	0	0	0	0	0	0	0
	OE		1	2	0	0	0	0	0	1	1	1	0	0
	o_		0	0	0	1	0	0	0	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0	0	0
	_E		0	1	1	1	0	0	0	1	0	0	0	0
	O_		1	1	0	1	0	0	0	0	0	0	0	0
	oi		0	0	0	0	0	0	1	0	0	0	0	0
	ie		1	1	0	0	0	2	2	0	0	0	0	0
	ii		1	1	0	0	0	2	3	0	0	0	0	0
	ee		1	1	0	0	0	1	1	0	0	0	0	0
	ei		1	1	0	0	0	1	2	0	0	0	0	0
	iE		1	2	0	0	0	2	2	1	0	0	0	0
	eE		1	2	0	0	0	1	1	1	0	0	0	0
	Oi		1	1	0	0	0	0	1	0	0	0	0	0
	i_		1	1	0	1	0	2	2	0	0	0	0	0
	e_		1	1	0	1	0	1	1	0	0	0	0	0
	_i		0	0	1	1	0	0	1	0	0	0	0	0
oi	oi	1	0	0	0	0	0	0	0	0	0	0	0	0
	oI		0	1	0	0	0	0	0	1	0	0	0	0
	Oi		1	1	0	0	0	0	0	0	0	0	0	0
	OI		1	2	0	0	0	0	0	1	1	1	0	0
	o_		0	0	0	1	0	0	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0	0	0
	_I		0	1	1	1	0	0	0	1	0	0	0	0
	O_		1	1	0	1	0	0	0	0	0	0	0	0
	oe		0	0	0	0	0	0	1	0	0	0	0	0
	ii		1	1	0	0	0	2	2	0	0	0	0	0
	ie		1	1	0	0	0	2	3	0	0	0	0	0
	ei		1	1	0	0	0	1	1	0	0	0	0	0
	ee		1	1	0	0	0	1	2	0	0	0	0	0
	iI		1	2	0	0	0	2	2	1	0	0	0	0
	eI		1	2	0	0	0	1	1	1	0	0	0	0
	Oe		1	1	0	0	0	0	1	0	0	0	0	0
	i_		1	1	0	1	0	2	2	0	0	0	0	0
	e_		1	1	0	1	0	1	1	0	0	0	0	0
	_e		0	0	1	1	0	0	1	0	0	0	0	0
oo	oo	1	0	0	0	0	0	0	0	0	0	0	0	0
	oO		0	1	0	0	0	0	0	0	0	0	1	1
	Oo		1	1	0	0	0	0	0	0	1	1	0	0
	OO		1	2	0	0	0	0	0	0	0	0	0	0
	o_		0	0	0	1	0	0	0	0	0	0	0	0
	_o		0	0	1	1	0	0	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0	0	0
	_O		0	1	1	1	0	0	0	0	0	0	0	0
	O_		1	1	0	1	0	0	0	0	0	0	0	0
	oi		0	1	0	0	0	0	2	0	0	0	0	0
	oe		0	1	0	0	0	0	1	0	0	0	0	0
	io		1	1	0	0	0	2	2	0	0	0	0	0
	ii		1	2	0	0	0	2	4	0	0	0	0	0
	ie		1	2	0	0	0	2	3	0	0	0	0	0
	eo		1	1	0	0	0	1	1	0	0	0	0	0
	ei		1	2	0	0	0	1	3	0	0	0	0	0
	ee		1	2	0	0	0	1	2	0	0	0	0	0
	iO		1	2	0	0	0	2	2	0	0	0	0	0
	eO		1	2	0	0	0	1	1	0	0	0	0	0
	Oi		1	2	0	0	0	0	2	0	0	0	0	0
	Oe		1	2	0	0	0	0	1	0	0	0	0	0
	i_		1	1	0	1	0	2	2	0	0	0	0	0
	e_		1	1	0	1	0	1	1	0	0	0	0	0
	_i		0	1	1	1	0	0	2	0	0	0	0	0
	_e		0	1	1	1	0	0	1	0	0	0	0	0
oa	oa	1	0	0	0	0	0	0	0	0	0	0	0	0
	oA		0	1	0	0	0	0	0	0	0	0	1	1
	Oa		1	1	0	0	0	0	0	0	1	1	0	0
	OA		1	2	0	0	0	0	0	0	0	0	0	0
	o_		0	0	0	1	0	0	0	0	0	0	0	0
	_a		0	0	1	1	0	0	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0	0	0
	_A		0	1	1	1	0	0	0	0	0	0	0	0
	O_		1	1	0	1	0	0	0	0	0	0	0	0
	oi		0	1	0	0	0	0	2	0	0	0	0	0
	oe		0	1	0	0	0	0	1	0	0	0	0	0
	ia		1	1	0	0	0	2	2	0	0	0	0	0
	ii		1	2	0	0	0	2	4	0	0	0	0	0
	ie		1	2	0	0	0	2	3	0	0	0	0	0
	ea		1	1	0	0	0	1	1	0	0	0	0	0
	ei		1	2	0	0	0	1	3	0	0	0	0	0
	ee		1	2	0	0	0	1	2	0	0	0	0	0
	iA		1	2	0	0	0	2	2	0	0	0	0	0
	eA		1	2	0	0	0	1	1	0	0	0	0	0
	Oi		1	2	0	0	0	0	2	0	0	0	0	0
	Oe		1	2	0	0	0	0	1	0	0	0	0	0
	i_		1	1	0	1	0	2	2	0	0	0	0	0
	e_		1	1	0	1	0	1	1	0	0	0	0	0
	_i		0	1	1	1	0	0	2	0	0	0	0	0
	_e		0	1	1	1	0	0	1	0	0	0	0	0
ou	ou	1	0	0	0	0	0	0	0	0	0	0	0	0
	oy		0	1	0	0	0	0	0	0	0	0	1	1
	Ou		1	1	0	0	0	0	0	0	1	1	0	0
	Oy		1	2	0	0	0	0	0	0	0	0	0	0
	o_		0	0	0	1	0	0	0	0	0	0	0	0
	_u		0	0	1	1	0	0	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0	0	0
	_y		0	1	1	1	0	0	0	0	0	0	0	0
	O_		1	1	0	1	0	0	0	0	0	0	0	0
	oi		0	1	0	0	0	0	1	0	0	0	0	0
	oe		0	1	0	0	0	0	2	0	0	0	0	0
	iu		1	1	0	0	0	2	2	0	0	0	0	0
	ii		1	2	0	0	0	2	3	0	0	0	0	0
	ie		1	2	0	0	0	2	4	0	0	0	0	0
	eu		1	1	0	0	0	1	1	0	0	0	0	0
	ei		1	2	0	0	0	1	2	0	0	0	0	0
	ee		1	2	0	0	0	1	3	0	0	0	0	0
	iy		1	2	0	0	0	2	2	0	0	0	0	0
	ey		1	2	0	0	0	1	1	0	0	0	0	0
	Oi		1	2	0	0	0	0	1	0	0	0	0	0
	Oe		1	2	0	0	0	0	2	0	0	0	0	0
	i_		1	1	0	1	0	2	2	0	0	0	0	0
	e_		1	1	0	1	0	1	1	0	0	0	0	0
	_i		0	1	1	1	0	0	1	0	0	0	0	0
	_e		0	1	1	1	0	0	2	0	0	0	0	0
ae	ae	1	0	0	0	0	0	0	0	0	0	0	0	0
	aE		0	1	0	0	0	0	0	1	0	0	0	0
	Ae		1	1	0	0	0	0	0	0	0	0	0	0
	AE		1	2	0	0	0	0	0	1	1	1	0	0
	a_		0	0	0	1	0	0	0	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0	0	0
	_E		0	1	1	1	0	0	0	1	0	0	0	0
	A_		1	1	0	1	0	0	0	0	0	0	0	0
	ai		0	0	0	0	0	0	1	0	0	0	0	0
	ie		1	1	0	0	0	2	2	0	0	0	0	0
	ii		1	1	0	0	0	2	3	0	0	0	0	0
	ee		1	1	0	0	0	1	1	0	0	0	0	0
	ei		1	1	0	0	0	1	2	0	0	0	0	0
	iE		1	2	0	0	0	2	2	1	0	0	0	0
	eE		1	2	0	0	0	1	1	1	0	0	0	0
	Ai		1	1	0	0	0	0	1	0	0	0	0	0
	i_		1	1	0	1	0	2	2	0	0	0	0	0
	e_		1	1	0	1	0	1	1	0	0	0	0	0
	_i		0	0	1	1	0	0	1	0	0	0	0	0
ai	ai	1	0	0	0	0	0	0	0	0	0	0	0	0
	aI		0	1	0	0	0	0	0	1	0	0	0	0
	Ai		1	1	0	0	0	0	0	0	0	0	0	0
	AI		1	2	0	0	0	0	0	1	1	1	0	0
