trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
31	uua	yua	0.6666666666666666	28.366666666666656	0.6666666666666666	8.366666666666667			-2	88.83333333333336	-2	85.48333333333336	-2	83.48333333333336							0.6666666666666666	86.88333333333335																													-2	90	-2	90													-2	84.25	-2	84.65													-2	78.25	-2	78.25																																																																
32	OiA	oia	0.3333333333333333	28.69999999999999	0.3333333333333333	8.700000000000001	0.3333333333333333	98.66666666666666	0.3333333333333333	89.16666666666669	0.3333333333333333	85.81666666666669	0.3333333333333333	83.81666666666669					-2	89.71666666666667	-2	84.88333333333335																																																													-2	76.25	-2	76.25																																													-2	94.25	-2	94.25													-2	84.25	-2	84.75
33	Oei	oei	0.3333333333333333	29.03333333333332	0.3333333333333333	9.033333333333335	0.3333333333333333	98.99999999999999	0.3333333333333333	89.50000000000001	0.3333333333333333	86.15000000000002	0.3333333333333333	84.15000000000002					-2	87.71666666666667	-2	82.88333333333335																																																																																																									-2	98	-2	98	-2	92.25	-2	92.25									-2	90	-2	90	-2	82.25	-2	82.75
35	Oiy	Oiu			0.5	9.533333333333335			0.5	90.00000000000001	0.5	86.65000000000002	0.5	84.65000000000002							-2	80.88333333333335															-2	98															-2	88															-2	82.65													-2	74.25	-2	74.25																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.5000000000000142	29.533333333333335																																																																																																																																																		
36	uaa	yaa	0.6666666666666666	30.200000000000003	0.6666666666666666	10.200000000000001			-2	88.00000000000001	-2	84.65000000000002	-2	82.65000000000002							0.6666666666666666	81.55000000000003																													-2	88	-2	86													-2	82.25	-2	80.65													-2	72.25	-2	72.25																																																																
41	ouu	Ouu	0.5	30.700000000000003	0.5	10.700000000000001	-2	96.99999999999999	-2	86.00000000000001	-2	82.65000000000002	-2	80.65000000000002					0.5	88.21666666666667	0.5	82.05000000000003													-2	98	-2	96													-2	86	-2	84													-2	80.25	-2	78.65													-2	70.25	-2	70.25																																																																
42	uai	yai	0.5	31.200000000000003	0.5	11.200000000000001			-2	84.00000000000001	-2	80.65000000000002	-2	78.65000000000002							0.5	82.55000000000003																													-2	84	-2	82													-2	78.25	-2	76.65													-2	68.25	-2	68.25																																																															0.5	83.25
44	eyA	eua			0.5	11.700000000000001			0.5	84.50000000000001	0.5	81.15000000000002	0.5	79.15000000000002							-2	80.55000000000003																																													-2	76.25	-2	74.65													-2	66.25	-2	66.25																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.5	31.700000000000003																																																																																																																																																		
