trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
32	y__	yyy							1.5	41.228427128427136					-2	60.78571428571429	-2	54.78571428571429	-2	54.78571428571429																																																																																																																																								
33	A__	aou	0.5	3.0	0.5	3.0			0.5	41.728427128427136					0.5	61.28571428571429	0.5	55.28571428571429	0.5	55.28571428571429					-2	92	-2	75.71428571428572																																																																																																																																
34	A__	AyA							1.5	43.228427128427136					-2	59.28571428571429	-2	53.28571428571429	-2	53.28571428571429																																																																																																																																								
35	O_	OO							1.6	44.82842712842714			-2	78	-2	57.28571428571429	-2	51.28571428571429	-2	51.28571428571429																																																																																																																																								
36	__e	oue					1.6	29.428427128427128	1.6	46.42842712842714															-2	90	-2	73.71428571428572																																																																																																											-2	96			-2	94									-2	88	-2	86	-2	80	-2	80
37	_i_	Oie					1.3333333333333333	30.76176046176046	1.3333333333333333	47.761760461760474			-2	76	-2	55.28571428571429	-2	49.28571428571429	-2	49.28571428571429																																																																																																																																								
38	_e_	yeA					1.2	31.96176046176046	1.2	48.96176046176048					-2	53.28571428571429	-2	47.28571428571429	-2	47.28571428571429																																																																																																																																								
39	_i_	AiA					1.2	33.16176046176046	1.2	50.16176046176048					-2	51.28571428571429	-2	45.28571428571429	-2	45.28571428571429																																																																																																																																								
40	_eA	oea			1.4	4.4	1.4	34.56176046176046	1.4	51.56176046176048					1.4	52.68571428571429	1.4	46.68571428571429	1.4	46.68571428571429					-2	88	-2	71.71428571428572																																													-2	96	-2	96													-2	94	-2	94																																									-2	98	-2	94	-2	96	-2	92									-2	86	-2	84	-2	78	-2	78
41	_ie	yie					1.2	35.76176046176046	1.2	52.76176046176048					-2	50.68571428571429	-2	44.68571428571429	-2	44.68571428571429																																																																																																																																								
42	_ii	yii					1.2	36.96176046176046	1.2	53.961760461760484					-2	48.68571428571429	-2	42.68571428571429	-2	42.68571428571429																																																																																																																																								
43	yAi	uai	0.75	3.75	0.75	5.15									0.75	49.43571428571429	0.75	43.43571428571429	0.75	43.43571428571429							-2	69.71428571428572																																																																																																																													-2	76	-2	76
45	AiA	aia	1.0	4.75	1.0	6.15									1.0	50.43571428571429	1.0	44.43571428571429	1.0	44.43571428571429							-2	67.71428571428572																																																													-2	92	-2	92																																																													-2	74	-2	74
46	Ae	ae	1.0	5.75	1.0	7.15									1.0	51.43571428571429	1.0	45.43571428571429	1.0	45.43571428571429							-2	65.71428571428572																																																																																																																									-2	84	-2	82	-2	72	-2	72
48	__i	oai					1.4285714285714286	38.39033189033189	1.4285714285714286	55.390331890331915															-2	86	-2	63.71428571428572																																																																																																															-2	90													-2	70	-2	70
49	A_e	AOe							1.6	56.990331890331916			-2	74	-2	49.43571428571429	-2	43.43571428571429	-2	43.43571428571429																																																																																																																																								
50	yi_	yiO							1.6	58.59033189033192			-2	72	-2	47.43571428571429	-2	41.43571428571429	-2	41.43571428571429																																																																																																																																								
51	A_e	AOe							1.6	60.19033189033192			-2	70	-2	45.43571428571429	-2	39.43571428571429	-2	39.43571428571429																																																																																																																																								
52	A_A	aoa	0.5	6.25	0.5	7.65			0.5	60.69033189033192					0.5	45.93571428571429	0.5	39.93571428571429	0.5	39.93571428571429					-2	84	-2	61.71428571428572																																																																																																																																
53	_yi	Oyi					1.3333333333333333	39.72366522366523	1.3333333333333333	62.023665223665255			-2	68	-2	43.93571428571429	-2	37.93571428571429	-2	37.93571428571429																																																																																																																																								
54	AeA	aea	1.2857142857142858	7.535714285714286	1.2857142857142858	8.935714285714287									1.2857142857142858	45.221428571428575	1.2857142857142858	39.221428571428575	1.2857142857142858	39.221428571428575							-2	59.71428571428572																																													-2	94	-2	94													-2	90	-2	90																																																									-2	82	-2	80	-2	68	-2	68
55	AAA	aaa	0.3333333333333333	7.869047619047619	0.3333333333333333	9.26904761904762									0.3333333333333333	45.55476190476191	0.3333333333333333	39.55476190476191	0.3333333333333333	39.55476190476191							-2	57.71428571428572																																																																																																																																
56	_y_	OyO					1.3333333333333333	41.056998556998565	1.3333333333333333	63.35699855699859			-2	66	-2	43.55476190476191	-2	37.55476190476191	-2	37.55476190476191																																																																																																																																								
57	_iA	OiA					1.3333333333333333	42.3903318903319	1.3333333333333333	64.69033189033192			-2	64	-2	41.55476190476191	-2	35.55476190476191	-2	35.55476190476191																																																																																																																																								
60	yOy	uou	0.5	8.369047619047619	0.5	9.76904761904762							0.5	64.5	0.5	42.05476190476191	0.5	36.05476190476191	0.5	36.05476190476191					-2	82	-2	55.71428571428572																																																																																																																																
62	_yA	OyA					1.3333333333333333	43.723665223665236	1.3333333333333333	66.02366522366525			-2	62.5	-2	40.05476190476191	-2	34.05476190476191	-2	34.05476190476191																																																																																																																																								
63	yye	uue	1.0	9.369047619047619	1.0	10.76904761904762									1.0	41.05476190476191	1.0	35.05476190476191	1.0	35.05476190476191							-2	53.71428571428572																																																																																																																									-2	80	-2	78	-2	66	-2	66
65	Ay	au	0.3333333333333333	9.702380952380953	0.3333333333333333	11.102380952380955									0.3333333333333333	41.38809523809525	0.3333333333333333	35.38809523809525	0.3333333333333333	35.38809523809525							-2	51.71428571428572																																																																																																																																
66	AAO	aao	0.5	10.202380952380953	0.5	11.602380952380955							0.5	63.0	0.5	41.88809523809525	0.5	35.88809523809525	0.5	35.88809523809525					-2	80	-2	49.71428571428572																																																																																																																																
67	AAO	aao	0.5	10.702380952380953	0.5	12.102380952380955							0.5	63.5	0.5	42.38809523809525	0.5	36.38809523809525	0.5	36.38809523809525					-2	78	-2	47.71428571428572																																																																																																																																
71	Ayi	aui	0.75	11.452380952380953	0.75	12.852380952380955									0.75	43.13809523809525	0.75	37.13809523809525	0.75	37.13809523809525							-2	45.71428571428572																																																																																																																													-2	64	-2	64
72	AA	aa	0.3333333333333333	11.785714285714286	0.3333333333333333	13.185714285714289									0.3333333333333333	43.47142857142858	0.3333333333333333	37.47142857142858	0.3333333333333333	37.47142857142858							-2	43.71428571428572																																																																																																																																
73	AO	ao	0.5	12.285714285714286	0.5	13.685714285714289							0.5	64.0	0.5	43.97142857142858	0.5	37.97142857142858	0.5	37.97142857142858					-2	76	-2	41.71428571428572																																																																																																																																
74	yy	uu	0.3333333333333333	12.61904761904762	0.3333333333333333	14.019047619047623									0.3333333333333333	44.30476190476192	0.3333333333333333	38.30476190476192	0.3333333333333333	38.30476190476192							-2	39.71428571428572																																																																																																																																
78	OAi	oai	0.9090909090909091	13.528138528138529	0.9090909090909091	14.92813852813853							0.9090909090909091	64.9090909090909	0.9090909090909091	45.213852813852824	0.9090909090909091	39.213852813852824	0.9090909090909091	39.213852813852824					-2	74	-2	37.71428571428572																																																																																																															-2	88													-2	62	-2	62
81	Oie	oie	1.1428571428571428	14.670995670995671	1.1428571428571428	16.070995670995675							1.1428571428571428	66.05194805194805	1.1428571428571428	46.35670995670997	1.1428571428571428	40.35670995670997	1.1428571428571428	40.35670995670997					-2	72	-2	35.71428571428572																																																																																																											-2	92	-2	94	-2	86											-2	76	-2	60	-2	60
82	AeA	aea	1.2857142857142858	15.956709956709958	1.2857142857142858	17.35670995670996									1.2857142857142858	47.642424242424255	1.2857142857142858	41.642424242424255	1.2857142857142858	41.642424242424255							-2	33.71428571428572																																													-2	92	-2	92													-2	88	-2	88																																																									-2	78	-2	74	-2	58	-2	58
83	__i	OOi					1.3333333333333333	45.05699855699857	1.3333333333333333	67.35699855699858			-2	64.05194805194805	-2	45.642424242424255	-2	39.642424242424255	-2	39.642424242424255																																																																																																																																								
84	yiy	uiu	1.0	16.956709956709958	1.0	18.35670995670996									1.0	46.642424242424255	1.0	40.642424242424255	1.0	40.642424242424255							-2	31.714285714285722																																																													-2	86	-2	86																																																													-2	56	-2	56
85	yii	uii	0.75	17.706709956709958	0.75	19.10670995670996									0.75	47.392424242424255	0.75	41.392424242424255	0.75	41.392424242424255							-2	29.714285714285722																																																																																																																													-2	54	-2	54
89	yeA	uea	1.2857142857142858	18.992424242424242	1.2857142857142858	20.392424242424244									1.2857142857142858	48.67813852813854	1.2857142857142858	42.67813852813854	1.2857142857142858	42.67813852813854							-2	27.714285714285722																																													-2	90	-2	90													-2	84	-2	84																																																									-2	76	-2	72	-2	52	-2	52
90	OAi	oai	0.9090909090909091	19.901515151515152	0.9090909090909091	21.301515151515154							0.9090909090909091	64.96103896103895	0.9090909090909091	49.587229437229446	0.9090909090909091	43.587229437229446	0.9090909090909091	43.587229437229446					-2	70	-2	25.714285714285722																																																																																																															-2	84													-2	50	-2	50
91	Aie	aie	0.8888888888888888	20.79040404040404	0.8888888888888888	22.190404040404044									0.8888888888888888	50.47611832611833	0.8888888888888888	44.47611832611833	0.8888888888888888	44.47611832611833							-2	23.714285714285722																																																																																																																											-2	70	-2	48	-2	48
92	_i	Oi					1.3333333333333333	46.39033189033191	1.3333333333333333	68.6903318903319			-2	62.96103896103895	-2	48.47611832611833	-2	42.47611832611833	-2	42.47611832611833																																																																																																																																								
93	OOi	ooi	1.0	21.79040404040404	1.0	23.190404040404044							1.0	63.96103896103895	1.0	49.47611832611833	1.0	43.47611832611833	1.0	43.47611832611833					-2	68	-2	21.714285714285722																																																																																																													-2	92	-2	82													-2	46	-2	46
94	AOy	aou	0.5	22.29040404040404	0.5	23.690404040404044							0.5	64.46103896103895	0.5	49.97611832611833	0.5	43.97611832611833	0.5	43.97611832611833					-2	66	-2	19.714285714285722																																																																																																																																
95	Oei	oei	1.25	23.54040404040404	1.25	24.940404040404044							1.25	65.71103896103895	1.25	51.22611832611833	1.25	45.22611832611833	1.25	45.22611832611833					-2	64	-2	17.714285714285722																																																																																																									-2	96	-2	90	-2	90	-2	80									-2	74	-2	68	-2	44	-2	44
96	aa_	aao							1.3333333333333333	70.02366522366523															-2	62	-2	15.714285714285722																																																																																																																																
98	yiO	uio	1.1428571428571428	24.683261183261184	1.1428571428571428	26.083261183261186							1.1428571428571428	66.85389610389609	1.1428571428571428	52.36897546897548	1.1428571428571428	46.36897546897548	1.1428571428571428	46.36897546897548					-2	60	-2	13.714285714285722																																																									-2	98	-2	98	-2	82	-2	82																																																													-2	42	-2	42
101	ua	yA	1.0	25.683261183261184	1.0	27.083261183261186									-2	50.36897546897548	-2	44.36897546897548	-2	44.36897546897548							1.0	14.714285714285722																																																																																																																																
103	aoo	AOO	1.0	26.683261183261184	1.0	28.083261183261186							-2	64.85389610389609	-2	48.36897546897548	-2	42.36897546897548	-2	42.36897546897548					1.0	61.0	1.0	15.714285714285722																																																																																																																																
104	Aye	aue	1.0	27.683261183261184	1.0	29.083261183261186									1.0	49.36897546897548	1.0	43.36897546897548	1.0	43.36897546897548							-2	13.714285714285722																																																																																																																									-2	72	-2	66	-2	40	-2	40
105	aai	AAi	0.75	28.433261183261184	0.75	29.833261183261186									-2	47.36897546897548	-2	41.36897546897548	-2	41.36897546897548							0.75	14.464285714285722																																																																																																																													0.75	40.75	0.75	40.75
106	aui	Ayi	0.75	29.183261183261184	0.75	30.583261183261186									-2	45.36897546897548	-2	39.36897546897548	-2	39.36897546897548							0.75	15.214285714285722																																																																																																																													0.75	41.5	0.75	41.5
108	AOi	aoi	1.0	30.183261183261184	1.0	31.583261183261186							1.0	65.85389610389609	1.0	46.36897546897548	1.0	40.36897546897548	1.0	40.36897546897548					-2	59.0	-2	13.214285714285722																																																																																																													-2	88	-2	78													-2	39.5	-2	39.5
110	yiA	uia	1.0	31.183261183261184	1.0	32.583261183261186									1.0	47.36897546897548	1.0	41.36897546897548	1.0	41.36897546897548							-2	11.214285714285722																																																													-2	80	-2	80																																																													-2	37.5	-2	37.5
112	auo	AyO	1.0	32.18326118326118	1.0	33.583261183261186							-2	63.85389610389609	-2	45.36897546897548	-2	39.36897546897548	-2	39.36897546897548					1.0	60.0	1.0	12.214285714285722																																																																																																																																
113	uuo	yyO	1.0	33.18326118326118	1.0	34.583261183261186							-2	61.85389610389609	-2	43.36897546897548	-2	37.36897546897548	-2	37.36897546897548					1.0	61.0	1.0	13.214285714285722																																																																																																																																
114	ouu	Oyy	1.0	34.18326118326118	1.0	35.583261183261186							-2	59.85389610389609	-2	41.36897546897548	-2	35.36897546897548	-2	35.36897546897548					1.0	62.0	1.0	14.214285714285722																																																																																																																																
116	OeO	oeo	1.5	35.68326118326118	1.5	37.083261183261186							1.5	61.35389610389609	1.5	42.86897546897548	1.5	36.86897546897548	1.5	36.86897546897548					-2	60.0	-2	12.214285714285722																																									-2	98	-2	98	-2	88	-2	88									-2	96	-2	96	-2	78	-2	78																																									-2	94	-2	88	-2	86	-2	76									-2	70	-2	64	-2	35.5	-2	35.5
118	AOe	aoe	1.25	36.93326118326118	1.25	38.333261183261186							1.25	62.60389610389609	1.25	44.11897546897548	1.25	38.11897546897548	1.25	38.11897546897548					-2	58.0	-2	10.214285714285722																																																																																																									-2	92	-2	86	-2	84	-2	74									-2	68	-2	62	-2	33.5	-2	33.5
119	oaa	OAA	1.0	37.93326118326118	1.0	39.333261183261186							-2	60.60389610389609	-2	42.11897546897548	-2	36.11897546897548	-2	36.11897546897548					1.0	59.0	1.0	11.214285714285722																																																																																																																																
120	Aei	aei	1.0	38.93326118326118	1.0	40.333261183261186									1.0	43.11897546897548	1.0	37.11897546897548	1.0	37.11897546897548							-2	9.214285714285722																																																																																																																									-2	66	-2	60	-2	31.5	-2	31.5
121	AOi	aoi	1.0	39.93326118326118	1.0	41.333261183261186							1.0	61.60389610389609	1.0	44.11897546897548	1.0	38.11897546897548	1.0	38.11897546897548					-2	57.0	-2	7.214285714285722																																																																																																													-2	82	-2	72													-2	29.5	-2	29.5
122	uai	yAi	0.75	40.68326118326118	0.75	42.083261183261186									-2	42.11897546897548	-2	36.11897546897548	-2	36.11897546897548							0.75	7.964285714285722																																																																																																																													0.75	30.25	0.75	30.25
125	yiA	uia	1.0	41.68326118326118	1.0	43.083261183261186									1.0	43.11897546897548	1.0	37.11897546897548	1.0	37.11897546897548							-2	5.964285714285722																																																													-2	76	-2	76																																																													-2	28.25	-2	28.25
126	Oe	oe	1.25	42.93326118326118	1.25	44.333261183261186							1.25	62.85389610389609	1.25	44.36897546897548	1.25	38.36897546897548	1.25	38.36897546897548					-2	55.0	-2	3.9642857142857224																																																																																																									-2	90	-2	84	-2	80	-2	70									-2	64	-2	58	-2	26.25	-2	26.25
127	AiO	aio	1.1428571428571428	44.076118326118326	1.1428571428571428	45.47611832611833							1.1428571428571428	63.99675324675324	1.1428571428571428	45.511832611832624	1.1428571428571428	39.511832611832624	1.1428571428571428	39.511832611832624					-2	53.0	-2	1.9642857142857224																																																									-2	94	-2	94	-2	74	-2	74																																																													-2	24.25	-2	24.25
129	aua	AyA	1.0	45.076118326118326	1.0	46.47611832611833									-2	43.511832611832624	-2	37.511832611832624	-2	37.511832611832624							1.0	2.9642857142857224																																																																																																																																
130	uo	yO	1.0	46.076118326118326	1.0	47.47611832611833							-2	61.99675324675324	-2	41.511832611832624	-2	35.511832611832624	-2	35.511832611832624					1.0	54.0	1.0	3.9642857142857224																																																																																																																																
131	uoo	yOO	1.0	47.076118326118326	1.0	48.47611832611833							-2	59.99675324675324	-2	39.511832611832624	-2	33.511832611832624	-2	33.511832611832624					1.0	55.0	1.0	4.964285714285722																																																																																																																																
132	auo	AyO	1.0	48.076118326118326	1.0	49.47611832611833							-2	57.99675324675324	-2	37.511832611832624	-2	31.511832611832624	-2	31.511832611832624					1.0	56.0	1.0	5.964285714285722																																																																																																																																
