			Id(Bk)Syl1	Id(Bk)	Id(Hi)Syl1	Id(Hi)	Id(Lo)Syl1	Id(Lo)	Id(Rd)Syl1	Id(Rd)	*F1	*F3	*F4	*F5	*B1	*B2	*B3	*B5	*F1_B1	*F1..._B1	*F1_B2	*F1..._B2	*F1_B3	*F1..._B3	*F1_B5	*F1..._B5	*F3_B1	*F3..._B1	*F3_B2	*F3..._B2	*F3_B3	*F3..._B3	*F3_B5	*F3..._B5	*F4_B1	*F4..._B1	*F4_B2	*F4..._B2	*F4_B3	*F4..._B3	*F4_B5	*F4..._B5	*F5_B1	*F5..._B1	*F5_B2	*F5..._B2	*F5_B3	*F5..._B3	*F5_B5	*F5..._B5	*_B1F1	*_B1...F1	*_B1F3	*_B1...F3	*_B1F4	*_B1...F4	*_B1F5	*_B1...F5	*_B2F1	*_B2...F1	*_B2F3	*_B2...F3	*_B2F4	*_B2...F4	*_B2F5	*_B2...F5	*_B3F1	*_B3...F1	*_B3F3	*_B3...F3	*_B3F4	*_B3...F4	*_B3F5	*_B3...F5	*_B5F1	*_B5...F1	*_B5F3	*_B5...F3	*_B5F4	*_B5...F4	*_B5F5	*_B5...F5
			Id(Bk)Syl1	Id(Bk)	Id(Hi)Syl1	Id(Hi)	Id(Lo)Syl1	Id(Lo)	Id(Rd)Syl1	Id(Rd)	*F1	*F3	*F4	*F5	*B1	*B2	*B3	*B5	*F1_B1	*F1..._B1	*F1_B2	*F1..._B2	*F1_B3	*F1..._B3	*F1_B5	*F1..._B5	*F3_B1	*F3..._B1	*F3_B2	*F3..._B2	*F3_B3	*F3..._B3	*F3_B5	*F3..._B5	*F4_B1	*F4..._B1	*F4_B2	*F4..._B2	*F4_B3	*F4..._B3	*F4_B5	*F4..._B5	*F5_B1	*F5..._B1	*F5_B2	*F5..._B2	*F5_B3	*F5..._B3	*F5_B5	*F5..._B5	*_B1F1	*_B1...F1	*_B1F3	*_B1...F3	*_B1F4	*_B1...F4	*_B1F5	*_B1...F5	*_B2F1	*_B2...F1	*_B2F3	*_B2...F3	*_B2F4	*_B2...F4	*_B2F5	*_B2...F5	*_B3F1	*_B3...F1	*_B3F3	*_B3...F3	*_B3F4	*_B3...F4	*_B3F5	*_B3...F5	*_B5F1	*_B5...F1	*_B5F3	*_B5...F3	*_B5F4	*_B5...F4	*_B5F5	*_B5...F5
	AE			 1 								 1 	 1 	 1 		 1 	 1 	 1 											 1 	 1 	 1 	 1 	 1 	 1 			 1 	 1 	 1 	 1 	 1 	 1 			 1 	 1 	 1 	 1 	 1 	 1 																																
	ae		 1 	 1 									 1 	 1 				 1 																																																													 1 	 1 	 1 	 1 
	aE		 1 	 2 												 1 	 1 	 2 																																																																
	Ai					 1 						 1 	 1 	 2 																																																																				
	ie				 1 	 1 	 1 	 1 					 1 	 2 																																																																				
	ii				 1 	 2 	 1 	 1 						 2 																																																																				
	ee						 1 	 1 					 2 	 2 																																																																				
	ei					 1 	 1 	 1 					 1 	 2 																																																																				
	iE			 1 	 1 	 1 	 1 	 1 						 1 		 1 	 1 	 1 																											 1 	 1 	 1 	 1 	 1 	 1 																																
	eE			 1 			 1 	 1 					 1 	 1 		 1 	 1 	 1 																			 1 	 1 	 1 	 1 	 1 	 1 			 1 	 1 	 1 	 1 	 1 	 1 																																
	ai		 1 	 1 		 1 								 1 				 1 																																																															 1 	 1 
Ai	Ai	 1 										 1 	 1 	 2 																																																																				
	AI			 1 								 1 	 1 	 1 	 1 	 1 	 1 	 1 									 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 																																
	ai		 1 	 1 										 1 				 1 																																																															 1 	 1 
	aI		 1 	 2 											 1 	 1 	 1 	 2 																																																																
	Ae					 1 						 1 	 2 	 2 																																																																				
	ii				 1 	 1 	 1 	 1 						 2 																																																																				
	ie				 1 	 2 	 1 	 1 					 1 	 2 																																																																				
	ei						 1 	 1 					 1 	 2 																																																																				
	ee					 1 	 1 	 1 					 2 	 2 																																																																				
	iI			 1 	 1 	 1 	 1 	 1 						 1 	 1 	 1 	 1 	 1 																									 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 																																
	eI			 1 			 1 	 1 					 1 	 1 	 1 	 1 	 1 	 1 																	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 																																
	ae		 1 	 1 		 1 							 1 	 1 				 1 																																																													 1 	 1 	 1 	 1 
yO	yO	 1 									 1 	 2 	 2 	 2 																																																																				
	yo			 1 								 1 	 1 	 1 			 1 	 1 													 1 	 1 	 1 	 1 					 1 	 1 	 1 	 1 					 1 	 1 	 1 	 1 																																
	uO		 1 	 1 							 1 	 1 	 1 	 1 				 1 																																																									 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
	uo		 1 	 2 													 1 	 2 																																																																
	yi					 1 				 1 		 1 	 1 	 2 																																																																				
	ye									 1 		 1 	 2 	 2 																																																																				
	iO								 1 	 1 	 1 	 1 	 1 	 2 																																																																				
	ii					 1 			 1 	 2 				 2 																																																																				
	ie								 1 	 2 			 1 	 2 																																																																				
