trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F3	now	*F5	now	*B2	now	*B5	now	*F3_B2	now	*F3..._B2	now	*F3_B5	now	*F3..._B5	now	*F5_B2	now	*F5..._B2	now	*F5_B5	now	*F5..._B5	now	*_B2F3	now	*_B2...F3	now	*_B2F5	now	*_B2...F5	now	*_B5F3	now	*_B5...F3	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
	a priori	Id(Bk)Syl1>>Id(Bk)	20	20																																										
1	oia	OiA	0.25	20.25	0.25	0.25	-1	99	-1	99			0.25	100.25													0.25	100.25	0.25	100.25													0.25	100.25	0.25	100.25
3	iAO	iao			0.75	1.0	0.75	99.75	0.75	99.75			-1	99.25													-1	99.25	-1	99.25																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.75	21.0																																										
4	EaE	eAe	0.4	21.4	0.4	1.4	-1	98.75	-1	98.75	0.4	100.4	0.4	99.65																																
5	AAy	aau	0.2	21.599999999999998	0.2	1.5999999999999999	0.2	98.95	0.2	98.95			-1	98.65																																
6	aEu	Aey	0.4	21.999999999999996	0.4	2.0	-1	97.95	-1	97.95	0.4	100.80000000000001	0.4	99.05000000000001																																
7	uee	yee	0.3333333333333333	22.33333333333333	0.3333333333333333	2.3333333333333335	-1	96.95	-1	96.95			0.3333333333333333	99.38333333333334																													0.3333333333333333	100.58333333333333	0.3333333333333333	100.58333333333333
8	yiA	uia	1.0	23.33333333333333	1.0	3.3333333333333335	1.0	97.95	1.0	97.95			-1	98.38333333333334													-1	98.25	-1	98.25													-1	99.58333333333333	-1	99.58333333333333
11	OAO	oao	0.2	23.533333333333328	0.2	3.5333333333333337	0.2	98.15	0.2	98.15			-1	97.38333333333334																																
12	yiy	uiu	1.0	24.533333333333328	1.0	4.533333333333333	1.0	99.15	1.0	99.15			-1	96.38333333333334													-1	97.25	-1	97.25													-1	98.58333333333333	-1	98.58333333333333
13	yyi	uui	0.6	25.13333333333333	0.6	5.133333333333333	0.6	99.75	0.6	99.75			-1	95.38333333333334																													-1	97.58333333333333	-1	97.58333333333333
14	aEo	AeO	0.4	25.533333333333328	0.4	5.533333333333333	-1	98.75	-1	98.75	0.4	101.20000000000002	0.4	95.78333333333335																																
17	aae	AAe	0.3333333333333333	25.86666666666666	0.3333333333333333	5.866666666666666	-1	97.75	-1	97.75			0.3333333333333333	96.11666666666667																													0.3333333333333333	97.91666666666666	0.3333333333333333	97.91666666666666
19	oai	OAi	0.3333333333333333	26.199999999999992	0.3333333333333333	6.199999999999999	-1	96.75	-1	96.75			0.3333333333333333	96.45																													0.3333333333333333	98.24999999999999	0.3333333333333333	98.24999999999999
21	Euu	euu	0.6	26.799999999999994	0.6	6.799999999999999			-1	95.75	0.6	101.80000000000001	0.6	97.05													-1	96.25	-1	96.25																
23	iuI	iyi			0.2857142857142857	7.0857142857142845	-1	95.75	-1	94.75	0.2857142857142857	102.0857142857143	0.2857142857142857	97.33571428571429											0.2857142857142857	100.28571428571429	0.2857142857142857	96.53571428571429	0.2857142857142857	96.53571428571429																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.2857142857142918	27.085714285714285																																										
24	ioe	iOe			0.2857142857142857	7.37142857142857	-1	94.75	-1	93.75			0.2857142857142857	97.62142857142858													0.2857142857142857	96.82142857142858	0.2857142857142857	96.82142857142858													0.2857142857142857	98.53571428571428	0.2857142857142857	98.53571428571428
	a priori	Id(Bk)Syl1>>Id(Bk)	0.2857142857142847	27.37142857142857																																										
