Id(Bk)Syl1	 124 
Id(Bk)	 104 
*F1	 108 
*F3	 110 
*F4	 100 
*F5	 100 
*B1	 106 
*B2	 110 
*B3	 102 
*B5	 100 
*F1_B1	 100 
*F1..._B1	 100 
*F1_B2	 100 
*F1..._B2	 100 
*F1_B3	 94 
*F1..._B3	 92 
*F1_B5	 92 
*F1..._B5	 92 
*F3_B1	 100 
*F3..._B1	 100 
*F3_B2	 100 
*F3..._B2	 100 
*F3_B3	 90 
*F3..._B3	 86 
*F3_B5	 74 
*F3..._B5	 72 
*F4_B1	 100 
*F4..._B1	 100 
*F4_B2	 102 
*F4..._B2	 102 
*F4_B3	 88 
*F4..._B3	 82 
*F4_B5	 62 
*F4..._B5	 60 
*F5_B1	 100 
*F5..._B1	 100 
*F5_B2	 102 
*F5..._B2	 106 
*F5_B3	 84 
*F5..._B3	 82 
*F5_B5	 48 
*F5..._B5	 54 
*_B1F1	 100 
*_B1...F1	 100 
*_B1F3	 100 
*_B1...F3	 100 
*_B1F4	 100 
*_B1...F4	 100 
*_B1F5	 100 
*_B1...F5	 100 
*_B2F1	 102 
*_B2...F1	 102 
*_B2F3	 102 
*_B2...F3	 104 
*_B2F4	 100 
*_B2...F4	 98 
*_B2F5	 100 
*_B2...F5	 96 
*_B3F1	 102 
*_B3...F1	 102 
*_B3F3	 102 
*_B3...F3	 104 
*_B3F4	 98 
*_B3...F4	 94 
*_B3F5	 94 
*_B3...F5	 92 
*_B5F1	 104 
*_B5...F1	 104 
*_B5F3	 104 
*_B5...F3	 106 
*_B5F4	 84 
*_B5...F4	 78 
*_B5F5	 80 
*_B5...F5	 80 

Input#	Input	Cand#	Cand	Freq. from input file	Learning tokens	Output of grammar test	Target proportion	Predicted proportion
 17 	AE	 1 	Ae	 0 	 0 	 989 	 0 	 0.989 
 17 	AE	 2 	aE	 0 	 0 	 0 	 0 	 0 
 17 	AE	 3 	ae	 0 	 0 	 0 	 0 	 0 
 18 	Ao	 0 	Ao	 1 	 14 	 1000 	 1 	 1 
 18 	Ao	 1 	AO	 0 	 0 	 0 	 0 	 0 
 18 	Ao	 2 	ao	 0 	 0 	 0 	 0 	 0 
 18 	Ao	 3 	aO	 0 	 0 	 0 	 0 	 0 
 19 	Aa	 0 	Aa	 1 	 16 	 1000 	 1 	 1 
 19 	Aa	 1 	AA	 0 	 0 	 0 	 0 	 0 
 19 	Aa	 2 	aa	 0 	 0 	 0 	 0 	 0 
 19 	Aa	 3 	aA	 0 	 0 	 0 	 0 	 0 
 20 	Au	 0 	Au	 1 	 9 	 1000 	 1 	 1 
 20 	Au	 1 	Ay	 0 	 0 	 0 	 0 	 0 
 20 	Au	 2 	au	 0 	 0 	 0 	 0 	 0 
 20 	Au	 3 	ay	 0 	 0 	 0 	 0 	 0 
 21 	yO	 0 	yO	 0 	 0 	 9 	 0 	 0.009 
 21 	yO	 1 	yo	 0 	 0 	 991 	 0 	 0.991 
 21 	yO	 2 	uO	 0 	 0 	 0 	 0 	 0 
 21 	yO	 3 	uo	 0 	 0 	 0 	 0 	 0 
 22 	yA	 0 	yA	 0 	 0 	 21 	 0 	 0.021 
 22 	yA	 1 	ya	 0 	 0 	 979 	 0 	 0.979 
 22 	yA	 2 	uA	 0 	 0 	 0 	 0 	 0 
 22 	yA	 3 	ua	 0 	 0 	 0 	 0 	 0 
 23 	yy	 0 	yy	 0 	 0 	 21 	 0 	 0.021 
 23 	yy	 1 	yu	 0 	 0 	 979 	 0 	 0.979 
 23 	yy	 2 	uy	 0 	 0 	 0 	 0 	 0 
 23 	yy	 3 	uu	 0 	 0 	 0 	 0 	 0 
 24 	ye	 0 	ye	 1 	 11 	 1000 	 1 	 1 
 24 	ye	 1 	yE	 0 	 0 	 0 	 0 	 0 
 24 	ye	 2 	ue	 0 	 0 	 0 	 0 	 0 
 24 	ye	 3 	uE	 0 	 0 	 0 	 0 	 0 
 25 	yi	 0 	yi	 1 	 14 	 1000 	 1 	 1 
 25 	yi	 1 	yI	 0 	 0 	 0 	 0 	 0 
 25 	yi	 2 	ui	 0 	 0 	 0 	 0 	 0 
 25 	yi	 3 	uI	 0 	 0 	 0 	 0 	 0 
 26 	yI	 0 	yI	 0 	 0 	 10 	 0 	 0.01 
 26 	yI	 1 	yi	 0 	 0 	 990 	 0 	 0.99 
 26 	yI	 2 	uI	 0 	 0 	 0 	 0 	 0 
 26 	yI	 3 	ui	 0 	 0 	 0 	 0 	 0 
 27 	yE	 0 	yE	 0 	 0 	 11 	 0 	 0.011 
 27 	yE	 1 	ye	 0 	 0 	 989 	 0 	 0.989 
