trialnum	generated	heard	IdBkSyl1	now	IdBk	now	star_F1	now	star_F3	now	star_F4	now	star_F5	now	star_B1	now	star_B2	now	star_B3	now	star_B5	now	star_F1_B1	now	star_F1..._B1	now	star_F1_B2	now	star_F1..._B2	now	star_F1_B3	now	star_F1..._B3	now	star_F1_B5	now	star_F1..._B5	now	star_F3_B1	now	star_F3..._B1	now	star_F3_B2	now	star_F3..._B2	now	star_F3_B3	now	star_F3..._B3	now	star_F3_B5	now	star_F3..._B5	now	star_F4_B1	now	star_F4..._B1	now	star_F4_B2	now	star_F4..._B2	now	star_F4_B3	now	star_F4..._B3	now	star_F4_B5	now	star_F4..._B5	now	star_F5_B1	now	star_F5..._B1	now	star_F5_B2	now	star_F5..._B2	now	star_F5_B3	now	star_F5..._B3	now	star_F5_B5	now	star_F5..._B5	now	star__B1F1	now	star__B1...F1	now	star__B1F3	now	star__B1...F3	now	star__B1F4	now	star__B1...F4	now	star__B1F5	now	star__B1...F5	now	star__B2F1	now	star__B2...F1	now	star__B2F3	now	star__B2...F3	now	star__B2F4	now	star__B2...F4	now	star__B2F5	now	star__B2...F5	now	star__B3F1	now	star__B3...F1	now	star__B3F3	now	star__B3...F3	now	star__B3F4	now	star__B3...F4	now	star__B3F5	now	star__B3...F5	now	star__B5F1	now	star__B5...F1	now	star__B5F3	now	star__B5...F3	now	star__B5F4	now	star__B5...F4	now	star__B5F5	now	star__B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
	a priori	IdBkSyl1>>IdBk	20	20																																																																																																																																																		
2	Ou	ou	0.26666666666666666	20.266666666666666	0.26666666666666666	0.26666666666666666	0.26666666666666666	100.26666666666667	0.26666666666666666	100.26666666666667	0.26666666666666666	100.26666666666667	0.26666666666666666	100.26666666666667					-2	98	-2	98													0.26666666666666666	100.26666666666667	0.26666666666666666	100.26666666666667													0.26666666666666666	100.26666666666667	0.26666666666666666	100.26666666666667													0.26666666666666666	100.26666666666667	0.26666666666666666	100.26666666666667													0.26666666666666666	100.26666666666667	0.26666666666666666	100.26666666666667																																																																
3	oII	oii			1.6666666666666667	1.9333333333333333							-2	98.26666666666667	1.6666666666666667	101.66666666666667	1.6666666666666667	101.66666666666667	1.6666666666666667	99.66666666666667	1.6666666666666667	99.66666666666667																																																																																																													-2	98	-2	98													-2	98	-2	98
	a priori	IdBkSyl1>>IdBk	1.6666666666666679	21.933333333333334																																																																																																																																																		
4	eea	Eea	6.0	27.933333333333334	6.0	7.933333333333334					6.0	106.26666666666667	6.0	104.26666666666667			-2	99.66666666666667	-2	97.66666666666667	-2	97.66666666666667																																																																																									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	96	-2	96									-2	98	-2	98	-2	96	-2	96
5	aoE	Aoe	7.666666666666667	35.6	7.666666666666667	15.600000000000001			-2	98.26666666666667	-2	104.26666666666667	-2	102.26666666666667			7.666666666666667	107.33333333333334	7.666666666666667	105.33333333333334	7.666666666666667	105.33333333333334																									-2	98	-2	98	-2	98.26666666666667	-2	98.26666666666667									-2	98	-2	98	-2	98.26666666666667	-2	98.26666666666667									-2	98	-2	98	-2	98.26666666666667	-2	98.26666666666667																																									-2	96	-2	96	-2	94	-2	94									-2	96	-2	96	-2	94	-2	94
6	oao	Oao	6.4	42.0	6.4	22.0	-2	98.26666666666667	-2	96.26666666666667	-2	102.26666666666667	-2	100.26666666666667					6.4	111.73333333333335	6.4	111.73333333333335											-2	98	-2	98.26666666666667	-2	98.26666666666667											-2	96	-2	96.26666666666667	-2	96.26666666666667											-2	96	-2	96.26666666666667	-2	96.26666666666667											-2	96	-2	96.26666666666667	-2	96.26666666666667																																																																
7	eOi	Eoi	2.2857142857142856	44.285714285714285	2.2857142857142856	24.285714285714285	2.2857142857142856	100.55238095238096	2.2857142857142856	98.55238095238096	2.2857142857142856	104.55238095238096	2.2857142857142856	102.55238095238096			-2	105.33333333333334	-2	109.73333333333335	-2	109.73333333333335																																																																																															-2	96													-2	92	-2	92													-2	92	-2	92
8	Ayy	Auu			2.8	27.085714285714285			2.8	101.35238095238095	2.8	107.35238095238095	2.8	105.35238095238095							-2	107.73333333333335																													-2	94.26666666666667	-2	94.26666666666667													-2	94.26666666666667	-2	94.26666666666667													-2	94.26666666666667	-2	94.26666666666667																																																																
