			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
	_e		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__		0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
	_E		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	o_		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	Oi		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
	ie		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ii		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iE		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	eE		0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	oi		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	i_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Oi	Oi	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
	OI		0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
	oi		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	oI		1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	O_		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__		0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
	_I		0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	o_		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	Oe		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
