			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
	_oE		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_o_		0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0
	O_e		0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
	_oe		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1
	__e		0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	OO_		0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
	_OE		0	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0
	_O_		0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
	_Oe		0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
	oo_		1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	o__		1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	o_e		1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
	oO_		1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1
	Ooi		0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0
	OiE		0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0
	Oii		0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
	Oie		0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
	OeE		0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0
	ioE		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ioi		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	ioe		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1
	iii		0	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	iie		0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	ieE		0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	eoE		0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0
	eoe		0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1
	eiE		0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0
	OOi		0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
	iOE		0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0
	iOi		0	2	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0
	iOe		0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
	ooi		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	oii		1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	oie		1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
	oeE		1	2	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1
	oei		1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1
	oee		1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	oOi		1	3	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1
	Oi_		0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
	io_		0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	ii_		0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0
	eo_		0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0
	i_e		0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	i__		0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0
	_oi		0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	_ii		0	2	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0
	_ie		0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	_eE		0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0
	_i_		0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0
	iO_		0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0
	_Oi		0	2	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0
	oi_		1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
	oe_		1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1
Ooo	Ooo	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0
	OoO		0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	1	1
	OOo		0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0
	OOO		0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
	ooo		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ooO		1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2
	oOo		1	2	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1
	oOO		1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1
	Oo_		0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0
	O__		0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
	_oo		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_o_		0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0
	O_O		0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
	_oO		0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1
	__O		0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
	_Oo		0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0
	_OO		0	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0
	oo_		1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	o__		1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	o_O		1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1
	Ooi		0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0
	Ooe		0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1
	Oio		0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
	Oii		0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
	ioo		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ioi		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	ioe		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1
	iii		0	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	ieo		0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	eoo		0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0
	eoe		0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	1	1
	eio		0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0
	OiO		0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
	ioO		0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1
	iiO		0	2	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0
	eoO		0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1
	iOo		0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0
	iOO		0	2	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0
	ooi		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ooe		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2
	oii		1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	oie		1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
	oeo		1	2	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1
	oei		1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1
	oiO		1	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
	oeO		1	3	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1
	Oi_		0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
	io_		0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	ii_		0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0
	eo_		0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0
	i__		0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0
	_oi		0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	_oe		0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1
	_ii		0	2	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0
	_eo		0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0
	_i_		0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0
	i_O		0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0
	_iO		0	2	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0
	oi_		1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
	oe_		1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1
Ooa	Ooa	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0
	OoA		0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1
	OOa		0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0
	OOA		0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
	ooa		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ooA		1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
	oOa		1	2	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1
	oOA		1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
	Oo_		0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0
	O__		0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
	_oa		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_o_		0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0
	O_A		0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
	_oA		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1
	__A		0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	OO_		0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
	_Oa		0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0
	_O_		0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
	_OA		0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
	oo_		1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	o__		1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	o_A		1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
	oO_		1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1
	Ooi		0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0
	Ooe		0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1
	Oia		0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
	Oii		0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
	ioa		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ioi		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	ioe		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1
	iii		0	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	iea		0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	eoa		0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0
	eoe		0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	1	1
	eia		0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0
	OiA		0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
	ioA		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1
	iiA		0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	eoA		0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1
	OOi		0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
	iOa		0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0
	iOi		0	2	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0
	iOA		0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
	ooi		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ooe		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2
	oii		1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	oie		1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
	oea		1	2	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1
	oei		1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1
	oiA		1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
	oeA		1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	oOi		1	3	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1
	Oi_		0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
	io_		0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	ii_		0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0
	eo_		0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0
	i__		0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0
	_oi		0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	_oe		0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1
	_ii		0	2	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0
	_ea		0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0
	_i_		0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0
	i_A		0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	_iA		0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	iO_		0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0
	_Oi		0	2	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0
	oi_		1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
	oe_		1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1
Oou	Oou	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0
	Ooy		0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1
	OOu		0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0
	OOy		0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
	oou		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ooy		1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
	oOu		1	2	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1
	oOy		1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
	Oo_		0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0
	O__		0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
	_ou		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_o_		0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0
	O_y		0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
	_oy		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1
	__y		0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	OO_		0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
	_Ou		0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0
	_O_		0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
	_Oy		0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
	oo_		1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	o__		1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	o_y		1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
	oO_		1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1
	Ooi		0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0
	Ooe		0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1
	Oiu		0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
	Oii		0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
	iou		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ioi		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	ioe		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1
	iii		0	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	ieu		0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	eou		0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0
	eoe		0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	1	1
	eiu		0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0
	Oiy		0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
	ioy		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1
	iiy		0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	eoy		0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1
	OOi		0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
	iOu		0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0
	iOi		0	2	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0
	iOy		0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
	ooi		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ooe		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2
	oii		1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	oie		1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
	oeu		1	2	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1
	oei		1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1
	oiy		1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
	oey		1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	oOi		1	3	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1
	Oi_		0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
	io_		0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	ii_		0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0
	eo_		0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0
	i__		0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0
	_oi		0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	_oe		0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1
	_ii		0	2	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0
	_eu		0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0
	_i_		0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0
	i_y		0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	_iy		0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	iO_		0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0
	_Oi		0	2	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0
	oi_		1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
	oe_		1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1
AAA	AAA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	AAa		0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
	AaA		0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1
	Aaa		0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
	aAA		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
	aAa		1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1
	aaA		1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
	aaa		1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	AA_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	_AA		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_A_		0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0
	A_a		0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
	_Aa		0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0
	__a		0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	_aA		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1
	_aa		0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	aA_		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
	a__		1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	a_a		1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	AAi		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	Aii		0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	iAA		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	iAi		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iii		0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	Aia		0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
	Aea		0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
	iAa		0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	iia		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iea		0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	eia		0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0
	Aae		0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1
	iaA		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1
	iae		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1
	eaA		0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1
	eae		0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	1	1
	iaa		0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	eaa		0	2	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0
	aAi		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	aiA		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
	aii		1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	aie		1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
	aei		1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1
	aia		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	aea		1	2	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1
	aae		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2
	Ai_		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	iA_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	ii_		0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0
	i__		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0
	_Ai		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	_ii		0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0
	_i_		0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0
	i_a		0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	e_a		0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0
	_ia		0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	_ea		0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0
	_ae		0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1
	ai_		1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	ae_		1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1
AAy	AAy	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	AAu		0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
	Aay		0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1
	Aau		0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
	aAy		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
	aAu		1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1
	aay		1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
	aau		1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	AA_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	_Ay		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_A_		0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0
	A_u		0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
	_Au		0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0
	__u		0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	_ay		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1
	_au		0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	aA_		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
	a__		1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	a_u		1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	AAi		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	Aii		0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	iAy		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	iAi		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iii		0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	Aiu		0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
	Aeu		0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
	iAu		0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	iiu		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	ieu		0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	eiu		0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0
	Aae		0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1
	iay		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1
	iae		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1
	eay		0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1
	eae		0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	1	1
