trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
	a priori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
3	EIu	eiu	0.3333333333333333	20.333333333333332	0.3333333333333333	0.3333333333333333					-2	98	-2	98	0.3333333333333333	100.33333333333333	0.3333333333333333	100.33333333333333	0.3333333333333333	100.33333333333333	0.3333333333333333	100.33333333333333																																															-2	98													-2	98	-2	98																																																																
4	OyO	ouo	0.3333333333333333	20.666666666666664	0.3333333333333333	0.6666666666666666	0.3333333333333333	100.33333333333333	0.3333333333333333	100.33333333333333	0.3333333333333333	98.33333333333333	0.3333333333333333	98.33333333333333					-2	98.33333333333333	-2	98.33333333333333																																																																																																																																
5	iuu	iyy			0.5	1.1666666666666665			-2	98.33333333333333	-2	96.33333333333333	-2	96.33333333333333							0.5	98.83333333333333																																																													0.5	98.5	0.5	98.5																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.5000000000000036	21.166666666666668																																																																																																																																																		
6	eyi	Eui	0.4	21.566666666666666	0.4	1.5666666666666664			0.4	98.73333333333333	0.4	96.73333333333333	0.4	96.73333333333333			-2	98.33333333333333	-2	96.33333333333333	-2	96.83333333333333																																																																																															-2	98															-2	98													-2	98	-2	98
7	oua	OyA	0.5	22.066666666666666	0.5	2.0666666666666664	-2	98.33333333333333	-2	96.73333333333333	-2	94.73333333333333	-2	94.73333333333333					0.5	96.83333333333333	0.5	97.33333333333333																																																																																																																																
10	iiA	Iia	0.4	22.466666666666665	0.4	2.4666666666666663			0.4	97.13333333333334	0.4	95.13333333333334	0.4	95.13333333333334	-2	98.33333333333333	-2	96.33333333333333	-2	94.83333333333333	-2	95.33333333333333																																																													-2	96.5	-2	96.5													-2	98	-2	98													-2	98	-2	96													-2	98	-2	96													-2	96	-2	96
11	ooo	Ooo	0.5	22.966666666666665	0.5	2.9666666666666663	-2	96.33333333333333	-2	95.13333333333334	-2	93.13333333333334	-2	93.13333333333334					0.5	95.33333333333333	0.5	95.83333333333333									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	98									-2	98	-2	98	-2	98	-2	96									-2	98	-2	98	-2	94.5	-2	94.5																																																																
